X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	6.65	8.69	5.58	8.3	1.69	2.32	1.25	3.64	2.6	6.16	b	a	a	c	b	c	c	c	b	c	4.23	3.9	7.67	2.22	4.43	2.95	4.77	7.68	4.3	6.38	b	a	a	a	b	c	c	a	b	a	1.3	2.87	3.69	4.64	4.43	0.89	4.77	7.83	4.3	6.38	a	c	a	a	b	c	a	b	c	a	7.22	3.09	9.94	9.4	2.4	1.58	4.44	7.86	3.91	9.29	c	a	a	b	b	c	a	c	c	c
x1	1.07	2.03	6.49	7.2	3.78	5.64	3.23	2.29	1.99	2.57	b	c	c	c	c	b	a	b	b	c	1.56	3.39	5.89	6.73	0.3	7.78	4.44	7.07	4.46	0.91	b	b	a	a	c	c	c	a	c	c	9.62	6.93	9.86	9.56	7.03	5	6.13	0.25	3.25	8.05	c	a	c	a	b	a	b	a	a	b	6.63	0.27	6.58	5.33	6.48	5.64	2.87	6.13	1.76	9.2	c	b	c	c	b	a	c	a	c	a
x2	2.91	7.22	3.47	3.33	8.19	6.53	7.96	5.43	9.6	3.81	b	c	c	c	c	a	c	a	c	b	1.56	4.59	1.84	0.02	9.08	8.1	4.83	7.29	0.08	6.36	b	a	c	c	c	b	b	b	a	b	5.68	6.36	1.28	9.47	8.06	3.6	4.82	5.29	4.96	7.89	a	a	a	a	b	c	c	a	b	a	6.87	6.19	1.26	7.99	8.42	3.66	4.36	2.17	5.12	3.02	c	a	c	c	c	a	a	b	a	a
x3	2.99	5.93	1.59	8.93	9.3	0.73	5.54	3.04	7.75	7.89	b	c	c	c	b	c	b	a	b	b	9.91	7.23	5.31	4.85	5.08	1.73	1.01	7.25	4.35	7.55	b	c	c	c	c	b	c	c	b	a	2.26	6.29	4.27	1.26	3.93	6.86	1.95	6.54	9.91	6.27	b	a	c	b	b	a	b	b	c	c	1.26	6.66	7.63	8.38	0.42	1.76	5.84	1.2	6.96	5.58	a	b	c	c	a	a	a	b	c	a
x4	6.75	8.18	8.09	0.49	7.64	0.31	4.49	6.55	5.73	5.42	b	c	c	b	c	a	c	c	a	c	6.88	4.36	4.53	5.27	4.02	2.86	7.8	0.31	2.92	9.4	b	a	c	b	a	c	a	b	b	a	4.11	0.55	8.3	6.22	5.26	2.48	9.39	6.9	1.95	1.62	a	a	b	c	a	b	c	b	b	c	8.28	2.09	4.98	3.1	2.66	6.58	3.19	9.63	9.66	9.76	a	c	a	c	b	b	a	b	c	a
x5	3.79	3.79	0.65	3.79	9.33	9.97	4.52	3.79	0.16	3.93	c	a	a	a	a	b	c	a	c	b	5.95	5.95	1.53	5.95	4.43	4.19	4.77	5.95	4.3	6.38	c	a	a	a	b	c	b	c	a	a	1.81	3.68	8.14	0.28	4.43	8.96	4.77	8.07	4.3	6.38	b	b	a	a	b	c	b	b	a	a	8.87	6.65	4.34	3.83	6.13	1.73	9.97	5.01	6.15	7.99	b	a	a	a	c	a	b	a	c	b
x6	8.14	6.56	3.66	9.68	8.45	2.38	5.81	0.58	9.09	7.91	c	b	b	b	a	a	a	c	b	a	0.42	7.04	4.74	0.47	8.96	7.27	3.65	1.69	6.01	7.69	b	c	c	c	a	b	c	b	b	b	3.66	8.98	0.51	2.24	9.45	1.84	3.42	5.74	4.8	9.33	b	a	c	c	c	a	a	a	a	b	2.86	0.49	7.88	7.59	6.56	6.86	3.88	2.4	5.93	5.6	a	b	c	a	b	b	a	b	a	b
x7	6.81	9.13	1.51	5.92	5.96	8.7	1.24	4.57	1.58	2.93	c	c	c	b	c	a	c	c	c	c	6.18	7.87	0.67	1.11	4.39	7.96	0.16	5.52	3.03	4.02	b	a	b	b	b	b	a	b	a	a	6.01	7.99	4.36	9.58	3.57	4.6	4.83	7.23	7.84	6.74	a	c	a	a	c	c	a	c	a	b	7.96	1.62	7.78	6.19	5.23	7.59	1.91	4.1	7.48	6.34	a	b	c	a	c	a	a	a	c	b
x8	5.43	3.87	2.27	1.5	3.28	8.23	8.29	1.39	5.08	3.47	b	b	a	a	a	a	c	c	b	c	8.6	8.51	6.86	8.43	6.86	6.86	0.04	9.05	9.25	5.34	a	a	a	b	c	c	a	a	b	b	4.29	6.11	4.54	6.74	4.54	4.54	8.48	5.94	8.88	5.68	b	a	c	b	c	c	a	a	b	a	2.05	0.37	7.71	0.98	8.87	0.73	3.7	8.07	6.81	2.15	a	c	c	a	b	c	a	a	c	b
x9	8.45	6.45	6.07	3.05	3.26	3.54	6.68	3.15	5.5	2.99	b	a	b	b	b	c	b	a	a	a	0.69	8.7	3.5	1.9	5.22	4.58	1.82	5.75	7.78	0.98	c	c	b	b	c	c	b	b	c	a	2.5	6.61	2.32	1.85	2.97	6.37	9.65	0.93	4.12	5.98	c	a	b	c	a	c	c	c	b	a	9.59	1.06	4.21	6.05	6.06	4.72	5.8	0.51	4.56	7.01	a	a	c	c	b	c	c	a	a	b
x10	1.65	1.83	8.22	2.51	8.86	6.74	8.79	4.75	3.41	5.59	b	a	c	a	a	a	c	b	b	c	4.29	5.9	1.27	3.82	8.53	2.35	2.07	7.67	4.73	8.79	b	b	c	c	b	a	c	c	b	a	8.84	9.12	8.07	7.21	1.22	0.54	2.69	1.44	4.79	4.78	b	c	a	b	b	c	c	a	c	a	2.82	7.35	1.79	0.19	4.64	6.83	2.02	4.31	5.71	9.72	c	a	a	b	a	c	a	c	c	a
x11	8.09	8.38	8.07	1.71	5.13	1.11	4.62	1.51	6.38	1.96	c	b	b	b	b	b	b	a	c	b	8.98	4.34	0.94	0.59	0.1	4.43	9.96	5.77	9.22	2.47	c	a	a	a	b	a	a	b	a	b	5.53	8.4	3.17	8.32	3.25	1.66	2.18	3.19	3.68	6.85	a	a	c	b	c	a	a	a	b	c	5.45	8.16	4.52	8.25	1.74	4.52	9.02	4.08	4.55	0.65	a	a	b	c	b	b	a	b	a	a
x12	4.77	8.12	8.55	5.54	9.07	7.34	7.31	6.66	4.86	2.92	a	b	c	c	b	b	c	b	b	a	6.15	5.49	8.47	6.37	4.25	3.04	1.46	1.04	9.23	9.29	a	b	b	c	a	c	b	b	a	c	9.17	0.13	2.13	6.77	9.49	4.22	4.83	4.8	6.68	9.29	a	b	a	a	c	b	a	a	b	a	8.22	1.33	8.1	5.52	3.17	1.79	9.07	7.92	0.26	9.49	c	b	c	b	a	a	b	b	a	b
x13	9.91	9.01	0.6	1.57	0.64	0.55	2.72	0.05	3.44	9.62	a	b	c	c	c	a	b	c	a	a	2	6.78	8.41	6.65	9.59	4.15	9.75	3.38	6.6	1.14	c	b	b	b	b	c	a	c	c	b	2.64	3.81	0.1	7.17	0.21	8.74	7.82	2.45	4.19	5.25	c	c	a	c	c	c	a	a	a	c	1.24	6.47	6.71	7.31	4.12	2.73	5.17	3	6.53	9.2	c	a	c	a	a	c	a	a	b	c
x14	5.29	2.6	0.09	1.09	8.34	3.02	6.44	3.42	1.04	9	b	c	c	a	b	b	c	b	b	b	3.7	6.75	4.93	7.07	2.19	9.95	8.82	0.64	9.68	7.31	b	b	c	a	c	b	b	b	a	b	5.68	6.98	7.28	9.81	8.02	6.79	7.52	0.73	7.98	1.16	b	c	a	a	c	a	a	a	b	c	8.03	5.22	1.43	2.22	0.82	0.86	3.62	3.69	7.7	6.29	c	a	c	b	a	a	c	a	a	c
x15	4.83	8.17	4.71	7.87	2.24	0.03	0.49	2.82	7.04	0.08	a	a	c	b	a	c	c	c	b	c	8.81	1.53	0.41	0.05	4.3	9.15	0.75	3.89	6.74	2.61	c	b	b	c	a	b	c	c	a	a	0.26	1.77	5.54	3.46	4.07	8.22	9.13	0.66	0.67	3.63	a	c	c	c	b	c	b	b	b	c	3.65	3.62	0.06	1.19	7.56	2.64	6.18	1.95	2.48	4.16	a	a	c	c	b	c	a	c	c	b
x16	3.79	3.79	9.46	3.79	1.72	0.14	9.52	3.79	8.52	1.77	a	a	a	c	c	c	b	b	b	b	5.95	5.95	6.41	5.95	8.12	0.43	4.36	5.95	5.2	1.67	a	a	a	b	a	c	c	c	b	c	8.99	4.73	8.19	8.1	9.69	7.48	6.19	1.79	1.24	3.39	b	a	a	c	b	a	c	c	c	c	6.92	9.35	2.93	1.7	0.77	6.21	4.66	8.76	4.9	9.96	b	b	b	c	c	a	b	c	a	a
x17	9.82	0.13	2.12	1.04	6.56	0.37	0.03	3.29	2.41	6.14	b	c	c	a	b	c	a	c	b	a	0.66	5.84	6.86	4.75	6.86	6.86	2.12	2.09	8.11	4.97	b	a	c	b	c	c	c	a	b	c	4.25	8.27	4.54	8.96	4.54	4.54	6.16	0.94	4.34	0.62	c	b	a	b	c	c	c	a	b	c	0.28	9.63	2.34	1.3	9.17	0.78	7.9	3.72	1.37	6.97	a	a	b	b	c	b	b	a	c	c
x18	3.79	3.79	1.42	3.79	4.79	2.98	9.31	3.79	3.67	2.8	b	b	b	c	c	a	c	c	c	c	5.95	5.95	3.63	5.95	0.5	2.45	6.14	5.95	8.09	4.13	a	b	c	b	a	a	a	c	c	b	7.46	7.86	9.23	4.12	1.46	4.26	6.08	8.38	1.76	6.23	b	b	a	b	a	a	a	a	b	a	7.73	8.87	1.05	7.21	2.9	9.56	1.65	5.26	7.03	1.87	a	b	c	c	c	a	c	a	a	b
x19	3.79	3.79	7.68	3.79	2.67	8.94	9.44	3.79	1.3	3.7	a	c	a	c	c	b	a	c	a	a	5.95	5.95	2.88	5.95	6.94	3.46	2.48	5.95	0.29	3.81	a	a	c	a	a	a	b	c	a	a	9.26	7.18	0.78	2.28	2.91	2.63	5.97	6.36	3.05	5.05	b	a	b	b	c	b	a	b	c	b	6.35	8.7	3.66	3.51	4.08	2.61	8.17	8.86	6.38	5.56	a	b	a	b	b	b	a	a	a	b
x20	9.18	3.07	5.29	7.51	2.48	3.23	3.04	0.89	5.62	5.26	c	b	b	b	b	a	a	b	c	c	2.55	4.84	1.01	8.88	2.81	1.98	2.49	5.05	3.3	3.52	a	c	b	a	b	a	a	b	c	b	8.93	0.43	6.97	8.14	2.58	5.05	7.01	9.09	7.47	0.7	b	b	b	c	c	c	a	c	c	a	7.6	2.92	5.66	7.92	0.9	0.67	9.05	9.56	7.53	5.02	b	a	c	c	b	a	b	a	b	c
x21	3.79	3.79	3.86	3.79	9.01	2.06	5.88	3.79	5.24	2.67	a	a	b	c	c	a	b	c	c	c	5.95	5.95	6.36	5.95	1.6	1.78	8.8	5.95	0.94	9.85	c	c	c	c	a	b	c	c	b	b	3.9	2.27	5.97	6.67	3.68	5.53	3.72	6.02	2.51	7.42	a	c	a	c	c	a	b	a	b	a	4.74	1.45	2.32	1.3	9.54	9.39	5.5	6.89	3.83	2.42	a	c	c	a	c	a	c	a	a	c
x22	3.79	3.79	7.14	3.79	7.61	7.46	8.38	3.79	7.49	0.3	b	c	c	c	c	a	b	b	c	a	5.95	5.95	2.73	5.95	9.59	3.66	8.87	5.95	5.04	7.53	b	b	c	c	a	a	a	c	c	c	5.23	1.66	1.68	2.41	0.01	9.25	9.99	7.56	1.92	7.53	c	c	a	c	b	b	a	a	c	b	1.01	3.42	8.65	5.84	0.58	6.48	9.21	0.34	0.37	7.06	c	a	a	a	b	b	b	c	b	a
x23	9.88	1.37	3.31	7.5	3.62	3.78	9.28	9.8	6.12	4.92	b	c	c	a	c	b	a	b	b	a	5.15	4.73	5.74	5.07	1.21	1.91	5.67	4.24	2.88	6.92	c	a	c	a	b	b	c	b	c	c	5.66	5.93	3.18	3.75	2.01	6.7	2.2	7.04	0.03	3.72	a	b	b	b	a	c	a	a	c	c	4.91	9.17	4.47	2.52	6.87	7.26	8.54	5.13	6.94	4.97	c	a	c	a	c	c	c	c	b	c
x24	9.35	9.68	1.07	1.58	4.55	7.12	8.02	4.36	3.24	1.13	a	c	c	c	b	a	a	a	b	c	9.99	2.21	8.15	1.1	4.43	1.33	4.77	6.51	4.3	6.38	a	b	a	c	b	c	a	c	b	b	2.03	6.13	8.39	1.7	4.43	7.78	4.77	8.37	4.3	6.38	a	c	a	a	b	c	c	b	a	c	7.74	3.77	8.83	3.15	3.45	6.73	7.98	9.78	3.38	5.48	c	b	a	a	c	b	c	a	a	b
x25	0.65	2.75	2.95	4.9	6.81	6.62	4.18	7.95	5.97	4.31	a	b	b	b	c	b	c	b	a	c	6.1	5.92	1.92	5.3	7.64	2.44	3.59	9.31	2.32	7.31	c	b	c	a	a	a	a	c	c	b	1.23	9.96	3.24	7.19	3.41	8.04	3.19	9.45	1.16	9.7	c	c	c	b	a	c	c	a	c	b	5.59	2.68	7.87	2.46	4.99	0.06	0.67	0.02	7.18	7.51	c	b	a	a	c	c	a	c	c	b
x26	8.59	1.68	3.34	9.1	2.47	5.98	7.72	0.98	2.11	4.63	b	b	c	b	a	b	c	b	c	b	9	3.87	2.98	3.71	1.14	2.67	8.14	0.92	8.32	9.6	b	b	c	a	c	b	c	c	a	b	1.56	0.66	8.41	7.67	4.4	5.69	1.25	6.36	7.04	7.95	c	c	a	c	c	c	a	b	c	b	0.16	1.63	7.37	0.81	9.06	9.35	4.26	6.01	1.34	0.88	c	c	a	c	b	b	a	a	a	a
x27	3.06	2.97	7.01	6.6	5.21	6.79	2.83	3.91	8.98	7.55	a	a	a	c	c	c	c	c	a	c	6.27	4.75	0.37	3.46	3.02	6.79	5.17	0.09	7.37	8.09	c	c	b	c	c	b	a	b	c	c	4.45	2.51	1.4	6.94	7.91	0.15	0.2	1.33	6.83	5.92	a	b	a	c	b	a	b	b	c	c	4.13	7.83	1.25	5.59	2.53	5.85	5.23	0.65	6.91	2.87	c	c	b	b	b	a	b	b	c	b
x28	4.89	8.13	5.94	4.34	6.04	4.32	5.91	2.97	7.86	9.13	b	b	c	a	b	b	c	b	a	b	1.62	4.43	1.61	7.88	4.43	6.13	4.77	6.93	4.3	6.38	b	c	a	b	b	c	b	c	b	c	0.43	1.25	2.87	3.97	4.43	2.87	4.77	3.43	4.3	6.38	a	b	a	b	b	c	b	a	c	c	4.12	8.26	8.89	0.81	0.49	6.26	7.72	2.91	1.85	9.85	c	c	a	b	c	a	c	c	b	b
x29	0.42	1.74	7.1	6.62	8.82	0.25	4.89	7.9	8.59	9.79	c	b	a	b	c	b	c	a	b	a	6.34	5.48	5.63	8.7	8.02	0.8	2.3	1.31	7.79	7.25	c	c	b	c	c	b	c	c	c	b	8.12	3.89	8.24	0.68	6.28	0.01	6.48	2.45	0.71	8.8	a	c	b	c	c	b	c	a	a	c	4.56	9.29	1.03	7.12	9.92	5.24	5.86	6.46	8.86	2.59	a	c	c	c	c	a	c	b	a	c
x30	4.38	4.21	2.43	4.02	5.56	3.68	0.75	9.25	1.44	7.17	a	c	b	b	a	c	b	b	a	a	2.39	3.32	4.39	7.36	2.67	8.1	4.68	2.84	9.8	9.46	c	a	c	a	b	c	b	a	a	a	2.28	1.01	9.05	1.34	8.05	5.34	8.32	4.15	4.04	5.27	c	a	a	b	b	c	b	c	b	c	4.37	7.98	9.81	1.82	1.78	9.21	4.41	3.81	3.86	4.57	b	b	a	b	b	c	a	a	b	a
x31	3.54	4.49	6.33	0.86	4.91	5.21	4.12	7.01	2.93	9.17	a	c	b	c	b	a	c	a	c	b	6.01	5.44	1.85	0.4	0.31	9.91	0.94	8.83	6.19	8.61	a	b	a	a	a	b	c	c	c	c	9.96	0.59	6.81	7.38	1	8	2.65	4.95	7.61	7.34	a	b	b	a	c	a	c	b	b	a	7.73	7.5	8.66	0.83	2.79	7.54	6.3	4.83	1.33	4.62	b	c	c	a	b	b	a	a	c	c
