X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	3.96	6.31	4.23	3.17	0.64	c	a	c	a	b	4.03	3.97	0.8	6.54	0.25	c	a	c	c	b	8.96	9.92	2.42	1.34	2.37	c	c	b	c	b	5.84	5.47	5.56	4.84	0.83	c	b	c	c	b	5.81	6.69	7.21	2.76	9.5	c	a	a	c	b	6.59	1.51	6.92	5.45	1.64	a	a	c	b	b
x1	8.86	0.18	2.69	5.61	4.14	c	b	b	b	b	8.5	9.24	1.72	0.18	8.26	a	b	b	b	b	8.79	2.42	0.48	7.62	8.48	c	c	c	c	b	0.12	5.48	9.11	1.86	2.02	a	a	a	a	b	6.98	8.23	6.55	9.21	4.28	c	c	b	b	b	4.36	3.85	2.1	6.63	6.36	b	a	b	b	a
x2	4.45	9.05	6.51	2.9	3.67	a	b	b	b	c	9.94	9.05	6.51	2.01	3.72	b	c	b	b	c	0.86	9.05	6.51	9.77	8.89	a	c	a	a	c	4.93	9.05	6.51	6.38	9.6	c	c	a	b	a	7.74	9.46	0.53	4.06	1.17	c	c	c	c	b	6.44	7.96	1.02	2.97	7.34	b	c	c	a	c
x3	5.28	0.08	3.03	6.31	0.66	a	c	c	a	c	3.93	2.36	3.03	6.31	8.58	a	c	a	a	c	9.92	3.36	3.03	6.31	4.43	a	c	b	a	c	2.87	0.28	3.03	6.31	7.42	a	b	a	a	c	8.41	2.11	1.71	6.73	1.49	a	b	b	b	b	1.38	4.22	1.96	3.99	8.82	b	c	b	a	c
x4	5.23	5.58	2.21	1.89	2.92	a	b	a	c	a	0.34	5.87	4.8	1.47	0.95	c	b	c	b	c	1.79	3.07	5.77	6.94	1.71	a	b	a	c	b	8.26	5.2	5.57	1.42	7.24	a	b	c	a	c	8.73	6.01	2.02	5.15	9.92	a	b	a	b	c	1.35	9.9	9.2	4.62	0.51	a	a	c	a	c
x5	7.26	5.56	5.55	8.54	5.11	b	b	c	c	c	8.96	0.4	1.84	0.56	0.73	b	a	c	b	c	4.3	9.32	8.04	0.92	1.42	c	c	a	c	a	4.3	9.22	7.39	0.92	1.42	c	c	b	b	a	4.3	3.67	3.71	0.92	1.42	c	c	b	c	a	3.02	9.06	7.72	3.3	0.32	a	a	a	a	c
x6	9.35	4.65	2.49	4.67	7.74	c	c	c	b	c	8.7	6.58	1.64	0.89	7.8	a	b	b	b	a	4.3	9.1	6.39	0.92	1.42	c	c	a	c	a	4.3	9.17	4.25	0.92	1.42	c	c	c	a	a	4.3	3.38	1.48	0.92	1.42	c	c	c	a	a	8.51	2.56	8.2	5.56	4.65	a	b	c	b	b
x7	3.75	0.22	7.8	2.09	8.33	c	c	b	c	a	1.92	0.35	3.34	6.2	8.48	c	c	a	c	b	9.21	4.81	7.34	1.21	2.89	b	a	c	a	b	0.93	4.68	9.23	5.34	0.17	b	a	c	a	a	8.99	4.73	6.04	9.08	1.06	c	b	b	a	a	3.09	3.89	5.92	8.07	0.74	c	c	c	c	a
x8	8.61	5.96	8.77	8.76	2.29	b	c	c	c	b	6.1	0.29	3.44	8.88	1.84	c	c	a	b	b	2.19	3.54	7.65	5.94	0.29	c	c	a	b	a	2.19	9.99	1.47	5.94	0.93	c	b	a	b	a	2.19	7.21	6.34	5.94	7.7	c	c	b	b	c	4.14	1.21	9.25	9.99	9.06	a	c	a	a	b
x9	2.94	5.23	5.14	3.22	6.17	c	c	b	b	c	5.76	6.96	9.67	4.73	8.94	c	c	c	c	b	1.1	3.73	0.58	2.16	8.23	c	c	a	c	b	0.65	7.47	4.15	3.98	2.78	c	c	a	c	b	8.98	5.79	0.76	3.3	7.98	c	a	b	c	b	6.38	3.71	4.46	8.29	1.26	a	b	a	b	c
