X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	3.31	7.38	5.83	7.38	7.38	a	c	a	b	a	4.54	3.06	1.6	3.06	3.06	b	c	b	b	a	2.33	7.59	7.7	6.96	2.29	c	b	a	a	a	9.12	1.41	7.1	9.56	8.86	c	b	c	b	c	8.25	8.81	3.11	4.5	1.32	a	c	b	b	b	7.66	9.73	8.5	6.71	9.37	c	c	b	a	b
x1	2.01	7.38	6.66	7.38	7.38	b	c	a	b	a	5.52	3.06	1.93	3.06	3.06	c	c	a	b	a	8.26	6.08	4.16	5.23	0.21	c	b	c	a	c	3.85	3.81	1.9	2.82	4.26	a	b	b	b	b	6.91	5.3	5.75	6.22	4.04	b	b	c	b	c	7.76	0.03	7.71	6.03	8.14	c	b	a	a	a
x2	8.85	2.23	0.8	5.74	3.42	c	b	a	a	b	3.51	8.19	7.9	2.8	7.68	b	c	a	b	b	6.26	3.57	7.52	6.77	7.55	b	b	a	b	c	3.34	9.33	4.52	5.95	5.58	b	b	a	b	a	8.9	0.19	2.1	9.57	9.36	b	c	a	a	b	2.4	8.31	5.08	3.62	0.81	b	c	c	b	c
x3	5.75	5.23	9.66	5.33	5.36	a	b	c	a	c	9.21	0.8	0.53	1.07	4.26	a	c	c	a	c	9.6	6.99	0.27	3.48	9.3	a	a	a	a	b	1.04	7.91	3.35	8.28	4.63	c	a	b	a	a	3.3	5.35	4.02	0.1	8.15	b	a	a	c	a	0.43	1.85	8.12	9.9	2.76	a	b	a	a	a
x4	6.98	1.24	5.76	5.16	4.81	a	a	a	c	b	3.66	9.08	3.89	3.62	5.9	a	a	b	b	c	2.92	3.6	7	6.21	3.05	b	b	c	b	a	1.12	3.97	2.25	7.3	1.94	b	b	b	b	c	8.9	7.86	1.28	9.77	4.93	b	a	a	a	b	0.1	0.24	9.77	3.24	3.28	b	b	a	c	b
x5	2.16	7.38	2.15	7.38	7.38	a	b	b	b	a	4.49	3.06	9.73	3.06	3.06	c	b	b	b	a	3.92	5.56	9.8	3.7	4.48	b	a	c	a	b	5.59	0.15	7.3	9.39	9.68	a	b	b	c	b	7.49	9.93	8.61	7.53	9.07	c	b	c	b	b	7.19	5.22	4.75	2.97	7.38	b	a	b	a	a
x6	2.85	4.97	7.52	5.14	4.82	a	a	b	b	c	8.11	0.45	0.09	9.76	6.36	c	c	a	c	a	0.14	2.39	4.33	5.63	9.48	a	a	a	c	c	4.17	8.48	1.92	8.13	3.47	a	a	a	c	b	7.1	1.13	9.39	6.5	6.04	c	a	a	c	c	7.02	4.45	2.69	3.53	6.91	a	c	c	a	c
x7	8.84	5.01	8.91	8.35	0.97	b	c	c	a	b	1.37	7.03	4.52	6.47	3.41	c	a	a	a	b	4.96	5.51	4.24	7.21	4.53	c	a	b	a	a	3.39	0.95	2.25	1.97	7.27	b	a	b	b	c	8.31	6.69	4.69	9.18	0.81	b	b	a	b	b	6.9	3.99	0.23	5.51	5.24	b	b	b	a	c
x8	0.57	7.38	1.12	7.38	7.38	b	b	b	b	a	4.84	3.06	1.52	3.06	3.06	b	b	a	b	a	2.07	4.4	5.02	3.95	1.91	b	b	b	a	b	3.86	3.35	7.51	1.88	9.8	a	b	b	b	a	9.39	1.75	0.31	2.91	7.13	b	c	c	c	c	5.36	5.24	0.95	1.92	1.81	a	a	b	b	a
x9	3.9	3.66	7.14	0.82	2.94	a	a	c	a	b	2.98	9.89	7.9	1.71	7.62	a	b	b	a	a	4.62	0.46	0.23	8.84	5.5	a	a	a	c	b	1.4	1.49	5.67	1.87	5.71	b	a	a	c	c	2.76	2.4	3.34	2.38	7.87	a	a	a	c	a	7.83	7.68	3.89	9.44	3.61	b	a	a	b	b
x10	5.6	0.69	1.55	2.81	4.49	c	a	c	b	b	6.46	6.56	7.82	8.72	7.27	b	c	b	a	a	6.09	5.28	2.44	4.12	4.46	a	c	c	b	c	2.01	5.1	4.75	1	7.96	b	a	a	c	b	0.19	0.87	1.85	9.74	8.15	a	a	c	c	b	5.96	7.72	5.54	6.54	6.92	a	b	b	a	a
x11	3.12	5.19	9.74	5.35	0.16	c	c	a	c	c	9.03	3.05	5.28	0.28	5.34	a	b	a	a	b	6.16	0.38	4.88	7.01	1.67	b	b	b	c	b	2.59	4.98	0.19	5.39	4.28	a	a	a	a	a	5.26	8.52	8.71	5.94	6.3	b	a	a	b	b	2.01	9.24	5.3	1.63	4.53	a	a	c	a	b
x12	9.45	1.53	1.93	5.02	3.84	b	b	a	a	a	5.85	4.74	3.14	3.14	3.14	a	b	b	c	a	3.03	3.64	4.89	4.89	4.89	c	b	b	c	b	2.46	2.1	9.6	9.6	9.6	a	b	b	c	a	0.68	9.54	4.03	7.54	7.84	b	a	b	c	a	9.56	2.36	9.04	1.22	4.33	c	b	a	b	b
x13	9.56	7.38	7.09	7.38	7.38	c	a	a	b	a	7.9	3.06	7.52	3.06	3.06	c	c	a	b	a	6.62	5.47	5.6	4.63	3.89	c	a	a	a	b	2.24	0.8	0.3	8.77	6.73	a	b	b	a	a	5.74	8.53	2.24	8.54	5.59	b	c	a	c	a	3.05	8.78	9.39	1.06	9.54	b	a	c	c	c
x14	3.73	4.57	3.82	7.62	5.65	c	b	a	a	c	7.86	1.24	1.83	4.56	2.25	b	c	a	a	c	3.86	5.06	3.39	1.28	3.28	a	c	a	a	a	9.61	9.79	9.47	6.75	5.75	a	b	a	a	b	3.05	2.63	3.79	8.17	2.3	c	b	b	b	b	9.24	5.38	2.65	9.81	4.51	c	c	c	b	c
x15	3.26	5.82	1.64	0.11	6.26	c	b	a	a	c	0.11	9.03	7.27	3.88	8.14	a	b	b	a	b	9.74	2.75	2.59	2.57	4.1	b	a	c	c	a	8.68	6.87	1.36	4.99	4.47	a	b	c	b	c	2.5	8.35	4.48	8.63	5.92	a	a	c	a	a	6.04	5.07	5.37	2.26	2.11	c	b	b	a	b
x16	1.39	4.13	0.35	5.98	8.13	c	a	a	b	a	7.61	3.32	2.61	7.32	8.74	b	b	c	b	a	6.24	7.23	7.3	7.27	0.84	b	c	a	b	a	9.56	2	4.95	2.79	7.95	b	b	c	c	c	6.92	6.25	0.32	6.68	6.01	a	a	a	c	c	5.31	3.12	2.21	1.06	5.79	b	a	a	c	b
x17	8.08	5.05	5.53	3.86	5	c	b	a	c	b	4.66	7.87	4.36	2.63	5.18	c	a	b	b	b	0.65	0.24	5.46	7.17	6.93	b	a	a	c	c	7.61	0.5	3.7	7.97	8.69	c	a	a	c	c	4.41	9.28	0.22	4.12	3.06	c	a	a	c	b	0.51	3.9	1.9	3.65	3.55	a	c	b	b	b
x18	0.09	2.92	8.2	1.27	1.09	b	b	a	c	c	6.6	7.75	3.14	3.14	3.14	b	b	b	c	a	7.6	2.12	4.89	4.89	4.89	c	b	b	c	b	4.29	2.93	9.6	9.6	9.6	a	b	b	c	c	4.57	6.08	8.92	3.42	10	c	b	c	b	b	3.19	3.31	9.43	6.24	8.3	c	a	c	c	b
x19	5.59	3.24	2.24	4.06	9.09	b	c	a	b	c	7.47	8.94	2.58	3.66	8.27	b	c	a	a	b	6.2	7.17	1.23	4.28	0.71	c	c	a	a	b	9.36	5.22	2.92	1.9	3.28	c	a	c	a	c	9.2	0.9	7.3	9.12	1.88	c	b	c	c	b	7.47	6.98	2.09	4.99	9.47	b	b	a	a	c
x20	1.25	8.45	7.63	6.45	4.58	b	a	a	c	c	5.76	8.55	7.82	8.85	3.72	c	c	c	b	c	8.98	2.12	7.75	8.69	2.76	b	b	a	b	c	5.79	7.27	7.41	0.85	7.83	b	b	b	b	a	9.55	9.74	5.98	7.31	7.27	c	c	b	a	a	2.53	7.32	8.52	7.94	9.59	b	c	c	b	c
