X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	0.2	5.16	0.2	3.31	7.7	b	c	c	a	a	5.53	1.16	0.43	3.37	2.35	c	b	c	b	b	6.24	7.91	1.16	6.59	7.66	c	a	a	a	a	8.31	8.16	2.76	7.57	5.33	b	c	c	c	a	1.71	2.52	1.02	6.88	0.79	b	c	b	c	b	2.89	4.75	0.6	6.65	8.58	c	b	a	b	a
x1	9.59	0.38	7.4	6.17	6.14	a	c	c	c	b	9.49	8.59	8.01	5.09	9.07	a	c	c	a	c	2.57	5.58	6.92	8.64	7.87	c	b	c	a	c	1.82	6.36	4.11	9.86	3.12	b	b	a	b	a	5.14	0.16	0.83	7.65	1.03	c	b	c	b	c	6.58	5.88	3.86	0.55	1.54	a	c	a	b	a
x2	0.38	7.32	7.44	3.69	4.16	b	c	a	a	a	5.23	2.64	5.38	9.64	9.42	c	a	a	b	b	4.87	6.79	4.5	4.13	0.74	b	c	c	a	a	2.24	5.51	3.56	9.45	5.92	b	c	a	c	a	5.41	8.31	7.79	5.16	1.88	b	a	b	c	a	8.45	3.02	9.71	1.34	6.77	c	a	a	a	b
x3	8.44	1.93	6.16	2.57	6.73	c	a	a	c	b	9.06	3.48	3.8	9.39	6.25	b	b	c	b	a	2.91	9.81	7.17	5.93	6.07	a	b	c	b	c	6.12	6.85	0.7	4.83	7.98	b	a	b	a	a	2.11	3.29	3.31	3.76	0.51	a	c	a	a	a	1.49	1.49	3.4	2.99	7.37	b	c	b	a	a
x4	0.05	0.09	9.67	2.33	5.21	c	b	a	a	c	1.69	2.42	8.15	4.3	3.12	b	a	a	a	c	6.95	4.52	6.83	1.25	4.42	a	b	b	a	b	1.24	1.32	3.27	9.62	4.18	b	a	c	a	b	9.99	2.53	1.12	1.74	2.84	a	a	a	c	b	8.25	8.05	2.33	8.39	9.95	c	a	c	a	c
x5	5.04	8.77	3.57	5.04	5.04	a	a	c	c	c	4.51	5.58	3.77	4.51	4.51	a	a	a	a	c	2.32	2.97	1.05	2.32	2.32	a	a	c	b	c	0.89	1.64	0.11	0.88	3.69	c	c	b	a	c	0.98	6.17	2.18	3.11	5.66	b	c	b	c	a	5.64	4.13	3.89	5.7	7.35	a	c	a	b	b
x6	5.04	0.27	6.09	5.04	5.04	a	a	b	a	c	4.51	0.01	4.56	4.51	4.51	a	a	b	c	c	2.32	9.76	3.24	2.32	2.32	a	a	b	c	c	6.31	1.84	8.93	7.74	2.82	b	b	c	b	c	0.56	1.95	9.29	0.1	4.92	a	a	b	a	b	3.85	2.46	8.47	7.96	2.62	b	c	b	b	c
x7	5.04	8.9	1.36	5.04	5.04	a	a	a	c	c	4.51	4.57	5.95	4.51	4.51	a	a	b	c	c	2.32	5.79	8	2.32	2.32	a	a	c	a	c	5.8	2.01	6.98	4.13	8.99	b	a	b	a	a	3.28	0.91	2.1	3.54	7.56	b	b	b	a	a	2.19	7.94	3.41	2.96	6.09	c	c	c	b	c
x8	5.04	3.89	3.2	5.04	5.04	a	a	a	c	c	4.51	3.79	3.56	4.51	4.51	a	a	c	c	c	2.32	9.42	1.56	2.32	2.32	a	a	c	c	c	0.63	1.16	1.35	6.35	3.66	a	c	b	c	b	0.5	0.3	0.82	2.58	4.54	b	a	c	a	a	6.13	6.31	5.93	9.58	5.75	b	a	c	b	b
x9	4.95	3.09	4.93	5.12	9.05	a	c	a	a	c	8.06	3.02	0	5.68	9.03	b	a	b	a	b	4.81	2.6	2.25	7.46	1.53	b	a	b	a	a	7.87	5.03	6.82	5.65	9.62	b	a	b	a	b	3.48	1.59	2.63	8.58	4.96	b	a	b	a	a	7	6.8	5.66	2.52	0.31	a	b	b	c	a
