X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	8.46	6.99	6.73	2.37	4.45	a	b	c	b	a	0.36	1.56	6.7	9.06	7.57	a	a	c	b	b	5.86	5.86	7.43	3.11	6.26	b	a	b	c	b	6.85	6.85	5.09	8.06	4.17	b	a	b	c	b	2	2	2.47	9.3	0.42	b	a	b	c	b	6.21	2.17	8.35	0.96	4.65	b	a	a	b	b
x1	6.56	8.02	9.51	0.04	6.5	a	a	b	c	b	6.53	7.75	5.27	6.78	9.83	b	b	a	b	a	8.73	4.09	6.38	6.68	6.16	c	c	a	b	a	0.12	0.75	7.68	1.81	2.06	b	a	a	b	b	5.94	0.3	0.78	9.26	8.66	b	b	c	a	b	6.95	5.71	1.79	1.56	3.94	a	c	b	c	c
x2	7.42	6.38	8.41	9.63	7.95	c	a	c	c	b	3.34	2.64	3.34	3.09	4.1	c	a	b	b	c	1.05	1.01	1.05	3.47	3.25	c	b	b	a	c	5.08	0.07	5.08	0.58	5.98	c	b	b	c	c	4.45	8.03	3.92	6.12	6.4	a	c	c	c	b	4.03	4.29	9.08	1.38	8.11	a	c	c	b	c
x3	5.66	5.5	8.88	5.84	0.95	c	a	a	a	c	3.34	9.6	3.34	4.65	7.49	c	c	b	b	c	1.05	6.42	1.05	4.55	8.57	c	a	b	a	c	5.08	7.24	5.08	3.43	5.29	c	b	b	c	c	1.86	7.16	2.5	7.79	4.89	c	a	a	a	c	9.7	8.97	9.29	8.6	4.8	a	b	c	a	a
x4	5.91	1.56	4.15	1.42	5.82	c	a	c	c	b	0.92	4.97	0.84	0.15	3.09	c	b	b	b	c	9.52	0.73	4.86	8.07	2.37	c	c	a	a	a	2.81	7.98	0.74	9.35	4	c	c	b	c	a	6.1	4.69	7.63	5.65	3.05	b	a	c	a	b	6.32	8.3	5.63	1.54	4.08	a	a	a	a	b
x5	5.68	1.04	8.29	1.04	1.04	b	b	b	a	c	6.78	2.01	7.15	2.01	2.01	b	a	b	b	c	5.14	9.83	6.74	4.66	4.31	a	a	c	a	b	0.79	4.91	3.32	8.44	0.22	b	b	c	c	b	8.47	6.19	7.43	9.97	5.82	b	b	c	b	b	5.52	8.9	0.26	9.1	2.1	b	c	b	a	a
x6	8.67	7.42	2.14	9.38	9.25	a	c	c	a	b	2.39	7.56	3.4	1.71	4.76	b	b	b	b	b	9.67	6.53	3.47	1.25	7.22	a	a	b	c	a	7.8	5.36	1.55	7.76	6	a	b	b	a	a	7.84	0.61	1.95	8.26	2.4	c	a	a	b	a	8.44	6.38	9.63	5.3	9.68	b	a	b	b	b
x7	2.51	0.98	2.82	2.17	2.18	a	c	a	b	b	0.16	0.24	8.77	7.49	0.9	a	b	c	c	a	8.63	2.66	8.11	5.47	7.46	a	c	b	a	c	3.18	2.49	7.27	6.05	9.75	b	c	c	c	b	4.66	4.67	3.37	4.13	6.92	a	c	b	c	a	5.04	0.16	4.82	4.31	0.53	a	c	a	c	b
x8	9.71	1.53	7.52	6.78	1.51	c	b	b	c	c	0.94	5.91	5.77	2.61	9.25	b	a	b	a	b	8.8	9.32	1.02	7.49	0.2	a	a	b	b	c	5.84	8.78	2.86	2.5	9.28	a	b	a	a	c	3.03	6.12	3.51	6.88	0.11	a	b	c	b	b	2.86	3.07	0.21	7.2	2.42	a	b	a	c	a
x9	6.45	2.68	1.56	1.49	3.57	a	a	a	b	c	5.52	6.87	4.93	3.5	4.84	c	b	c	a	c	9.32	8.25	6.57	5.6	7.62	a	b	c	a	b	2.41	1.41	2.9	3.68	2.77	c	a	a	a	b	1.82	5.53	9.08	7.49	5.74	a	c	c	b	a	5.35	2.56	8.01	0.41	3.05	b	a	c	b	a
x10	5.85	1.49	8.76	5.07	0.5	a	b	b	c	c	6.26	6.76	4.27	4.66	2.95	a	c	c	a	c	1.55	4.44	2.27	3.8	9.49	a	c	b	a	a	4.21	2.21	7.36	0.7	6.76	b	c	c	b	b	3.54	0.69	2.12	3.95	5.58	b	a	c	b	c	8.49	8.04	0.52	1.23	9.4	a	b	a	a	c
x11	0.55	0.82	8.39	5.61	1.84	c	b	a	c	b	3.34	3.67	3.34	2.16	5.31	c	b	b	c	c	1.05	8.82	1.05	1.46	7.61	c	b	b	c	c	5.08	5.21	5.08	9.58	0.17	c	a	b	c	c	3.77	2.33	9.35	8.35	2.86	b	c	a	b	b	8.27	7.74	9.96	8.26	3.83	a	c	c	a	c
x12	0.58	8.04	6.72	5.57	2.91	b	b	c	c	a	7.98	2.38	0.65	2.4	6.02	a	c	a	a	b	5.86	5.86	0.61	4.18	9.8	a	a	c	c	b	6.85	6.85	5.62	8.71	3.53	c	a	a	c	b	2	2	7.95	0.12	7.31	a	a	a	c	b	5.6	2.58	7.6	4.05	7.83	c	c	a	a	b
x13	7.86	4.06	8.52	2.11	2.99	a	c	a	c	c	2.98	3.18	1.24	6.98	6.66	c	a	a	a	a	4.28	6.66	1.37	7.8	5.41	a	a	a	a	a	7.04	9.93	8.64	8.73	4.18	b	c	b	b	a	0.8	5.02	4.09	4.05	2.34	b	b	b	a	c	5.54	6.95	4.61	0.19	8.34	c	a	b	b	c
x14	9.54	2.24	5.84	5.85	6.19	a	b	b	a	a	5.81	0.26	5.27	0.22	5.1	b	c	b	a	c	0.98	3.87	1.17	8.3	0.71	a	c	b	a	a	3.12	7	4.29	7.02	0.15	b	b	a	b	b	4.09	4.09	6.3	5.5	7.92	c	c	c	a	c	6.43	9.27	4.14	5.81	6.37	a	a	a	b	b
