X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	0.71	5.15	2.76	3.23	5	3.27	3.57	4.16	5.45	0.73	b	a	b	c	b	a	c	b	b	c	9.52	3.76	3.84	7.86	4.67	2.86	4.69	2.87	1.44	5.99	c	b	c	c	b	a	a	c	c	b	9.52	1.87	3.4	5.69	0.05	2.61	2.61	7.12	1.46	6.48	c	b	c	c	a	a	b	c	c	c	3.3	8.23	3.11	3.4	3.91	9.71	8.31	5.23	3.28	9	a	c	b	a	a	c	c	b	b	c
x1	2.52	8.26	9.51	2.83	1.25	9.17	1.49	3.93	6.16	9.05	a	b	a	b	c	c	c	b	c	c	1.09	7.39	3.31	4.91	8.48	8.22	2.96	3.71	2.24	2.47	a	a	a	c	b	c	a	a	a	a	8.99	7.45	5.26	0.23	7.83	1.28	1.59	0.81	4.64	5.34	b	a	c	c	c	a	c	a	a	b	5.61	1.01	9.83	0.36	1.24	1.27	7.86	2.56	0.19	1	a	b	c	c	b	c	b	b	a	c
x2	8.89	6.74	8.4	9.59	3.56	8.38	4.77	1.51	1.12	7.14	b	a	b	b	c	c	c	b	b	c	5.22	6.63	2.3	5.57	6.89	6.35	9.16	4.94	6.24	0.1	b	a	b	b	c	c	b	a	a	b	4.87	7.29	4.45	7.95	9.08	4.22	5.64	6.14	8.77	2.3	c	a	b	b	b	a	c	c	b	c	2.8	3.77	7.95	4.17	4.22	4.97	1.97	4.31	0.07	4.17	c	b	b	c	b	a	a	a	a	b
x3	4.61	0.27	8.93	9.64	7.99	0.78	0.95	6.71	1	9.27	a	a	a	c	c	c	c	b	b	a	8.56	6.57	8.12	9.14	3.96	2.27	3.57	7.03	7.65	6.5	a	c	a	c	a	c	b	b	b	c	2.7	1.07	9.96	4.86	5.78	7.6	6.99	9.68	0.38	3.12	b	a	a	a	a	c	b	a	c	c	4.56	2.77	3.3	7.39	3.36	8.88	5.28	2.9	0.24	5.36	b	c	c	a	c	c	c	a	a	c
x4	1.63	4.67	4.67	1.95	3.32	9.5	8.15	5.37	1.84	9.09	b	b	b	c	a	b	a	a	b	c	9.33	9.5	4.44	8.44	2.48	2.94	5.36	3.85	3.3	4.92	c	a	b	c	b	c	b	b	a	a	9.68	2.89	2.95	5.11	2.16	8.43	7.85	1.98	2.55	7.5	b	a	c	b	b	b	a	a	a	b	7.85	8.3	4.7	9.03	9.34	0.28	2.06	3.45	6.71	2.74	c	a	a	b	a	b	b	a	c	c
x5	0.26	2.2	5.46	2.47	5.19	8.42	9.23	0.9	9.42	1.9	b	c	b	a	c	c	c	b	a	a	0.26	2.2	5.46	2.47	5.19	8.42	9.23	0.9	4.68	0.51	c	c	c	b	c	b	b	b	a	b	8.91	6.88	3.88	6.05	2.42	4.11	9.4	8.76	7.83	9.23	b	b	b	c	a	a	b	c	b	a	4.36	0.3	0.5	7.36	8.17	9.22	1.96	0.22	1.72	6.37	a	c	c	a	b	a	c	a	a	b
x6	9.84	1.65	7.31	2.33	8.31	0.22	7.51	3.86	8.14	0.35	b	c	b	c	a	a	c	b	a	c	6.87	9.49	2.61	8.48	0.78	1.37	9.44	7.44	7.45	3.13	c	b	c	c	c	a	c	a	c	c	4.86	9.42	0.14	4.92	2.75	8.9	3.26	1.41	3.15	4.54	c	b	c	c	a	a	b	c	c	b	5.73	0.73	5.73	1.45	8.4	9.02	3.42	4.22	2.73	3.86	b	b	c	c	a	c	b	b	b	a
x7	1.85	8.43	7.43	4.15	4.85	2.47	4.06	7.52	4.79	2.42	c	b	c	a	a	c	a	a	a	a	3.53	3.5	9.18	5.62	8.97	4.54	0.71	6.25	5.18	6.11	b	a	a	b	b	b	a	a	c	c	9.86	1.3	7.71	1.96	3.36	5.1	8.25	8.56	6.45	3.03	b	a	c	c	b	b	c	b	b	b	8.65	4.78	4.43	5.28	9.38	3.09	0.63	8.03	6.49	4.93	b	c	b	a	b	a	b	b	a	b
x8	9.68	4.31	4.79	0.9	1.37	2.42	5.44	5.77	3.01	9.19	a	a	b	c	a	b	b	c	c	a	2.39	2.55	7.46	0.69	1.66	9.98	2.15	0.34	6.93	7.58	b	c	b	c	a	a	b	a	c	c	1.23	5.89	6.07	1.51	4.25	8.84	2.73	8.65	0.63	1.02	a	a	c	c	a	c	b	b	a	c	1.66	1.14	8.21	5.31	2.97	7.55	2.85	6.84	1.83	2.95	a	a	b	c	a	a	c	c	c	c
x9	7.26	6.67	5.91	0.46	5.62	4.04	8.32	3.41	7.46	9.49	b	b	c	c	a	b	a	b	b	a	4.99	7.06	1.86	0.45	9.91	1.95	1.08	6.45	9.52	9.17	c	b	c	c	b	a	c	c	a	c	0.01	3.35	5.19	8.75	3.31	6.11	0.2	7.57	2.08	0.7	c	b	c	c	a	a	c	a	b	b	1.76	6.08	2.13	9.6	1.49	8.16	9.76	9.29	3.28	0.47	a	c	b	c	a	a	c	c	c	b
x10	3.49	5.35	0.7	1.51	4.99	6.39	6.94	0.7	1.38	3.06	a	b	c	b	c	a	c	b	c	c	4.72	1.02	9.59	6.64	2.91	0.55	7.2	9.27	3.5	2.76	c	a	c	a	a	c	b	b	b	a	2.81	5.71	6.02	2.33	8.19	8.94	3.38	7.62	0.96	8.04	c	a	b	c	a	a	b	c	b	c	5.04	4.47	3.1	6.93	2.38	3.85	9.29	2.52	3.51	5.88	b	a	b	a	c	c	b	c	c	a
x11	4.34	0.56	3.44	9.91	5.19	8.42	9.23	9.28	1.61	3.83	c	c	a	c	c	b	c	c	b	a	0.22	6.54	6.19	0.3	5.19	8.42	9.23	3.81	5.81	0.39	b	c	a	a	a	b	a	b	a	c	1.84	6.21	8.4	0.34	5.71	1.65	6.16	8.93	8.93	1.32	b	a	c	a	b	b	b	b	b	c	0.78	5.05	7.76	6.43	4.5	7.19	4.88	0.37	6.87	4.32	a	b	b	c	a	b	a	b	c	a
x12	2.31	1.65	3.69	3.42	5.19	8.42	9.23	6.5	5.43	9.8	a	a	c	a	a	b	a	b	c	c	4.65	7.59	8.02	9.2	5.19	8.42	9.23	3.33	9.68	1	c	b	a	a	b	a	c	c	c	a	4.85	9.03	3.02	4.75	1.67	6.53	1.87	1.78	1.83	5.32	c	a	c	b	c	c	a	b	c	b	2.47	5.71	3.63	3.43	3.67	1.96	6.23	1.28	2.12	1.16	a	a	b	a	c	b	b	a	a	c
x13	4.3	6.44	8.03	3.1	5.19	8.42	9.23	8.98	0.2	2.23	b	a	a	b	a	c	b	c	b	c	8.29	5.85	5.36	6.19	5.19	8.42	9.23	4.06	9.92	7.61	b	c	c	c	a	b	a	b	b	c	1.41	6	9.68	1.44	0.39	1.83	8.04	7.13	5.66	8.67	b	c	b	b	b	b	c	c	b	a	3.48	9.64	7.42	8.75	8.49	2.14	8.23	1.79	3.42	1.65	a	c	c	b	a	a	c	a	c	a
