X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	0.36	1.85	3.42	8.27	6.58	3.4	3.07	9.66	8.27	0.76	c	c	c	a	a	c	a	b	a	c	0.36	3.07	3.42	3.46	6.58	3.4	3.07	8.26	3.46	2.99	c	c	b	a	c	c	c	b	a	c	0	0.16	0.42	5.1	2.92	6.23	7.28	0.15	3.25	9.62	c	c	a	b	b	c	c	c	a	a	3.05	8.77	0.72	1.1	2.78	4.18	2.35	0.07	4.18	9.22	a	a	b	c	c	a	c	b	c	c
x1	2.34	8.4	9.69	8.27	8.56	2.67	3.02	6.77	8.27	2.67	a	c	c	a	c	a	c	b	a	c	0.71	4.96	3.36	3.46	6.85	6.49	4.3	2.69	3.46	9.25	a	c	c	a	a	c	c	b	a	c	1.1	1.37	7.3	7.29	5.21	5.89	3.7	9.06	2.9	6.33	b	a	c	a	a	c	b	a	c	a	7.85	1.16	5.63	8.3	0.85	1.52	5.58	4.45	1.29	7.01	a	b	c	b	c	b	a	b	b	a
x2	8.53	6.11	3.36	8.27	4.96	0.37	3.74	0.49	8.27	1.79	a	b	c	a	c	a	b	a	a	c	3.99	5.62	2.05	3.46	7.53	6.84	8.75	6.79	3.46	5.05	c	a	b	a	b	c	a	b	a	c	4.73	8.89	4.02	4.23	3.29	1.58	8.25	7.2	8.73	0.04	a	b	b	b	b	b	c	c	a	a	7.65	3.43	0.74	5.47	7.31	9.68	0.24	3.83	1.28	0.7	b	c	a	a	c	a	b	a	b	c
x3	0.36	5.8	3.42	9.15	6.58	3.4	3.07	1.85	3.63	4.66	c	b	b	c	c	a	b	b	a	c	0.36	7.24	3.42	9.28	6.58	3.4	3.07	7.77	2.5	5.4	b	a	b	a	c	a	a	b	a	c	8.31	8.81	3.86	3.42	9.97	2.98	4.51	3.77	2.37	5.39	b	a	c	a	a	b	b	c	b	b	2.79	5.58	9.65	6.34	9.18	4.07	9.39	9.71	8.85	2.8	b	a	c	b	c	b	b	b	b	a
x4	6.01	1.51	7.8	3.94	4.78	4.25	6.95	5.24	5.17	8.04	c	b	b	b	c	a	c	b	b	c	2.6	3.44	5.94	5.24	7.86	5.51	5.39	1.56	6.39	5.51	a	c	b	a	c	a	a	b	b	c	7.2	7.53	0.37	4.95	9.61	6.9	7.28	0.06	2.91	0.09	c	a	c	b	b	a	b	a	b	a	5.36	6.32	3.66	3.01	4.54	9.3	5.65	6.23	5.98	3.91	a	b	b	a	b	c	c	b	b	b
x5	4.99	5.53	3.17	1.12	2.64	4	7.79	5.42	9.62	3.94	c	c	b	b	c	a	b	b	b	c	3.22	9.67	8.36	4.33	2.6	1.59	7.64	8.97	3.11	8.29	a	b	b	a	c	a	b	b	b	c	0.97	9.56	2.29	5.82	1.38	9.93	1.8	9.96	5.9	4.69	c	c	a	b	c	c	c	a	c	b	1.73	6.9	9.68	9.25	1.75	0.92	8.35	9.92	6.15	3.46	a	b	a	b	a	b	b	a	a	b
x6	0.36	2.57	3.42	8.27	6.58	3.4	3.07	0.88	8.27	2.91	c	b	a	a	a	b	b	a	a	c	0.36	6.26	3.42	3.46	6.58	3.4	3.07	3.46	3.46	8.98	b	c	b	a	b	b	a	b	a	c	3.95	1.35	0.4	8.68	3.66	8.21	9.9	0.93	6.51	5.65	c	b	a	c	a	b	b	c	a	b	7.53	4.48	5.27	5.55	8.17	3.73	9.96	4.23	7.97	2.36	b	b	b	c	c	c	c	a	b	c
x7	4.76	1.12	9.3	0.59	6.16	2.07	2.25	1.28	3.06	8.62	b	a	c	a	b	c	a	c	c	c	1.13	8.66	7.73	2.16	7.95	1.5	2.54	2.59	2.47	8.37	a	a	a	c	b	a	c	b	a	b	4.52	0.05	5.84	2.88	3.39	3.33	6.54	7.54	6.74	0.37	c	c	c	c	b	c	c	b	b	b	2.96	9.91	0.19	1.65	4.96	0.78	3.05	6.36	7.98	8.29	b	a	a	b	c	a	a	c	a	b
x8	0.38	0.63	9.73	4.38	5.35	6.3	0.74	5.77	6.52	2.46	c	c	b	b	c	a	a	c	b	b	6.7	1.76	2.65	2.23	0.15	5.72	5.57	4.9	6.3	4.34	c	b	a	a	c	c	c	b	b	c	9.29	5.44	6.4	4.56	2.6	7.14	1.39	6.53	6.98	6.36	c	a	c	a	c	b	b	c	b	b	2.63	2.48	4.59	1.23	0.94	3.44	4.98	0.93	7.93	5.06	b	b	c	b	c	b	b	a	a	b
x9	0.36	4.19	3.42	4.88	6.58	3.4	3.07	7.54	2.93	0.33	c	b	b	c	c	a	a	c	a	a	0.36	4.19	3.42	9.56	6.58	3.4	3.07	8.77	8.65	2.7	b	b	b	b	b	b	a	a	c	a	9.07	3.34	5.25	4.56	3.89	1.08	4.34	4.44	7.02	0.9	c	c	c	b	a	a	a	c	b	a	1.13	1.72	3.03	9.83	6.94	0.78	3.33	8.72	2.23	0.91	a	b	a	a	a	a	c	a	a	b
x10	5.28	4.78	7.47	5.69	1.71	2.03	6.68	5.97	7.43	2.74	a	c	b	b	c	a	c	b	c	c	7.65	3.35	10	5.17	9.91	2.3	8.86	7.71	7.23	1.83	c	a	b	c	c	a	c	b	c	c	2.45	5.87	9.65	5.45	4.1	0.71	9.1	1.4	9	5.66	c	b	b	c	a	c	c	a	a	b	2.21	3.73	2.21	5.58	8.54	1.51	7.96	9.9	5.63	3.85	c	c	a	b	a	b	c	c	a	c
x11	1.84	0.86	0.86	8.92	1.42	4.73	1.71	3.73	4.64	2.41	b	b	a	b	b	c	c	b	a	a	8.39	8.73	3.82	8.09	3.77	2.56	6.07	3.71	6.84	5.86	c	a	b	b	a	a	b	b	c	c	7.01	9.41	0.49	7.91	4.49	5.29	6.7	0.55	1.4	0.17	b	c	a	b	a	c	a	b	a	c	1.81	3.93	4.05	3.52	1.24	0.79	5.85	1.54	2.43	5.47	c	b	c	b	a	a	b	b	c	b
x12	3.58	0.24	4.6	2.82	1.02	4.08	4.28	3.11	8.32	9.2	b	a	a	c	a	a	b	a	b	c	3.32	1.1	4.6	5.89	2.33	4.93	7.49	2.39	8.32	9.2	b	c	a	b	c	a	b	a	b	b	3.75	6.35	8.62	7.83	8.42	5.65	2.25	2.61	3.15	1.55	c	b	c	c	a	a	b	c	b	a	5	1.15	2.47	8.08	4.22	1.04	3.03	0.8	6.43	10	b	b	a	c	b	b	a	b	b	b
x13	3.61	1.97	4.99	5.51	0.32	2.49	8.77	6.91	3.17	6.39	c	b	a	a	b	b	a	c	a	c	1.13	3.54	8.35	3.33	8.72	3.64	3.99	4.13	0.03	1.96	a	a	a	b	c	b	c	b	a	a	3.97	7.91	0.72	7	4.27	3.62	9.12	2.67	9.34	2.41	c	a	a	a	a	a	a	a	b	c	5.06	0.24	3.08	5.06	4.93	2.75	8.25	0.81	4.95	1.78	a	b	c	c	b	a	a	c	b	a
x14	1.08	7.11	6.34	0	3.76	3.46	8.79	0.72	7.88	0.58	a	b	c	c	b	a	a	c	a	a	6.99	6.78	0.23	8.07	7.22	1.86	3.1	1.94	3.16	3.67	c	a	a	b	b	a	b	b	a	a	7.63	6.78	5.52	5.21	7.2	1.01	3.52	8.14	7.07	1.02	c	a	a	b	c	c	a	c	a	a	9.06	2.99	8.81	5.36	2.88	2.73	6.94	8.93	5.95	6.34	c	a	c	b	b	b	c	b	a	c
