X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	6.2	3.21	7.79	5.53	0.12	a	b	c	a	a	4.01	4.8	4.48	0.63	4.61	b	c	a	c	c	3.99	9.37	9.73	7.73	3.95	a	a	a	b	a	4.3	5.41	2.11	8.5	4.93	a	b	b	a	c
x1	2.38	7.3	3.02	4.52	1.5	b	a	a	a	c	8.66	3.1	9.17	4.43	8.48	b	c	a	a	c	9.11	5.78	2.15	7.81	9.56	a	a	c	a	a	3.71	0.06	2.12	8.39	9.96	b	a	b	c	c
x2	5.35	7.02	5.33	5.24	1.18	c	b	b	a	c	3.93	0.17	6.93	0.42	2.35	c	c	a	b	a	8.53	3.92	5.34	6.7	6.99	b	b	b	b	c	7.49	8.76	2.92	7.26	5.75	b	a	a	a	b
x3	3.15	4.76	9.4	4.25	1.4	c	c	a	c	b	2.14	7.5	0.57	8.4	6.08	b	c	a	a	a	9.93	6.4	4.2	3.42	4.26	c	c	b	c	a	4.65	2.66	1.43	6.79	6.63	a	b	a	a	b
x4	8.9	1.82	0.31	0.31	0.31	c	b	c	c	c	6.83	0.29	3.3	3.3	3.3	c	b	b	b	a	3.82	1.82	5.92	7.25	7.26	a	c	b	c	c	0.45	4.03	3.33	0.36	8.54	a	b	a	c	b
x5	8.92	4.5	9.88	4.23	0.26	b	a	a	a	a	2.91	3.58	7.23	5.77	0.77	b	a	a	b	c	4.11	9.82	4.51	4.32	1.17	a	b	b	c	c	0.83	8.96	0.99	7	6.29	b	a	c	b	a
x6	8.44	2.28	7.06	2.69	6.69	a	a	c	b	b	8.58	1.94	7.25	4.79	4.55	b	a	c	b	a	1.48	4.02	4.44	0.11	6.15	a	b	c	a	b	0.24	3	1.46	8.4	8.04	b	a	b	a	c
x7	3.65	3.01	7.77	8.73	2.51	c	a	b	b	c	3.73	3.31	8.51	8.17	8.55	a	c	b	a	b	7.52	3.95	5.79	5.87	7.33	a	c	c	b	a	5.63	1.85	4.36	5.34	4.08	b	b	b	b	a
x8	0.8	0.74	0.7	7.03	6.41	c	c	c	b	c	6.41	1.16	2.25	5.75	4.18	c	c	a	a	c	7.33	1.76	1.21	6.01	2.36	b	a	b	a	a	2.11	4.84	3.5	3.18	6.41	a	c	c	b	c
x9	5.95	4.9	5.89	8.7	0.55	c	a	c	b	a	7.37	3.15	6.94	1.87	2.38	a	a	c	b	a	4.7	7.44	9.11	6.29	3.11	a	b	a	c	b	2.5	9.58	0.43	4.42	2.44	b	b	b	a	a
x10	3.75	1.13	9.61	4.56	5.46	b	c	b	c	c	3.75	1.13	8.38	4.33	8.21	b	c	b	b	a	7.77	6.16	1.74	5.44	2.62	c	c	b	b	b	5.8	5.3	5.84	4.58	2.85	b	a	b	c	c
x11	7.97	0.23	1.19	1.19	6.66	b	a	b	a	b	3.92	0.89	3.08	2.51	0.7	a	a	b	c	b	9.65	5.03	0.59	4.74	6.71	c	a	b	a	a	6.52	5.53	5.97	7.86	6.93	c	c	c	a	c
x12	5.31	0.4	3.24	5.3	6.39	c	b	b	b	c	1.9	9.37	0.24	0.61	1.76	b	a	a	c	c	3.52	3.78	6.22	3.5	6.63	c	c	a	a	c	2.42	5.14	2.34	9.53	0.36	c	c	a	a	b
x13	8.1	3.36	6.12	2.32	1.06	b	c	b	a	c	1.22	8.35	5.36	0.03	8.01	b	b	c	a	c	8.5	6.72	0.68	1.99	3.28	c	c	c	a	a	3.39	6.81	3.15	2.45	4.51	b	b	a	b	c
x14	5.45	9.7	6.68	2.45	8.11	a	b	a	c	a	2.83	2.18	9.14	2.77	1.15	a	a	c	c	b	7.02	8.36	5.22	9.45	5.01	b	a	c	c	a	4.71	4.94	3.37	5.24	6.4	a	c	b	b	a
x15	3.75	1.13	0.53	9.8	4.54	b	c	b	b	b	3.75	1.13	5.05	3.82	1.99	b	c	c	c	a	0.93	5.06	1.32	8.73	2.47	b	a	c	c	c	9.41	5.44	5.35	7.95	6.4	b	a	c	c	a
x16	6.83	7.8	9.21	8.51	1.66	b	c	a	c	b	1.45	1.21	4.61	0.72	7.68	a	c	c	b	b	7.44	9.86	1.4	5.7	9.81	c	c	b	a	b	8.08	3.01	2.3	4.43	5.42	b	c	a	c	c
x17	4.81	4.31	6.24	6.02	4.94	c	c	c	b	a	7.32	5.05	9.94	7.17	0.22	a	b	a	b	a	2.17	0.92	8.22	8.44	5.43	b	b	b	a	c	8.27	5.34	6.73	5.96	5.07	b	c	b	b	c
x18	7.01	5.78	8.48	1.85	8.41	b	a	b	a	c	0.56	5.73	8.18	2.89	5.1	b	a	a	a	c	5.28	7.13	7.38	7.35	3.44	a	c	a	c	c	3.63	5.35	5.87	3.24	0.82	a	b	a	a	c
x19	6.01	0.26	7.1	6.55	1.24	b	a	a	a	c	5.44	0.54	2.01	6.81	6.31	b	c	a	a	c	3.44	0.05	6.28	7.55	0.32	b	c	b	c	c	0.48	0.91	3.33	8.64	6.13	b	a	a	b	a
x20	3.38	6.71	0.31	0.31	0.31	a	b	a	b	a	2.08	3.36	3.3	3.3	3.3	c	a	c	c	c	3.64	3.63	6.06	2.58	3.54	b	a	c	c	c	4.29	3.17	2.56	8.29	6.08	c	a	b	a	a
x21	4.51	9.08	9.34	6.49	8.46	a	c	c	a	c	0.93	7.62	3.57	7.85	1.68	c	a	c	c	a	6.57	6.74	1.15	8.17	5.64	b	a	b	b	c	6.34	4.26	1.87	8.96	5.81	a	b	c	a	c
x22	3.37	1.7	5.57	6.13	3.91	c	b	c	b	a	6.14	8.98	9.65	2.75	8.94	a	b	a	a	a	1.5	8.72	7.2	6.67	7.15	b	a	c	c	c	5.48	9.79	6.61	1.05	4.36	c	b	a	c	c
x23	7.07	2.76	6.36	1.47	3.17	c	a	c	b	c	6.16	3.52	5.06	3.3	4.33	c	a	c	b	b	8.2	7.05	4.41	6.31	0.72	b	c	a	b	c	0.79	6.43	1.33	1.76	2.49	a	a	a	a	b
x24	2.24	3.95	5.49	2.42	2.1	c	a	c	b	a	0.27	3.88	7.65	0.58	3.92	c	a	c	b	b	1.96	0.85	7.85	1.18	7.13	b	a	c	c	a	2.92	7.55	2.55	0.79	3.32	a	a	c	c	b
x25	3.75	1.13	0.31	0.31	0.31	b	c	b	b	b	3.75	1.13	3.3	3.3	3.3	b	c	a	c	a	5.47	8.46	7.23	9.65	2.33	c	a	b	b	c	3.38	9.6	2.59	5.47	7.77	c	a	c	b	b
x26	7.51	8.19	4.27	3.11	8.25	b	b	b	b	c	4.11	1.93	1.65	4.82	5.73	b	a	b	c	a	2.16	1.96	6.66	5.87	0.36	a	c	a	b	c	6.63	7.99	9.87	8.52	9.98	a	b	a	b	b
x27	3.31	6.24	6.16	1.44	5.22	b	a	c	b	c	0.6	2.23	4.42	1.15	8.74	b	a	c	b	a	2.1	9.51	6.18	2.95	4.83	a	b	c	c	c	8.87	4.98	5.77	8.72	6.8	c	a	b	c	c
x28	5.31	3.9	5.87	2.42	5.16	b	a	b	b	c	8.72	5.9	5.57	2.44	7.17	c	b	c	c	a	7.21	8.45	0.66	2.53	9.88	a	c	a	a	b	7.86	6.68	2.31	9.76	2.66	a	a	a	b	c
x29	6.02	6.25	0.34	4.2	6.19	c	b	c	b	a	3.77	4.6	4.93	8.15	7.14	b	b	c	a	c	7.19	4.42	9.08	0.97	5.65	c	b	a	b	a	5.41	1.73	2.29	2.62	8.11	c	b	c	a	c
x30	3.85	5.71	0.31	0.31	0.31	a	b	a	b	a	4.19	8.23	3.3	3.3	3.3	b	a	c	c	c	5.56	1.34	8.46	8.7	4.53	a	a	c	c	b	2.01	0.43	9.47	3.24	7.08	b	a	a	b	a
x31	2.85	2.06	0.82	6.03	8.55	c	c	c	c	a	3.38	6.39	1.63	6.34	8.42	c	b	b	b	b	5.93	3.77	2.9	2.09	9.84	a	c	c	c	b	3.09	2.52	4.04	9.68	8.75	c	a	c	c	a
x32	0.91	6.51	2.21	1.39	0.63	b	b	b	c	a	2.05	4.19	3.53	1.26	3.72	c	b	a	c	a	3.72	1.99	6.1	0.09	2.64	a	a	b	b	a	9.68	1.68	2.5	5.72	7.26	a	b	c	c	a
x33	3.66	6.62	0.31	0.31	0.31	c	a	c	b	b	2.02	4.38	3.3	3.3	3.3	b	c	a	a	a	1.55	8.89	4.38	7.45	1.6	b	c	b	b	c	4.49	5.4	5.08	2.83	5.42	c	a	a	b	b
x34	7.08	3.55	2.71	0.09	6.6	a	a	b	c	a	6.91	5.92	2.72	7.16	8.15	c	c	c	a	a	5.14	9.06	8.81	4.56	4.76	c	a	b	c	a	7.27	2.01	9.65	2.63	6.96	a	c	c	a	b
x35	3.48	6.19	9.99	5.92	0.71	a	a	b	c	c	0.52	4.81	0.73	3.09	7.51	a	c	b	a	a	9.76	1.62	7.75	6.81	8.49	c	a	a	c	b	9.16	9.43	2.07	9.78	3.66	c	a	c	b	a
x36	5.83	2.13	0.31	0.31	0.31	b	a	c	a	c	3.14	4.03	3.3	3.3	3.3	b	c	b	a	c	6.35	7.13	2.95	4.55	3.65	c	c	a	c	b	2.94	5.33	9.31	8.69	8.52	c	a	c	a	c
x37	7.44	2.9	7.1	9.25	3.27	a	b	a	c	a	6.32	5.2	5.41	8.8	9.24	b	c	b	c	c	9.5	9.04	7.22	9.06	5.28	a	a	a	c	a	9.19	9.72	2.18	9.57	4.85	a	b	a	a	b
x38	7.7	1.94	4.12	8.19	5.8	b	c	c	a	c	5.43	4.79	5.46	3.07	6.86	b	a	c	a	c	8.06	3.4	9.36	8.63	3.87	a	a	b	a	b	0.43	4.86	0.5	6.41	4.96	b	a	a	a	c
x39	2.71	2.2	9.31	6.1	9.19	c	b	a	b	b	8.48	3.38	8.69	4.85	5.01	b	a	c	c	b	3.56	3.06	4.03	0.04	3.16	c	a	b	b	c	7.33	6.55	2.95	7.35	5.64	a	b	a	c	a
x40	9.77	8.89	6.42	2.09	7.66	a	b	b	c	a	2.57	2.94	4.74	9.11	6.88	c	a	c	a	c	0.52	8.52	6.25	9.03	0.16	a	a	b	c	c	6.73	1.03	7.06	4.67	7.67	c	c	a	a	c
x41	3.75	1.13	3.96	8.68	9.14	b	c	b	b	b	3.75	1.13	5.42	3.19	5.87	b	c	a	c	c	2.02	9.77	8.47	0.65	4	c	a	b	b	c	5.22	2.34	6.13	7.28	6.24	c	b	c	a	a
