X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	8.62	7.13	9.51	3.89	7.71	b	b	a	b	c	2.36	9.05	3.49	5.98	3.32	b	c	c	b	a	8.17	9.59	9.51	7.36	6.48	c	c	c	b	b	5.74	9.4	7.57	6.28	9.2	a	b	b	b	b
x1	8.12	0.51	4.01	7.75	4.99	b	c	b	b	b	3.9	3.72	7.22	2.85	9.9	b	a	b	c	b	9.01	3.72	7.22	1.63	0.58	b	c	c	b	a	6.83	7.56	9.29	8.02	9.15	a	a	a	a	c
x2	4.24	9.33	8.71	2.8	7.55	c	a	c	a	b	7.48	4.13	5.94	6.62	8.43	a	a	b	a	b	1.41	0.51	9.25	7.5	1.42	c	a	a	a	a	9.73	6.42	8.46	3.71	1.04	b	a	c	a	b
x3	5.06	4	6.87	2.09	0.26	b	b	b	a	b	2.34	3.72	7.22	4.98	7.27	b	b	b	c	b	0.78	3.72	7.22	6.6	6.93	b	a	b	c	c	6.27	0.88	2.94	1.07	8.75	a	c	b	a	b
x4	2.19	9.64	0.09	2.47	1.57	a	a	b	a	b	2.34	4.95	8.08	3.36	3.56	c	c	b	b	c	1.17	1.57	7.07	0.59	4.2	a	b	c	a	b	1.39	3.67	1.76	5.52	7.93	c	c	b	a	a
x5	9.34	4.46	5.52	2.09	7.06	c	a	b	c	b	9.21	6.08	6.9	9.21	0.91	b	b	b	a	a	9.15	0.23	2.13	9.15	2.06	c	b	b	a	a	5.6	7.79	5.88	8.37	4.26	a	c	c	b	c
x6	8.18	2.19	8.86	4.26	3.37	b	a	b	c	b	6.79	3.36	3.37	8.79	0.43	b	a	b	b	b	9.56	6.63	8.48	1.98	5.22	b	a	c	b	c	9.46	6.96	0.04	4.03	9.84	a	b	c	b	b
x7	7.91	6.37	7.59	0.56	7.04	c	c	c	c	b	9.21	4.72	1	9.21	8.18	c	b	c	a	a	9.15	9.27	5.77	9.15	4.46	c	a	a	a	a	1.58	7.6	0.09	8.32	8.43	c	a	c	c	a
x8	6.93	7.14	7.83	2.55	2.83	c	b	c	a	a	0.25	9.04	8.64	4.49	3.01	a	a	a	b	a	1.01	2.38	8.12	9.61	0.76	a	a	b	a	b	3.81	7.55	5.7	7.71	4.29	a	c	b	c	b
x9	3.49	0.78	9.97	6.49	5.22	b	c	a	c	c	5.15	9.5	4.83	8.76	0.29	c	b	a	c	c	8.73	8.32	6.34	2.14	2.78	a	b	c	b	c	7.64	8.28	9.21	3.39	9.17	b	b	c	c	c
x10	9.86	0.08	9.4	3.4	9.9	a	a	c	c	c	9.21	0.25	6.64	9.21	6.26	c	a	b	a	a	9.15	0.69	2.02	9.15	8.63	a	c	b	a	a	0.87	2.5	0.72	0.16	4.22	b	a	b	a	a
x11	4.35	5.03	6.2	6.52	5.59	b	b	c	c	c	1.46	0.3	3.49	8.63	1.88	b	b	b	a	a	8.52	6.87	9.04	8.88	2.06	b	a	c	b	a	3.93	9.49	0.74	8.9	9.51	a	a	b	a	c
x12	5.48	7.4	9.1	0.27	0.28	b	c	b	b	b	2.68	7.22	9.33	5.88	7.62	b	c	b	b	b	4.96	8.76	7.36	0.76	4.27	c	a	b	b	b	1.3	8.97	6.91	9	7.9	b	b	b	b	b
x13	2.55	3.44	9.82	0.15	8.4	a	a	a	a	b	7.33	7.29	9.59	1.38	6.91	b	a	b	a	b	9.44	1.35	1.74	8.99	2.84	b	a	a	c	b	3.45	8.03	8.01	9.95	7	b	b	a	a	a
x14	4.03	4.94	4.23	7.83	2.88	c	c	a	a	c	4.74	3.72	7.22	1.77	0.13	a	a	c	b	b	5.45	3.72	7.22	4.2	4.28	a	b	b	b	b	1.91	9.65	2.23	0.72	4.9	b	b	b	c	a
x15	6.4	4.91	8.26	3.52	1.66	a	a	a	c	c	2.01	8.58	1.31	3.47	8.22	c	a	a	c	a	8.13	3.41	2.12	2.84	0.04	b	a	b	a	c	4.72	2	8.02	2.82	4.52	a	a	b	c	c
x16	4.32	8.28	2.74	7.77	8.82	a	c	b	b	a	9.13	3.72	7.22	0.07	3.28	b	c	a	c	b	8.04	3.72	7.22	2.59	0.86	a	c	c	a	b	8.13	3.59	7.87	4.97	5.02	a	b	b	a	a
x17	5.52	9.08	1.82	0.25	4.23	a	b	c	a	b	9.21	4.1	0.87	9.21	1.59	b	c	a	a	a	9.15	5.7	0.85	9.15	0.43	b	c	b	a	a	8.62	9.17	7.62	0.39	2.49	c	c	b	b	c
x18	8.47	9.84	6.92	2.05	4.11	b	a	b	b	b	8.42	4.76	5.28	0.49	4.08	b	c	b	c	b	0.27	1.12	7.77	2.74	1.56	a	c	c	a	a	8.42	7.88	5.86	8.43	9.82	b	b	c	a	b
x19	0.21	9.61	8.23	0.46	8	c	b	c	c	b	0.31	6.3	5.2	6.92	5.43	c	a	b	b	c	5.33	8.87	1.24	5.34	8.08	c	a	b	b	a	6.93	5	4.6	0.34	7.97	c	a	a	a	b
