X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	4.89	6.75	6.75	1	6.75	b	b	a	c	c	7.91	7.56	7.56	8.31	7.56	b	b	a	c	c	7.02	9.24	5.05	3.99	8.8	a	c	c	b	c	9.78	7.15	7.36	9.25	3.36	a	a	a	b	b
x1	9.53	3.15	6.03	9.39	4.49	c	c	a	b	b	7.91	9.77	7.14	6.59	7.13	b	b	a	c	c	7.91	1.04	7.14	3.66	8.7	b	a	a	c	c	1.01	3.72	6.08	9.43	8.54	c	a	a	a	c
x2	9.2	8.43	1.02	8.96	5.35	a	b	b	a	b	7.91	8.89	7.14	1.15	0.27	b	b	a	c	c	7.91	0.69	7.14	9.11	6.01	b	c	a	b	c	1.99	0.93	4.05	8.56	6.31	a	a	a	b	c
x3	2.23	6.81	5.86	1.79	6.83	a	b	c	b	b	7.91	2.98	7.14	9.84	9.4	b	b	a	a	b	7.91	9.04	7.14	0.95	4.68	b	a	a	c	a	8.61	9.44	2.99	1.62	1.65	c	a	c	c	a
x4	8.87	6.75	6.75	8.28	6.75	b	b	a	b	c	6	7.56	7.56	5.21	7.56	b	b	a	b	c	0.2	2.22	5.91	8.18	7.32	a	a	a	a	a	9.22	1.85	4	0.13	3.98	c	b	c	b	a
x5	7.88	6.75	6.75	4.33	6.75	b	b	a	c	c	8.58	7.56	7.56	9.42	7.56	b	b	a	c	c	6.73	0.34	1.13	7.87	3.83	b	b	a	c	c	7.82	6.06	2.77	9.97	5.78	b	c	b	c	a
x6	0.96	5.16	4.55	4.86	6.88	c	b	b	c	b	6.33	6.33	7.62	2.35	3.71	c	c	c	a	b	0.72	0.72	3.03	8.7	8.85	c	a	c	a	b	7.32	2.38	1.67	9.26	7.69	a	b	c	c	b
x7	1.6	0.36	4.2	0.46	3.62	c	a	c	b	a	2.99	2.48	3.39	6.25	4.81	a	c	a	a	b	3.6	3.83	6.95	6.12	4.3	b	b	a	b	a	8.49	4.11	9.87	4.02	8.56	b	c	c	c	c
x8	0.03	2.32	3.89	9.68	5.46	c	a	a	c	b	5.69	1.06	9	6.89	3.26	a	a	a	a	c	9.28	3.38	9.13	8.31	8.96	a	b	a	b	a	3.36	0.67	4.05	7.1	0.78	a	a	b	c	c
x9	5.43	1.1	7.61	1.1	1.1	a	b	c	a	a	8	1.6	5.96	1.6	1.6	a	c	c	b	b	9.31	9.5	6.19	6.83	2.46	a	c	b	c	b	6.58	9.85	2.43	7.48	6.61	a	c	a	a	a
x10	5.38	9.64	5.4	2.92	1.5	c	a	b	a	a	8.26	0.04	9.47	2.4	9.77	b	a	c	b	b	9.63	9.8	0.64	4.77	8	b	c	c	c	a	1.17	6.05	4.59	6.18	6.1	b	c	b	b	a
x11	1.58	8.94	4.7	3.66	0.17	c	c	b	a	b	6.33	6.33	1.01	3.26	8.88	c	c	c	a	c	0.72	0.72	9.96	4.26	2.51	c	a	c	b	b	9.78	2.75	0.74	0.1	4.83	c	a	a	b	c
x12	5.93	1.1	9.75	1.1	1.1	a	c	b	a	a	6.48	1.6	2.2	1.6	1.6	b	a	a	a	b	7.73	1.64	2.4	0.68	7.79	b	b	a	a	b	1.52	4.03	2.39	1.38	3.76	c	b	c	c	a
