X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	2.15	1.58	2.99	2.19	7.35	a	c	c	c	a	4.58	2.44	9	4.37	6.95	a	a	b	b	b	8.61	6.06	9.16	5.06	9.99	a	a	b	c	b	9.13	4.85	7.87	6.62	8.03	b	b	c	c	a	3.52	6.9	9.64	3.58	7.94	b	a	b	a	c	1.72	2.37	6.09	5.56	4.9	a	c	a	b	a
x1	6.88	8.53	5.27	0.69	6.85	c	b	b	b	a	9.41	7.47	0.76	9.33	0.97	a	c	b	c	b	1.4	7.47	1	8.47	1.49	c	b	a	b	b	1.82	2.26	0.67	0.79	8.88	a	c	c	a	b	4.82	0.93	7.47	7.15	8.45	a	b	c	a	c	7.55	7.25	7.89	4.77	7.05	a	a	b	c	c
x2	5.32	3.56	8.33	6.13	9.53	c	b	c	a	c	5.49	1.23	4.89	6.3	0.74	a	c	c	b	b	9.38	4.31	0.47	5.88	2.95	a	a	b	c	b	2.67	3.82	8.49	8.71	7.86	c	a	b	b	b	3.02	1.11	7.67	1.8	5.11	c	b	c	a	b	3.6	0.73	4.28	4.27	0.95	c	c	a	c	c
x3	1.62	6.32	4.74	1.65	3.65	c	b	b	b	c	5.59	2.15	5.27	8.42	7.44	b	b	c	b	c	0.82	7.52	0.85	7.59	9.53	a	a	b	b	a	2.01	2.72	0.37	5.37	9.1	c	a	a	a	a	0.54	5.19	1.06	9.77	7.2	c	a	b	c	c	8.79	1.55	9.06	8.97	0.53	b	a	a	b	a
x4	8.77	4.67	4.73	7.37	4.67	a	b	b	a	c	8.77	6.63	4.73	7.37	6.63	a	c	b	a	c	8.77	3.07	4.73	7.37	3.07	a	b	b	a	a	8.77	9.02	4.73	7.37	2.81	a	b	b	a	c	4.07	1.79	7.88	2.96	3.49	a	a	c	b	c	2.1	2.18	6.5	0.82	6	b	b	a	b	a
x5	3.27	0.26	0.46	1.26	6.02	b	c	c	c	c	1.31	6	3.54	3.32	7.11	a	c	b	b	c	5.47	1.28	8.66	8	1.31	a	c	b	a	a	1.6	7.02	8.42	1.02	7.3	b	b	a	b	a	7.78	4.92	0.77	3.14	7.02	c	c	c	a	c	8.5	6.59	8.18	4.67	8.55	b	a	a	a	c
x6	3.96	2.94	7.38	0.62	2.24	c	c	c	c	b	3.24	1.06	3.25	5.88	7.96	a	c	a	a	a	7.73	9.76	7.63	0.65	4.82	b	a	c	b	c	9.38	6.47	8.23	2.42	2.18	c	a	b	b	b	0.25	2.65	7.52	5.43	6.82	c	c	c	c	a	6.94	6.81	7.83	7.89	4.67	a	a	a	c	b
x7	8.77	1.47	4.73	7.37	3.25	a	a	b	a	b	8.77	8.48	4.73	7.37	5.51	a	b	b	a	c	8.77	6.27	4.73	7.37	3.77	a	b	b	a	b	8.77	5.28	4.73	7.37	5.47	a	c	b	a	b	1.02	3.1	0.7	3.07	6.72	a	a	b	a	c	5.42	2.55	0.5	0.43	7.9	a	c	a	c	c
x8	0.86	7.5	7.26	3.5	8.19	a	b	a	b	a	4.72	3.68	6.04	2.58	8.58	c	b	a	b	a	0.52	8.64	8.5	3.85	0.61	c	c	c	b	c	7.86	7.17	6.38	7.72	8.55	b	a	a	b	b	5.9	5	2.43	2.38	0.1	c	a	c	c	b	2.95	5.84	0.66	4.25	1.8	c	a	b	c	a
x9	8.77	8.73	4.73	7.37	0.02	a	b	b	a	c	8.77	8.08	4.73	7.37	3.47	a	b	b	a	b	8.77	9.19	4.73	7.37	1.81	a	a	b	a	a	8.77	8.63	4.73	7.37	4.6	a	b	b	a	c	8.45	2.81	5.35	8.04	0.6	b	b	a	c	b	9.45	8.82	6.57	1.43	4.42	a	c	a	b	c
