X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	6.74	7.12	4.79	2.25	6.74	c	a	b	b	b	5.29	5.69	3.42	2.24	5.29	c	c	b	b	b	9.01	8.78	6.38	6.44	1.83	a	b	c	a	a	8.1	8.4	4.53	2.71	1.71	c	c	a	a	c
x1	7.81	0.93	1.24	6.87	8.36	c	b	a	a	a	6.41	8.37	7.15	4.01	1.81	a	b	c	c	c	9.59	3.96	7.77	3.63	7.05	c	a	b	c	a	1.03	0.07	5.42	1.19	0.65	b	c	b	b	b
x2	4.53	0.11	4.19	0.11	4.08	b	c	c	c	a	7.47	0.33	1.3	0.33	4.07	c	a	b	c	a	0.7	4.08	8.89	1.24	1.19	a	b	c	b	b	5.92	1.71	3.11	1.51	8.17	a	a	b	b	c
x3	3.2	5.39	8.98	5.86	3.01	b	b	a	c	c	5.48	6.09	1.88	8.09	8.01	c	a	b	c	c	5.48	9.01	1.88	8.16	8.01	c	a	b	c	a	1.37	4.64	8.32	5.19	6.44	a	c	a	a	a
x4	6.74	1.91	6.46	1.2	6.74	c	c	b	c	b	5.29	2.14	8.23	2.82	5.29	c	c	c	b	b	7.85	0.5	5.21	4.77	8.76	b	c	a	c	c	7.76	3.23	8.96	0.9	3.65	c	b	a	b	a
x5	1.13	0.11	4.02	0.11	8.15	c	c	b	c	b	8.05	0.33	6	0.33	3.97	c	a	b	b	c	2.57	8.15	8.24	9.34	7.43	a	a	c	c	c	6.32	7.67	6.67	3.29	6.07	c	c	a	c	b
x6	2.67	3.24	1.14	3.21	4.98	c	c	b	b	a	5.16	3.52	5.97	5.56	0.19	b	a	a	c	b	1.05	4.81	2.13	8.13	2.92	a	a	a	c	b	1.3	4.3	7.11	5.77	2.59	c	b	c	b	b
x7	0.12	6.81	2.36	8.36	4.82	a	c	a	c	c	2.69	1.1	2.43	5.18	7.26	c	a	b	a	c	4.8	5.51	9.43	6.2	3.04	c	a	c	b	c	7.31	4.77	8.91	0.45	2.76	a	a	b	c	a
x8	7.42	9.11	1.86	3.17	5.45	a	c	a	a	c	9.06	9.5	5.33	1.26	8.85	a	a	c	b	c	6.77	1.73	7.58	1.96	9.21	a	a	b	b	c	7.5	8.76	9.14	4.76	1.85	c	a	b	a	a
x9	9.71	5.1	9.03	6.51	9.86	c	a	b	c	a	5.66	0.58	0.41	6.34	3.8	c	c	c	b	c	1.95	1.57	7.72	0.94	0.77	b	b	a	a	a	2.45	6.59	0.13	8.93	7.08	c	c	c	c	a
x10	8.08	1.88	6.86	5.22	0.2	c	c	a	a	a	3.29	6.09	2.72	1.68	5	a	c	b	b	b	1.85	7.73	1.27	1.9	2.59	b	b	a	b	c	9.31	7.61	6.38	9.41	3.77	c	c	b	c	b
x11	8.84	4.53	4.72	1.07	0.92	a	c	a	b	b	5.48	3.97	2.84	5.87	7.88	a	b	c	c	a	7.16	7.9	4.61	1.47	0.65	c	a	b	c	b	8.49	9.59	4.55	4.78	9.49	c	a	b	a	a
x12	5.68	4.22	7.31	3.93	3.8	a	b	a	c	c	8.31	5.01	6.53	4.31	4.24	c	b	b	a	c	6.07	1.64	1.23	7.35	3.21	a	b	b	a	b	5.8	1.99	8.57	8.53	0.24	b	a	a	b	b
x13	6.86	7.1	7.02	5.84	5.69	c	a	c	b	a	1.68	4.01	8.2	2.94	7.26	b	a	b	b	a	0.59	6.52	7.16	2.37	6.05	a	c	a	c	c	3.07	7.36	4.72	7.01	6.82	b	a	b	a	c
x14	8.23	0.11	7.46	0.11	6.57	c	b	b	b	c	0.22	0.33	7.29	0.33	8.88	b	b	b	a	c	2.07	1.35	9.8	7.3	0.31	c	c	b	c	b	9.12	3.81	6.86	3.31	0.81	a	b	c	b	b
x15	8.07	5.48	2.89	8.08	5.36	c	b	b	b	a	5.48	4.83	1.88	2.82	8.01	a	a	b	b	c	5.48	1.73	1.88	9.03	8.01	a	a	b	a	a	4	1.48	2.09	0.36	7.47	b	a	c	c	a
x16	6.16	6.4	8.4	9.65	5.2	c	b	b	c	c	2.54	4.24	0.32	3.26	9.23	b	c	c	a	b	6.42	2.71	8.34	4.86	5.6	b	c	c	a	a	2.18	1.17	9.51	4.84	6.7	a	b	c	a	a
x17	6.41	0.11	8.32	0.11	5.61	a	a	c	c	c	4.25	0.33	1.08	0.33	2.13	c	a	a	b	c	5.53	8.34	6.84	6.77	5.4	b	a	c	a	c	1.16	9.83	5.46	0.46	6.99	a	c	c	c	a
x18	0.97	3.42	0.11	4.66	7.71	a	a	c	c	b	9.09	5.26	1.78	2.52	9.06	b	b	b	a	a	2.66	3.62	1.15	5.97	1.33	a	c	b	a	b	1.63	3.9	6.78	9.84	7.18	b	b	c	c	a
x19	8.1	4.91	0.15	8.8	3.76	a	a	a	a	b	8.03	9.57	3.56	3.03	2.66	c	c	b	c	b	7.22	8.06	7.12	3.84	1.05	a	a	c	b	b	2.03	7.77	2.35	9.06	8.57	b	a	a	b	a
x20	9.46	0.11	9.22	0.11	8.89	c	c	c	c	a	2.39	0.33	2.87	0.33	1.91	a	b	a	b	b	4.22	0.48	6.63	6.44	0.13	c	b	b	a	a	9.88	3.84	9.67	0.08	2.41	a	a	a	b	a
x21	5.86	7.89	0.18	1.61	8.32	a	a	a	a	c	0.59	0.9	7.94	4.3	0.3	c	a	a	a	c	4.91	0.29	7.84	5.11	7.88	a	a	c	b	c	1.08	3.59	4.37	9.07	4.19	c	c	b	a	c
x22	7.87	7.44	9.12	2.47	1.37	b	c	c	a	a	5.25	6.83	5.85	2.61	3.49	a	b	a	b	a	3.33	0.28	9.12	4.86	3.87	a	c	c	c	b	3.89	6.31	9.17	9.15	3.71	c	c	a	c	b
x23	6.74	4.05	4.59	1.46	6.74	c	a	a	b	b	5.29	2.98	2.39	8.71	5.29	c	a	a	c	b	2	1	0.47	2.85	8.74	c	c	b	b	a	2.86	3.79	9.18	3.6	5.74	c	b	b	b	b
x24	5.89	3.09	7.2	9.96	4.32	c	a	a	b	c	7.98	1.37	7.4	5.89	1.79	c	a	c	a	b	4.79	2.16	3.32	9.18	1.82	c	a	b	c	a	2.85	1.3	3.67	1.48	7.81	c	b	c	b	b
x25	8.63	2.14	0.99	5.98	3.35	b	a	a	a	a	2.5	2.04	7.92	9.08	7.46	a	b	c	c	c	9.77	5	5.72	0.01	8.75	b	a	a	a	a	7.98	5.44	6.19	4.81	1	c	b	c	c	c
x26	1.84	6.3	0.07	3.54	1.68	c	a	a	b	c	7.05	8.96	6.45	6.76	0.49	b	a	a	c	b	9.78	0.69	9.48	0.18	9.07	c	c	a	a	a	6.43	8.97	0.18	3.05	8.06	a	b	c	a	a
x27	6.27	3.94	4.9	8.89	3.11	c	a	a	a	b	6.2	6.24	4.74	7.95	3.12	a	a	b	a	c	5.34	8.42	8.63	7.61	0.42	c	a	c	b	c	0.03	2.22	5.66	9.75	2.68	a	c	c	c	b
