X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	3.45	0.29	4.02	2.86	3.92	c	b	b	a	b	1.28	2.64	5.21	1.2	3.49	b	b	c	a	b	5.12	6.06	9.88	7.69	8.23	b	a	c	c	c	4.67	9.76	2.18	0.44	0.94	b	c	a	a	a
x1	1.67	1.65	9.37	3.86	1.73	c	b	b	a	b	4.17	9.66	5.17	1.14	9.12	a	b	b	a	b	4.55	6.37	0	7.79	1.24	b	a	b	c	c	5.37	3.29	3.88	1.01	6.31	c	a	a	b	a
x2	9.05	7.37	0.99	2.96	7.55	c	b	a	b	a	5.66	0.64	6.65	5.05	4.99	b	c	b	b	b	6.58	8.33	9.77	9.53	9.9	b	b	a	b	a	3.73	7.3	1	3.55	1.74	b	b	c	b	a
x3	8.21	2.14	8.4	4.81	9.65	c	c	c	c	a	6.08	8.16	9.1	3.93	8.03	b	a	a	c	b	8.89	8.17	0.24	4.37	8.94	b	b	a	b	a	1.79	9	7.04	9.32	7.21	a	c	b	a	b
x4	4.61	7.58	8.42	3.71	5.68	a	a	b	b	c	5.83	6.99	0.3	5.24	5.49	b	a	c	a	c	5.39	8.07	0.3	5.24	5.49	c	c	a	a	c	9.6	1.01	4.54	1.77	7.16	b	b	c	b	c
x5	9.91	2.85	7.81	1.91	2.53	a	b	c	a	b	6.89	1.27	5.9	9.84	1.53	c	b	b	a	b	7.57	6.38	5.32	0.57	2.56	c	b	b	b	b	9.15	7.63	8.12	3.18	1.8	b	b	c	a	b
x6	8.42	8.42	3.09	5.4	5.44	a	c	c	c	a	1.09	1.09	6.22	0.07	6.46	a	c	b	a	a	4.47	0.51	8.23	4.99	9.17	b	a	b	c	a	9.95	2.64	1.69	5.55	9.36	a	a	c	b	b
x7	2.46	5.87	0.12	3.99	1.27	c	a	a	c	c	6.84	3.02	3.66	5.56	2.38	b	c	b	a	b	3.87	1.08	0.03	9.72	0.62	c	c	c	c	b	3.81	0.84	1.02	2.95	4.68	a	a	c	a	b
x8	1.55	7.37	8.2	8.77	0.48	a	c	b	b	c	6.05	6.82	0.24	4.71	2.01	c	b	a	c	c	0.54	5.72	4.71	7.03	3.21	b	a	a	b	b	6.68	9.84	7.2	9.65	5.11	c	b	c	c	c
x9	8.31	7	4.76	9.27	9.7	c	c	a	c	b	3.11	9.74	7.8	2.18	2.96	b	a	c	c	b	1.92	2.34	3.92	9.44	1.81	b	a	a	b	a	1.07	5.61	9.33	3.31	2.91	c	c	b	b	a
