X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	4.84	7.37	1.9	8.8	0.49	c	c	c	b	c	9.57	6.36	2.86	7.09	2.79	a	b	a	c	b	3.63	1.65	1.74	9.43	0.02	c	a	b	a	a	6.13	4.31	5.4	0.53	7.2	a	a	a	b	a
x1	6.78	2.37	3.71	2.26	2.61	c	a	c	b	c	5.47	5.7	2.09	5.85	0.99	b	a	c	c	c	4.43	4.03	0.68	1.18	7.46	c	b	c	b	c	2.77	2.88	4.88	2.1	2.15	a	a	c	b	b
x2	9.69	0.56	0.56	6.35	0.56	a	b	c	a	c	1.18	5.27	5.27	3.42	5.27	a	a	c	b	c	4.01	4.44	1.95	1.78	7.14	b	c	b	c	c	9.66	7.15	8.29	8.43	5.49	c	c	c	c	b
x3	9.82	6.69	0.64	4.06	2.31	c	a	c	a	a	1.95	5.88	0.76	2.58	9.07	a	c	b	a	c	7.64	5.84	5.08	6.96	8.27	a	c	b	a	a	5.84	9.36	6.71	9.82	3.13	a	c	b	b	b
x4	5.09	0.56	0.56	9.22	0.56	b	a	c	c	a	3.62	5.27	5.27	1.97	5.27	b	c	a	a	c	3.87	2.08	6.36	3.59	5.14	c	c	b	c	b	5.35	8.56	1.01	0.27	4.48	c	b	b	c	b
x5	6.73	1.03	3.9	1.09	1.68	c	a	c	c	c	4.37	3.74	1.29	7.98	1.65	a	a	c	a	c	1.71	0.82	8.66	9.63	9.88	b	c	b	b	c	2.44	2.38	1.71	7.93	2.79	b	b	a	a	c
x6	0.95	0.56	0.56	6.96	0.56	c	a	b	b	c	9.28	5.27	5.27	4.57	5.27	a	a	b	b	a	2.06	9.68	9.78	0.3	6.23	b	b	b	b	a	1.19	7.5	4.15	3.9	4.6	b	c	a	b	c
x7	1.85	0.38	4.94	6.47	4.64	c	a	c	a	a	1.65	3.76	5.9	4.78	0.29	c	c	c	c	c	5.42	5.32	5.2	4.88	2.01	a	b	a	b	b	1.93	3.14	2.49	0	0.41	a	a	a	c	a
x8	3.32	7.38	9.64	0.07	7.18	b	b	b	b	a	8.79	2.99	6.03	2.37	1.26	c	c	b	b	a	3.19	5.2	0.83	7.26	2.94	b	c	a	a	c	5.38	6.8	5.37	8.85	2.64	c	a	a	b	b
x9	7.09	6.39	0.25	3.75	0.2	a	a	a	c	a	3.26	3.26	9.38	3.26	4.94	a	c	a	c	b	8.7	8.7	3.75	8.7	9.23	a	c	a	c	b	3.27	5.9	9.1	3.66	1.45	c	b	b	a	c
x10	4.61	0.82	2.96	2.55	2.6	a	b	b	c	a	3.26	3.26	6.76	3.26	7	a	c	a	c	b	8.7	8.7	1.64	8.7	7.75	b	c	a	c	a	0.94	5	7.47	6.22	2.38	c	c	b	a	b
