X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	0.19	9.93	8.77	1.09	7.52	c	c	c	c	c	3.19	1.77	6.25	2.99	7.3	a	c	a	a	a	4.89	9.08	2.92	4.82	5.7	b	c	a	a	a	3.53	1.57	3.31	5.3	0.95	b	c	a	a	a	7.77	0.69	2.27	8.44	2.88	c	c	a	c	a	7.24	6.62	5.25	0.27	4.13	a	c	b	b	b
x1	4.3	5.38	0.02	3.77	3.37	a	a	c	b	a	8.94	8.65	2.63	8.34	0.08	a	c	b	c	a	6.38	5.88	7.16	0.56	7.12	b	b	a	a	b	7.92	9.46	3.65	7.92	9.15	a	a	c	c	c	2.93	3.53	0.26	5.32	1.62	c	b	a	a	c	5.21	9.37	9.79	0.07	4.88	a	c	a	c	a
x2	9.78	3.49	2.33	8.01	8.55	a	a	c	b	a	1.9	4.98	1.76	1.51	2.52	c	c	b	b	b	4.46	6.68	5.25	1.89	7.43	a	a	c	a	b	7.12	2.76	0.01	8	7.65	b	a	b	a	a	6.29	2.61	1.23	9.1	0.68	b	b	c	b	c	6.8	0.06	3.51	0.59	8.99	b	b	c	b	b
x3	3.95	9.84	9.54	6	1.49	c	c	b	c	b	4.95	7.03	6.05	0.79	3.53	c	a	c	c	b	2.63	7.89	9.12	8.76	2.16	c	a	a	c	b	6.5	7.36	8.16	2.59	6.72	b	c	a	a	a	1.47	2.9	8.3	8.53	4.01	b	c	a	b	a	7.97	5.87	4.75	9.22	6.93	b	c	c	c	b
x4	2.55	7.45	5.47	6.91	1.75	c	a	a	a	b	8.8	3.11	2.78	8.92	5.91	b	b	a	c	a	9.01	1.86	0.31	1.63	5.8	c	b	b	b	b	9.85	6.13	9.51	2.45	7.1	c	b	a	c	a	3.72	8.75	4.29	9.08	0.02	a	b	b	b	c	1.24	8.32	4.8	1.51	4.62	a	a	b	b	c
x5	6.71	9.06	8.49	0.93	1.33	a	b	c	a	c	5.58	6.54	6.4	9.24	5.74	c	a	c	a	c	0.1	3.85	2.61	2.38	9.29	b	b	a	b	c	5.42	7.1	6.37	4.63	9.33	a	c	a	a	b	1.19	1.19	4.98	0.38	3.34	c	b	c	b	c	1.7	6.96	2.42	9.02	4.68	b	b	a	c	b
x6	4.58	9.55	2.7	1.35	3.61	a	b	b	b	c	4.69	6.68	4.41	0.05	9.33	c	c	a	c	a	4.32	2.99	5.21	0.45	6.05	c	c	a	c	a	2.88	6.27	7.3	3.51	9.05	a	c	a	c	a	0.69	0.78	7.16	5.78	0.36	a	c	a	a	a	9.79	2.86	1.35	0.85	1.72	c	a	c	b	c
x7	4.44	6.01	0.56	7.59	4.62	b	c	c	a	b	0.52	5.74	9.87	4.07	2.41	b	c	a	b	a	2.93	0.8	3.39	0.1	7.09	b	c	c	a	a	9.12	3.66	9.99	7.72	8.12	b	c	a	a	c	0.96	1.53	9	4.68	9.81	a	a	a	b	b	6.95	9.61	0.78	5.71	5.33	b	a	c	c	b
x8	6.92	9.75	2.76	9.53	0.28	b	b	a	a	b	9.84	3.83	7.13	0.23	3.53	b	c	a	b	a	9.82	5.46	9.98	8.35	4.52	b	c	a	a	a	0.39	9.21	0.05	0.49	9.09	b	c	a	b	a	3.61	0.64	8.08	9.82	6.33	b	c	a	c	a	7.69	4.67	8.39	7.42	0.96	c	a	b	c	b
x9	2.86	9.91	7.21	5.59	7.21	a	c	c	a	a	5.75	8.64	7.25	2.55	7.25	b	c	c	a	a	3.61	6.45	5.42	6.62	5.42	b	c	c	a	a	1.97	1.29	9.72	4.54	9.72	b	c	c	a	a	1.08	3.15	7.94	0.89	9.88	c	a	c	a	c	6.67	6.06	0.38	1.88	0.23	a	a	c	c	b
x10	3.8	8.58	7.58	7.46	0.67	b	b	b	a	c	5.57	3.6	6.76	4.89	5.69	a	b	a	b	b	4.19	2.87	2.74	4.27	7.12	a	b	a	c	b	9.09	7.35	6.95	3.53	0.93	c	a	c	a	c	5.07	4.53	2.22	7.56	3.47	c	c	c	c	c	8.32	5.98	2.62	0.28	4.41	b	a	a	a	a
x11	8.46	2.1	1.78	9.97	6.36	c	a	c	c	c	9.59	4.95	9.84	9.64	5.71	b	c	a	c	a	1.77	0.98	7.46	4.82	9.67	c	c	a	c	a	4.88	6.63	9.58	9.85	8.61	b	c	a	b	a	1.06	2.22	6.06	3.41	7.96	a	c	a	b	a	6.99	5.37	6.29	7.61	5.7	c	c	b	c	c
x12	5.01	3.8	7.21	4.7	7.21	a	a	c	a	a	5.82	8.17	7.25	5.46	7.25	c	c	c	a	a	5.51	6.39	5.42	6.85	5.42	c	b	c	a	a	9.5	0.14	9.72	4.27	9.72	c	b	c	a	a	4.93	2.65	3.91	0.73	8.45	c	b	a	a	b	3.91	8.29	7.41	1.39	2.22	b	c	c	c	c
x13	8.92	6.23	4.65	0.62	6.13	b	a	c	c	a	4.84	6.69	7.77	0.13	4.17	b	a	b	a	c	1.84	3.14	2.45	9.55	1.7	c	c	a	c	b	0.66	0.91	7.31	6.45	0.38	a	c	b	a	a	5.39	4.58	7.87	7.2	8.59	a	c	a	c	b	4.17	8.02	6.12	5.47	2.6	b	c	c	a	b
x14	8.47	3.68	1.36	7.36	0.96	a	a	a	a	a	3.68	9.83	6.04	9.77	2.28	b	c	b	c	c	3.84	3.84	4.6	1.62	1.9	c	c	b	a	c	5.89	5.89	2.59	0.89	6.27	b	c	c	b	b	0.17	0.17	3.17	2.12	8.37	b	c	c	c	a	3.55	8.79	5.3	2.69	4.44	b	c	a	b	c
x15	5.03	3.34	0.27	3.58	3.19	b	a	b	c	b	9.84	8	0.53	5	7.33	b	c	a	c	c	0.71	1.14	8.9	9.9	2.67	b	c	c	a	b	6.72	1.01	3.03	1.97	7.18	b	c	c	c	c	9.42	9.64	6.29	6.64	8.59	b	c	b	b	a	9.38	0.17	6.63	6.78	1.91	c	a	a	b	a
x16	5.16	0.63	7.21	5.42	7.21	c	b	c	a	a	0.31	5.69	7.25	8.32	7.25	c	b	c	a	a	7.09	1.69	5.42	6.54	5.42	b	c	c	a	a	2.12	3.9	9.72	8.59	9.72	a	c	c	a	a	1.36	1.25	4.22	0.69	9.82	a	b	b	b	b	7.55	6.51	4.81	9.99	7.26	c	a	a	c	a
x17	7.19	6.96	7.21	5.64	7.21	b	b	c	a	a	4.81	6.12	7.25	3.63	7.25	b	b	c	a	a	7.96	7.31	5.42	2.43	5.42	c	a	c	a	a	9.99	5.44	9.72	9.88	9.72	b	a	c	a	a	7.22	5.28	8.3	9.31	0.78	a	c	c	b	a	1.89	7.52	4.86	5.99	8.79	c	b	b	c	b
x18	3.69	9.85	3.92	6.56	2.96	a	c	a	c	c	5.74	8.86	6.98	1.95	7.58	b	c	c	a	a	3.57	1.84	1.38	8.45	3.98	b	c	c	c	c	1.88	9.11	1.01	7.78	3.08	b	c	c	c	c	6.79	6.12	1.86	2.08	9.77	c	b	b	a	c	0.61	0.64	5.17	4.91	3.53	b	b	a	c	a
