X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	8.57	6.54	7.75	4.29	1.37	a	b	a	a	c	4.55	9.87	3.98	1.51	6.2	b	c	a	c	b	5.96	0.16	8.18	0.7	0.02	a	a	a	b	c	6.61	1.15	7.88	5.43	3.96	a	c	b	b	a	7.39	3.73	1.75	7.25	3.77	c	a	b	b	c	5.68	3.85	3.9	0.04	6.49	c	c	a	c	b
x1	6.27	6.27	0.25	0.87	9.88	a	c	a	b	a	3.18	3.18	6.17	1.94	7.82	a	c	c	b	a	2.78	2.78	5.18	7.32	1.87	a	c	a	a	a	3.61	6.69	0.8	5.17	9.53	c	b	c	a	b	1.18	0.11	6.23	5.26	9.09	b	b	a	b	c	0.9	3.31	0.94	4.31	8.26	c	c	a	c	a
x2	3.24	3.98	6.31	9.42	1.12	c	b	b	c	c	9.05	1.37	9.43	7.22	9.42	b	b	b	b	a	4.38	8.65	8.92	8.13	1.09	b	c	c	c	c	4.85	8.25	1.01	9.13	0.99	c	c	a	a	b	9.61	8.68	9.6	9.92	6.03	c	b	b	c	c	8.44	9.95	4.91	8.87	8.55	c	c	a	c	c
x3	1.2	8.95	6.62	6.62	5.43	b	a	c	c	a	9.03	5.01	1.04	1.04	0.81	b	a	b	c	a	5.47	3.5	6.14	6.14	0.67	b	a	c	c	b	6.75	4.65	3.59	3.59	1.88	a	c	c	c	a	7.4	1.79	4.43	4.27	4.01	a	a	a	c	c	2.87	9.68	1.63	8.23	9.75	c	b	c	a	b
x4	9.24	7.16	1.47	8.62	7.03	c	b	b	c	a	8.18	0.03	6.54	6.98	4.97	b	a	a	c	a	5.66	5.62	6.54	0.01	4.19	b	a	c	a	c	8.66	5.42	4.71	7.28	8.82	c	c	b	c	b	0.49	1.22	5.26	2.45	7.7	a	c	b	c	a	1.74	9.14	4.22	2.21	0.14	c	a	b	b	c
x5	2.75	4.52	0.13	4.48	4.6	b	c	c	c	b	1.21	6.2	2.54	5.63	2.35	b	c	c	c	b	9.07	3.37	7.59	3.35	2.26	b	b	c	c	b	6.16	8.14	6.78	4.89	2.27	b	a	a	a	b	6.61	0.05	9.42	7.1	3.8	c	b	b	c	b	3.7	6.87	8.71	1.67	8.84	a	a	b	c	c
x6	5.55	6.42	6.62	6.62	6.55	b	a	c	c	a	6.39	2.78	1.04	1.04	5.47	b	a	b	c	c	8.47	7.64	6.14	6.14	6.36	b	a	b	c	c	4.69	0.63	3.59	3.59	6.84	b	c	b	a	b	1.3	1.41	6.57	1.53	7.77	b	a	c	b	b	3.28	7.76	8.18	9.6	1.69	b	b	c	b	c
x7	3.27	4.64	7.84	3.18	7.58	a	b	b	b	c	7.43	3.12	0.41	5.06	0.12	a	b	a	c	b	4.87	9.82	9.74	9.16	9.04	a	a	b	a	b	9.97	1.63	0.45	2.59	8.13	a	c	c	a	a	4.52	4.36	8.68	6.62	5.33	c	c	a	c	c	5.08	4.69	8.66	5.5	4.76	a	c	c	b	a
x8	7.33	5.74	1.31	1.16	5.91	a	c	a	a	c	2.44	0.32	4.57	6.99	2.92	c	c	c	a	a	5.31	7.69	9.87	3.29	4.49	b	b	a	b	c	4.87	8.2	0.14	6.77	1.54	a	c	c	b	a	0.09	5.82	1.05	8.71	3.43	b	b	b	c	a	3.42	8.26	4.07	5.5	9.99	a	b	c	a	b
x9	4.33	9.7	2.34	2.04	0.78	c	a	c	c	a	2.42	1.8	7.77	3	8.43	b	a	c	b	c	2.34	0.8	5.11	5.65	7.06	c	a	a	b	c	7.69	1.73	8.16	2.27	9.89	a	a	c	b	b	2.58	9.46	4.09	5.57	6.92	c	b	c	c	c	8.76	0.56	3.31	0.08	6.26	c	b	c	b	c
