X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	5.04	3.53	7.55	4.79	2.7	0.54	0.37	8.46	5.49	1.03	a	c	c	a	b	b	a	b	c	c	8.82	4.64	3.35	1.42	4.26	5.85	7.94	2.65	7.43	1.94	c	c	a	c	c	c	a	b	b	a	3.19	3.85	5.81	5.47	9.63	0.6	1.67	2.61	0.1	9.4	b	a	b	b	c	b	c	b	b	a	8.73	8.66	1.87	5.38	9.03	9.42	8.87	6.32	8.91	1.9	a	a	c	b	c	c	c	c	b	a
x1	2.45	4.22	5.2	6.78	6.73	4.98	5.45	0.12	8.71	2.51	a	b	b	a	b	b	c	a	c	c	9.89	4.02	7.19	1.25	1.88	2.34	7.14	9.32	1.48	6.39	a	c	a	c	a	a	b	c	c	b	5.83	7.22	7.75	2.3	4.44	1.67	6.46	7.32	9.77	5.87	c	b	a	a	b	a	b	b	b	b	4.24	2.67	2.68	0.3	9.89	9.37	7.23	2.71	9.58	8.42	a	c	c	b	b	c	c	c	c	a
x2	9.31	4.94	8.63	3.49	8.22	5.31	4.65	0.03	1.85	8.54	c	b	c	c	c	c	b	b	a	c	4.66	9.51	6.25	1.98	4.92	5.23	6.15	4.48	9.17	4.48	b	a	c	b	a	c	a	a	a	a	1.05	8.3	7.06	1.17	1.08	3.45	8.29	2.24	9.54	7.14	a	b	c	c	b	a	b	c	a	a	0.26	7.19	5.69	6.73	2.44	4.46	2.17	7.39	3.6	2.39	a	c	b	c	a	c	b	c	a	c
x3	1.08	0.12	3.37	2.34	2.39	4.51	8.98	3.39	4.25	1.16	a	b	c	a	b	b	a	c	b	b	0.43	2.35	6.1	6.63	8.96	1.69	2.28	1.21	3.52	4.69	b	c	a	a	c	a	b	b	a	a	2.73	6.06	0.83	9.85	5.12	6.24	8.4	1.33	6.94	5.1	c	a	b	c	a	b	b	a	a	c	1.33	3.9	6.67	8.97	1.1	8.28	0.67	7.25	4.84	3.88	a	c	c	b	c	c	b	c	b	b
x4	7.2	1.47	1.44	6.04	2.5	7.76	3.96	6.24	6.26	2.02	a	c	b	a	a	c	a	a	b	a	7.24	2.33	0.37	5.52	6.24	5.52	1.42	7.4	7.21	1.7	c	b	b	a	c	c	b	b	c	b	9.04	8.61	2.31	4.93	9.09	4.34	1.82	3.13	7.16	6.81	c	b	a	c	c	a	c	b	c	b	1.68	7.87	9.64	6.22	1.57	6.04	8.88	7.55	4.56	2.94	c	b	b	a	a	c	b	c	b	b
x5	6.89	1.36	1.05	6.18	7.59	9.74	4.97	1.11	0.11	9.52	c	a	c	a	b	a	a	a	c	b	4.9	9.55	9.08	2.13	1.3	2.5	9.5	3.71	5.88	8.38	a	c	c	c	b	a	a	a	c	a	8.83	3.67	3.29	9.48	1.21	3.43	2.85	4.23	2.88	8.1	a	c	b	a	b	b	a	a	a	a	7.59	8.96	9.16	1.65	7.04	1.83	1.28	3.8	8.24	7.03	c	a	c	b	a	c	b	a	a	c
x6	5.27	8.7	7.59	8.7	0.42	8.7	6.38	6.01	6.43	8.97	b	b	a	b	a	c	c	c	c	b	3.34	7.62	2.83	7.62	1.16	7.62	7.3	5.39	1.64	9.44	b	c	c	a	a	a	c	a	b	b	3.34	0.38	2.83	6.48	6.85	7.68	5.76	7.12	6.63	0.86	b	c	a	a	c	a	b	b	c	b	8.07	5.61	1.93	2.92	6.55	2.67	3.8	0.55	5.46	2.62	c	c	c	a	a	b	a	a	c	b
x7	8.38	7.09	1.33	8.27	9.54	1.39	7.23	3.46	7.14	4.48	a	c	b	a	c	c	c	c	c	c	0.24	9.3	0.44	8.32	1.65	7.04	3.13	8.81	3.75	5.03	b	a	b	c	a	a	c	c	c	b	8.63	3.37	7.69	1.56	4.23	5.55	6.97	3.72	8.43	1.58	c	c	c	c	a	a	a	c	a	a	6.35	4.68	4.87	7.68	3.51	3.3	8.22	0.06	0.3	4.07	b	c	c	a	b	b	c	a	b	c
x8	3.84	5.74	1.2	0.85	7.95	5.7	6.39	1.58	6.64	8.1	c	a	b	a	c	a	c	b	b	b	2.67	8.17	7.95	7.1	7.8	5.03	2.08	6.36	2.01	8.06	b	b	a	b	c	c	b	c	c	b	1.41	0.05	8.69	3.08	5.73	4.32	1.12	5.46	3.8	8.08	a	b	a	a	c	c	c	b	a	b	1.08	9.18	4.88	5.97	4.95	1.62	3.64	1.8	3.27	8.12	a	b	a	c	c	b	b	c	a	c
x9	2.93	7.99	8.15	9.33	5.93	4.73	6.43	1.64	8.38	9.44	c	b	a	a	c	a	c	b	b	a	1.73	2.42	8.99	1.38	8.88	9.03	4.73	8.87	5.65	9.95	a	a	b	a	a	c	c	a	b	b	6.27	2.31	3.65	1.68	7.18	3.59	2.94	7.06	3.78	8.85	b	b	b	b	c	c	b	a	c	b	4.34	7.76	0.82	6.19	9.2	8.29	8.79	3.72	2.53	5.36	c	c	c	b	a	c	a	c	b	c
