X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	3.7	3.59	4.09	2.59	8.66	c	b	b	c	a	8.7	4.94	5.91	6.73	5.49	c	b	b	c	a	7.3	7.4	3.92	3.77	5.91	c	c	b	b	c	9.14	9.79	4.97	4.67	9.21	a	a	b	c	c
x1	1.07	0.31	3.77	1.07	1.07	a	c	c	a	b	7.66	7.25	5.08	7.66	7.66	a	c	c	a	a	9.65	5.79	2.72	4.91	5.55	b	c	c	c	a	3.38	1.64	5.93	3.05	9.32	b	b	a	a	a
x2	4.46	0.56	2.35	0.09	4.01	b	b	b	c	a	4.68	6.46	3.64	4.5	2.04	a	b	b	a	b	1.54	0.51	9.25	4.58	4.31	a	c	c	c	a	4.27	3.27	10	9.1	5.69	a	c	a	b	c
x3	9.6	7.58	0.92	4.5	2.87	c	b	b	b	c	6.72	0.32	1.49	7.4	9.78	b	b	b	c	a	5.12	3.51	0.9	0.54	9.57	b	b	b	a	a	5.2	6.47	2.99	8.95	4.42	a	b	b	b	a
x4	1.07	9.72	3.17	1.07	1.07	a	c	b	a	c	7.66	5	0.51	7.66	7.66	a	c	c	a	b	4.97	1.33	2.96	9.61	2.94	a	a	c	a	b	6.01	5.92	6.07	3.03	6.3	c	b	a	c	a
x5	9.68	2.26	3.2	9.56	8.75	c	c	b	c	c	9.68	7.97	3.2	9.56	2.61	a	c	c	c	c	1.82	1.82	0.75	6.41	9.52	c	b	b	b	a	7.73	7.69	5.02	6.18	8.05	a	c	a	c	b
x6	9.68	3.44	3.2	9.56	5.04	a	c	a	c	c	9.68	7.4	3.2	9.56	0.74	a	c	a	a	c	1.43	1.83	4.25	2.89	3.8	b	c	c	a	c	0.73	4.04	2.64	8.78	7	c	b	c	c	c
x7	0.65	4.47	2.94	9.42	8.54	c	b	b	a	c	1.8	0.64	6.47	9.01	5.56	b	b	b	a	b	0.03	9.87	8.15	6.8	8.69	c	b	b	b	b	7.85	5.91	0.66	1.93	6.95	a	a	a	a	a
x8	9.68	1.29	3.2	9.56	3.64	b	c	b	c	c	9.68	3.84	3.2	9.56	0.86	a	c	c	b	c	5.87	2.75	2.21	9.47	8.36	a	a	a	c	c	0.44	9.29	2.98	6.14	6.66	a	a	c	b	c
x9	9.68	8.9	3.2	9.56	0.71	b	c	c	a	c	9.68	6.2	3.2	9.56	5.43	c	c	b	a	c	9.26	9.98	9.27	7.82	5.02	b	b	a	a	b	5.87	3.52	1.87	3.41	4.99	b	b	c	c	b
x10	0.36	0.83	7.54	2.95	8.91	c	b	b	b	c	9.5	9.5	0.34	0.77	9.5	a	b	b	b	c	5.6	5.6	4.25	0.17	5.6	a	b	b	b	c	6.87	7.98	1.71	4.14	0.26	c	a	b	b	c
x11	3.94	4.99	6.08	1.57	5.86	b	b	b	a	c	2.55	3.11	3.11	3.11	7.01	b	b	b	c	b	5.59	4.21	4.21	4.21	5.44	b	b	c	b	c	1.98	2.64	2.74	9.63	4.39	a	b	a	b	b
x12	1.07	9.87	9.44	1.07	1.07	a	c	a	a	c	7.66	1.78	1.02	7.66	7.66	a	c	a	a	b	0.32	3.65	5.51	7.77	4.43	c	a	c	c	a	6.48	1.12	8.49	3.76	5.87	c	c	b	a	c
x13	1.88	9.99	5.35	8.49	4.23	a	b	a	b	c	9.5	9.5	7.14	9.55	9.5	a	a	c	b	c	5.6	5.6	6.91	6.99	5.6	a	b	c	a	c	0.12	9.62	4.91	6.98	9.08	a	b	c	b	a
x14	9.68	2.57	3.2	9.56	9.28	a	c	c	c	c	9.68	0.26	3.2	9.56	9.11	a	c	a	a	c	7.99	5.41	2.94	6.38	2.48	c	b	c	b	b	5.84	8.12	8.08	6.95	5.24	c	c	a	a	b
x15	6.46	6.17	1.27	1.7	7.43	a	b	b	c	c	2.07	4.43	8.23	5.02	9.94	a	b	b	c	b	2.87	0.31	4.23	4.46	2.79	a	c	b	a	b	9.14	3.44	3.92	8.14	7.76	c	a	b	a	b
x16	8.94	6.39	0.82	0.38	2.9	a	a	b	b	c	3.47	3.11	3.11	3.11	8.52	c	b	c	b	a	1.25	4.21	4.21	4.21	7.55	c	a	a	c	a	5.88	3.85	9.06	4.49	5.35	b	b	b	a	a
x17	1.07	2.58	7.33	1.07	1.07	a	c	a	a	c	7.66	9.95	7.69	7.66	7.66	a	c	a	a	c	8.05	6.53	3.89	6.13	7	c	a	a	b	c	9.15	5.11	5.11	5.99	8.1	b	b	b	a	c
x18	2.57	9.26	9.65	1.7	3.49	a	a	c	b	a	9.5	9.5	0.26	4.18	9.5	a	a	a	a	c	5.6	5.6	1.15	9.35	5.6	a	a	a	b	c	1.91	6.84	9.86	8.14	8.79	b	c	b	b	a
x19	3.31	8.23	7	2.86	5.92	a	c	c	a	a	9.5	9.5	6.52	7.28	9.5	a	b	b	a	c	5.6	5.6	8.08	3.07	5.6	a	c	c	a	c	8.79	6.07	1.09	4.5	1.76	c	c	a	b	a
x20	9.68	7.61	3.2	9.56	1.32	a	c	b	b	c	9.68	9.03	3.2	9.56	6.34	b	c	b	a	c	7.75	4.76	8.4	9.38	8.85	b	b	c	b	b	7.46	1.95	3.93	5.01	8.45	c	a	b	c	b
x21	1.84	0.25	2.59	0.86	2.16	c	a	b	b	c	3.19	3.11	3.11	3.11	2.93	c	b	a	a	a	7.9	4.21	4.21	4.21	8.98	a	a	c	c	c	7.57	1.03	8.03	3.15	0.48	b	a	c	a	a
x22	9.68	6.67	3.2	9.56	6.13	c	c	b	c	c	9.68	1.41	3.2	9.56	4.56	b	c	c	a	c	5.58	9.03	6.61	0.17	6.76	c	a	a	c	a	8.62	1.69	1.19	4.67	9.71	c	a	a	c	c
x23	4.14	8.87	7.86	5.51	6.73	a	c	c	b	c	9.31	2.26	8.81	4.97	6.39	c	a	c	c	b	6.03	1.4	8.81	3.24	6.39	c	b	c	c	c	8.67	2.89	1.49	5.43	7.25	a	a	c	c	a
x24	6.51	3.64	3.5	9.91	1.4	a	b	b	a	b	0.74	1.97	0.53	3.19	3.3	a	b	b	b	a	6.9	7.53	9.05	1.83	3.63	a	c	b	b	b	5.65	4.01	2.46	4.15	8.56	c	a	c	b	b
x25	8.24	3.21	3.35	1.37	3.31	a	b	b	b	c	4.49	3.11	3.11	3.11	2.74	c	a	b	a	c	5.12	4.21	4.21	4.21	4.25	b	a	a	b	c	5.81	0.37	7.03	2.1	7.7	b	b	b	a	b
x26	0.02	3.87	8.66	3.42	3.35	b	c	a	a	c	2.96	3.11	3.11	3.11	6.02	b	c	b	a	c	1.75	4.21	4.21	4.21	6.21	b	c	c	c	c	5.72	7.67	9.86	1.4	5.17	c	a	a	b	a
x27	1.07	0.93	5.83	1.07	1.07	a	c	a	a	c	7.66	8.81	1.13	7.66	7.66	a	c	a	a	a	3.03	9.54	6.46	10	0.79	c	c	b	a	b	6.04	5.65	5.42	3.44	9.86	b	b	b	c	a
x28	0.93	0.63	3.37	4.11	8.3	a	c	c	a	c	6.49	4.21	8.81	9.43	6.39	c	a	c	c	c	3.45	7.95	8.81	3.34	6.39	c	c	c	c	c	5.73	7.07	7.68	0.81	0.82	c	b	a	b	b
x29	1.07	7.99	1.01	1.07	1.07	a	c	b	a	b	7.66	0.28	6.88	7.66	7.66	a	c	a	a	b	0.9	7.25	2.52	0.32	2.13	c	a	c	b	b	7.56	2.82	4.84	3.91	4.58	a	c	b	a	b
x30	6.32	0.4	2.53	7.53	9.47	c	a	a	b	a	0.09	0.75	8.81	5.72	6.39	c	c	c	c	c	5.22	9.69	8.81	4.43	6.39	c	a	c	c	c	9.52	2.95	0.96	5.1	5.51	c	a	c	c	b
x31	9.68	3.11	3.2	9.56	4.98	c	c	a	b	c	9.68	4.05	3.2	9.56	5.69	b	c	a	b	c	3.65	6.13	9.35	7.94	0.1	c	c	b	a	c	0.55	8.38	5.38	9.58	6.5	a	b	a	c	c
x32	9.68	4.53	3.2	9.56	3.77	c	c	b	b	c	9.68	6.08	3.2	9.56	0.77	c	c	c	a	c	8.88	9	6.61	7.49	3.74	a	c	a	c	b	4.93	6.2	5.18	7.07	4.67	b	a	c	a	a
x33	2.87	7.99	7.84	7.96	6.39	c	a	b	b	c	9.5	9.5	1.38	0.13	9.5	a	c	a	a	c	5.6	5.6	3.65	0.56	5.6	a	b	c	b	c	6.04	8.48	4.56	7.99	2.37	c	a	a	c	b
x34	3.27	2.11	6.37	2.03	1.49	b	b	b	a	a	4.12	7.19	1.57	5.49	9.83	c	b	b	c	b	4.81	8.85	0.75	0.91	0.15	b	c	c	a	c	2.07	2.48	0.04	2.08	8.62	c	c	c	a	a
x35	9.68	3.65	3.2	9.56	7.08	a	c	a	a	c	9.68	0.45	3.2	9.56	5.87	c	c	b	a	c	3.21	3.94	8.62	3.05	7.23	a	a	c	b	a	4.72	6.58	6.57	8.96	8.26	b	b	a	b	b
x36	1.07	8.01	5.99	1.07	1.07	a	c	b	a	c	7.66	2.34	5.08	7.66	7.66	a	c	b	a	b	6.54	1.62	0.22	3.16	0.3	b	a	b	a	c	5.92	9.46	6.88	3.69	9	c	c	a	a	c
x37	2.18	9.37	9.09	7.37	3.36	c	b	b	b	b	4.78	0.61	7.63	9.5	5.81	a	b	b	b	a	9.48	5.17	5.79	6.69	7.94	b	b	b	c	a	1.2	8.66	0.65	7.58	1.31	a	c	a	a	c
x38	1.07	3.81	2.52	1.07	1.07	a	c	a	a	b	7.66	4.58	8.67	7.66	7.66	a	c	c	a	a	6.62	8.63	1.48	0.29	3.78	a	a	a	b	c	3.54	9.47	8.68	1.84	7.24	c	c	a	b	b
x39	9.68	7.09	3.2	9.56	5.74	a	c	a	a	c	9.68	8.9	3.2	9.56	6.58	a	c	b	b	c	6.84	2.95	0.11	3.17	2.83	b	a	c	c	c	9.76	8.24	8.08	2.58	7.9	a	c	b	b	b
x40	5.22	6.93	0.73	5.03	3.11	b	b	a	a	c	9.5	9.5	4.49	9.15	9.5	a	c	c	a	c	5.6	5.6	1.71	4.18	5.6	a	b	c	c	c	5.37	7.54	8.4	7.89	4.34	b	a	c	c	a
x41	5.13	4.91	4.94	4.36	4.46	b	c	a	b	c	0.99	3.11	3.11	3.11	1.63	a	a	a	a	b	7.42	4.21	4.21	4.21	5.02	c	c	c	a	c	8.15	5.09	5.89	0.33	8.46	a	c	b	a	b
x42	8.24	1.8	1.8	2.19	2.48	c	b	b	b	b	7.43	3.11	3.11	3.11	3.86	a	b	b	c	c	2.42	4.21	4.21	4.21	2.92	c	c	b	c	b	3.36	0.84	6.34	4.25	5.33	a	c	c	c	a
x43	1.62	0.31	3.8	9.44	7.51	a	a	c	c	b	9.04	6.71	8.81	6.68	6.39	c	c	c	c	b	9.57	5.59	8.81	4.02	6.39	c	c	c	c	c	1.83	1.05	9.45	8.36	4.96	a	b	a	b	a
x44	6.13	5.83	6.79	3.57	2.83	c	a	b	b	a	4.14	3.11	3.11	3.11	6.78	c	c	b	a	c	0.87	4.21	4.21	4.21	0.72	b	a	a	c	a	2.12	1.08	9.61	2.2	0.73	c	c	c	c	a
x45	6.43	8.08	3.85	3.06	4.48	a	b	a	b	c	9.5	9.5	1.7	4.06	9.5	a	c	a	c	c	5.6	5.6	3.5	7.23	5.6	a	c	b	b	c	6.91	7.89	5.05	6.73	9.73	c	c	c	b	b
x46	1.07	1.27	2.24	1.07	1.07	a	c	c	a	c	7.66	5.67	6.18	7.66	7.66	a	c	b	a	a	4.13	6.28	9.91	6.22	7.53	b	c	c	a	b	0.37	9.05	9.94	8.29	5.72	b	b	c	b	b
x47	1.07	9.17	1.36	1.07	1.07	a	c	c	a	a	7.66	7.46	9.19	7.66	7.66	a	c	b	a	a	6.98	8.24	4.23	4.48	9.99	a	a	b	b	c	9.54	9.74	9.09	7.57	5.11	b	b	b	c	b
x48	6.6	0.55	2.09	4.62	5.1	b	a	c	b	a	9.5	9.5	6.07	1.52	9.5	a	a	b	c	c	5.6	5.6	8.27	3.71	5.6	a	a	c	b	c	3.94	3.42	3.77	6.75	8.48	a	c	c	b	b
x49	1.9	1.69	4.44	9.22	5.23	c	c	b	c	b	0.42	0.7	8.81	1.37	6.39	c	c	c	c	c	5.97	6.7	8.81	4.23	6.39	c	a	c	c	b	2.14	7.37	5.99	3.45	4.91	c	b	b	c	c
x50	5.99	5.12	7.54	9.83	0.37	b	b	b	a	a	9.5	9.5	4.64	7.42	9.5	a	b	b	c	c	5.6	5.6	2.31	3.87	5.6	a	a	b	b	c	9.55	1.66	2.28	2.21	5.8	a	c	b	b	c
x51	1.97	3.05	2.96	4.65	4.8	b	b	c	b	c	8.77	3.11	3.11	3.11	0.49	c	c	c	c	b	6.23	4.21	4.21	4.21	3.05	c	b	c	a	b	4.91	3.16	6.01	2.88	9.15	c	a	a	c	c
x52	9.68	2.03	3.2	9.56	2.03	b	c	b	b	c	9.68	8.29	3.2	9.56	6.63	b	c	a	a	c	1.23	1.82	1.98	1.2	2.64	c	c	b	a	b	3.08	9.15	5.42	2.2	7.09	c	b	c	c	c
x53	8.67	8.83	7.06	7.43	5.08	a	b	b	c	a	8.29	6.23	0.46	10	0.32	a	b	b	b	c	5.05	9.77	4.8	4.5	5.12	c	c	c	b	c	1.83	0.82	5.04	7.75	1.16	a	c	a	b	c
x54	5.99	5.89	9.51	5.29	6.52	c	c	c	b	c	4.81	3.11	3.11	3.11	9.69	b	b	c	a	c	2.74	4.21	4.21	4.21	2.63	a	a	a	c	c	9.51	8.96	9.5	0.63	1.14	a	b	b	c	b
