X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	0.35	5.44	4.2	3	0.01	b	c	c	c	c	1.88	7.67	1.88	5	4.33	a	a	c	c	c	3.68	8.71	3.68	8.91	8.98	b	a	b	a	c	8.02	0.9	8.02	1.16	6.55	a	a	c	a	c	8.68	1.43	8.68	3.99	0.25	a	a	a	a	c	4.55	5.28	4.12	0.75	1.03	c	a	a	a	b
x1	2.09	4.1	3.95	4.96	1.01	c	c	b	b	c	3.79	5.33	1.23	7.79	2.96	c	b	a	c	c	6.99	9.98	6.61	5.47	1.15	a	c	a	b	b	1.17	4.88	3.51	7.26	3.12	b	b	b	b	b	1.31	0.98	6.53	7.57	5.95	c	b	c	b	b	0.61	1.41	6.66	7.1	0.85	c	a	c	a	b
x2	1.15	3.55	5.11	5.7	2.36	c	a	b	b	c	1.88	0.44	1.88	1.83	8.59	b	a	b	b	c	3.68	1.75	3.68	7.78	9.88	a	a	c	c	c	8.02	8.32	8.02	6.97	7.96	a	a	a	c	c	8.68	0.86	8.68	0.68	0.31	b	a	b	c	c	2.45	8.32	9.27	2.67	0.27	c	b	b	b	c
x3	4.92	5.32	5.21	6.19	3.32	b	a	b	a	b	6.56	1.72	4.62	4.04	2.31	c	c	b	c	c	7.61	7.24	0.88	1.74	7.72	b	a	a	a	b	1.65	3.76	2.5	9.33	7.39	a	b	b	b	a	9	1.91	5.63	3.89	9.63	b	b	a	a	b	9.82	0.39	5.48	9.38	6.58	a	a	b	a	b
x4	3.44	4.8	3.67	9.91	1.38	c	c	c	b	b	2.13	7.07	6.56	8.27	4.26	c	b	b	c	c	4.52	9.39	5.64	6.24	1.61	a	b	c	b	b	6.38	0.94	2.04	5.66	7.14	a	b	a	a	b	8.74	7.55	3.33	6.91	0.87	c	c	b	b	b	2.33	5.45	8.86	8.41	8.27	b	b	a	b	c
x5	4.54	4	4.29	8.27	6.89	a	a	a	c	c	3.77	4	7.14	8.27	6.89	c	b	a	c	b	3.77	4	7.14	8.27	6.89	b	c	b	c	c	3.77	4	7.14	8.27	6.89	c	b	a	b	b	2.36	1.57	0.26	7.51	7.26	c	c	b	c	c	8.35	0.3	7.85	0.54	1.66	a	c	b	a	a
x6	7.37	4	3.13	8.27	6.89	a	c	c	b	a	1.43	4	5.97	8.27	6.89	a	c	b	a	c	7.9	4	7.88	8.27	6.89	a	b	b	a	b	2.08	4	2.91	8.27	6.89	a	b	c	a	b	0.17	4.81	0.54	6.3	5.01	b	c	c	a	b	1.92	3.49	8.9	0.88	0.64	a	c	c	a	b
x7	0.06	1.07	7.76	2.54	2.35	b	b	b	b	b	1.72	2.5	0.44	8.26	1.02	b	b	c	a	a	8.61	9.21	6.78	1.84	1.48	b	b	c	a	b	7.24	4.59	4.65	7.79	2.72	a	c	b	a	b	9.78	4.12	6.89	5.35	5.14	b	a	c	b	b	5.18	2.42	2.94	9.21	3.36	a	c	c	b	a
x8	6.43	0.2	8.91	7.11	2.38	b	a	a	b	c	0.1	8.49	5.1	0.57	4.86	b	a	a	b	b	6.95	2.02	9.54	8.84	3.75	b	b	b	a	b	2.67	4.42	1.49	4.35	0.75	b	c	c	b	c	4.96	4.85	8.58	5.86	3.78	c	b	a	b	c	5.4	3.07	0.98	9.23	7.46	c	a	c	c	b
x9	4.8	6.82	6.55	8.69	1.03	c	a	b	b	a	9.03	0.28	9.36	5.47	7.35	c	b	a	a	b	1.99	0.86	2.06	4.06	7.29	b	c	a	a	a	0.37	1.65	4.03	5.59	9.97	a	c	a	c	c	7.74	5.11	6.16	1.29	2.56	a	c	b	a	c	5.75	1.12	3.59	1.2	6.63	a	a	c	c	b
x10	8.55	6.73	7.95	8.09	1.47	a	c	b	a	c	0.84	0.07	5.25	1.84	0.73	a	b	b	c	c	1.69	5.99	2.25	0.13	10	b	b	c	c	a	4.82	3.26	3.6	1.17	9.03	a	a	c	c	b	7.66	7.35	7.68	8.09	3.7	b	c	c	c	c	5.97	4.53	0.8	8.4	0.01	b	b	c	a	a
x11	0.44	3.75	1.35	4.22	4.37	b	a	a	b	c	3.77	7.06	7.14	8.93	2.25	a	c	c	c	c	3.77	8.83	7.14	8.57	0.62	a	b	c	b	b	3.77	5.52	7.14	8.34	3.3	a	b	b	a	b	7.35	9.21	2.34	5.38	9.1	b	b	c	a	b	6.69	7.1	2.82	5.23	7.25	c	b	c	b	c
x12	3.83	7.48	8.55	5.48	4.12	b	c	c	b	a	3.77	7.42	7.14	9.38	3.77	c	c	a	a	a	3.77	0.21	7.14	4.17	8.18	a	b	b	b	b	3.77	4.13	7.14	9.03	9.01	a	b	c	c	b	9.19	8.85	3.23	0.13	1.22	a	a	b	a	b	3.29	3.14	1.26	1	3.71	c	b	b	a	c
x13	5.6	7.48	8.31	6.99	0.74	c	c	a	b	c	7.78	6.17	8.56	6.31	7.83	c	b	b	c	a	9.81	1.46	4	8.4	2.11	c	a	c	b	c	6.78	2.41	5.86	2.36	3.09	a	c	a	b	b	7.55	1.65	0.13	0.57	8.72	a	a	c	b	c	7.7	9.87	5	0.05	0.24	a	a	b	c	c
x14	9.55	0.63	0.63	0.63	5.82	c	a	c	c	c	0.27	7.12	7.12	7.12	2.02	a	a	b	a	c	8.74	6.97	6.97	6.97	8.78	c	c	c	a	a	4.77	4.28	4.28	4.28	4.45	b	a	c	c	a	7.77	0.1	9.14	1.94	1.54	a	b	a	b	b	9.48	5.14	8.91	6.09	4.33	c	a	b	b	a
x15	6.73	7.1	2.14	6.88	1.03	a	c	b	b	b	1.88	9.02	1.88	0.64	8.77	b	a	c	a	c	3.68	5.24	3.68	9.85	1.59	b	a	c	b	c	8.02	0.25	8.02	9.14	4.37	b	a	b	b	c	8.68	5.16	8.68	7.12	1.14	b	a	a	b	c	7.88	1.22	7.91	1.52	1.84	b	c	a	b	a
x16	5	8.85	7.62	4.8	6.56	c	a	a	c	b	3.32	6.98	1.14	1.25	2.36	c	c	c	c	a	8.13	5.45	7.27	7.65	6.63	a	a	b	a	b	7.58	7.23	3.71	2.89	3.53	a	a	b	b	b	7.35	1.01	1.26	3.56	7.69	b	b	b	b	b	2.45	1.01	9.38	9.25	6.37	a	b	a	b	c
x17	2.7	5.91	3.81	1.95	7.79	a	c	a	a	b	3.34	6.82	1.97	3.34	3.34	a	c	a	b	b	6.96	4.39	5.43	6.96	6.96	b	c	b	b	b	0.64	7.88	7.88	0.64	0.64	c	b	b	c	b	4.01	1.74	6.16	4.01	4.01	a	a	c	a	b	0.12	6.53	1.83	1.46	7.39	b	c	a	b	c
x18	9.2	3.44	0.8	7.57	7.17	c	b	c	c	a	6.8	5.17	0.84	3.29	5.67	a	c	c	c	a	9.93	7.76	0.14	5.93	8.67	c	c	b	c	b	8.42	1.14	6.11	9	3.57	a	c	a	c	c	0.58	3.83	8.83	4.75	9	c	a	a	a	c	9.95	8.17	3.12	1.8	4.9	b	c	a	c	b
x19	9.59	0.29	0.72	1.75	7.28	b	a	a	a	b	3.77	4.81	7.14	4.99	0.82	c	a	b	c	b	3.77	9.65	7.14	5.41	3.32	a	b	c	a	b	3.77	9.31	7.14	5.74	5.41	a	b	b	c	b	1.15	9.76	0.15	0.15	4.92	a	a	c	c	a	8.48	3.34	3.14	1.13	9.96	c	c	a	b	c
x20	2.44	0.63	0.63	0.63	4.22	b	c	c	c	c	2.64	7.12	7.12	7.12	3.7	b	b	a	c	a	6.19	6.97	6.97	6.97	9.53	c	c	c	b	c	8.34	4.28	4.28	4.28	3.16	a	a	b	c	b	8.48	3.34	5.35	8.56	2.14	b	c	a	c	a	4.06	7.26	1.35	6.16	6.32	b	a	a	c	a
