X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	7.18	4.99	1.69	3.73	4.78	4.69	3.07	4.13	1.24	3.81	a	a	b	a	b	c	c	c	b	c	8.6	2.17	6.21	3.01	3.88	9.02	2.65	0.43	6.36	7.19	a	b	b	b	a	c	b	a	b	c	8.6	2.17	4.11	9.79	5.87	9.02	3.87	1.16	6.36	7.19	c	c	a	a	c	c	b	c	b	c	0.88	4.44	3.36	4.37	0.32	0.44	1.19	3.94	6.7	0.33	b	a	b	b	a	c	c	b	c	a
x1	5.73	1.71	5	4.73	3.18	3.23	8.38	5.89	3.18	4.3	a	c	c	c	c	c	b	c	b	c	0.1	5.6	7.86	6.02	9.99	3.41	2.68	4.38	2.17	2.08	a	c	b	a	a	a	c	a	b	c	7.96	9.96	9.26	1.37	0.37	4.85	5.58	4.45	8.57	4.71	b	b	b	b	b	a	a	c	c	b	2.02	7.5	6.77	5.05	3.24	1.08	4.03	4.61	2.94	7.83	a	a	c	c	a	b	c	a	b	a
x2	5.45	4.77	2.2	7.27	7.91	0.49	6.65	6.71	6.21	4.25	b	b	c	b	a	c	c	a	a	a	9.82	7.69	0.72	6.07	3.19	5.58	6.78	7.88	3.82	7.74	c	a	b	a	b	a	c	c	a	c	4.95	7.57	6.74	9.71	9.94	8.67	8.09	1.74	1.1	2.08	b	c	c	a	b	a	c	c	c	a	5.94	0.61	0.76	2.36	2.74	9.7	3.34	5.65	3.93	2.89	b	b	c	c	c	a	b	b	a	a
x3	3.24	9.83	2	1.69	9.89	4.02	4.76	5.7	9.72	2.36	a	c	b	a	a	c	c	b	a	c	8.6	2.17	6.31	7.65	0.06	9.02	8	4.6	6.36	7.19	b	c	a	a	c	c	b	b	a	a	8.6	2.17	2.59	1.73	7.94	9.02	0.71	6.45	6.36	7.19	c	c	c	b	c	c	b	a	a	c	2.21	7.32	0.2	9.85	3.41	7.82	6.84	0.08	6.24	8.07	b	b	a	a	b	c	c	b	a	a
x4	6.72	5.59	0.2	9.45	0.45	8	0.77	5.94	2.72	7.1	c	c	a	c	b	a	b	b	c	c	2.17	1.29	1.91	3.92	1.68	2.27	4.65	7.14	3.92	0.18	b	c	c	a	c	b	b	c	c	b	1.99	8	5.34	5.03	7.38	1.82	7.01	8.06	7.22	4.2	b	b	b	c	a	b	a	c	c	b	5.69	8.66	5.55	9.64	6.94	9.5	2.06	0.83	8.62	9.48	a	b	b	b	b	a	c	b	c	c
x5	5.74	8.99	8.12	1.08	1.27	4.78	6.7	2.6	0.57	1.1	a	a	a	c	c	a	c	b	a	b	2.39	4.48	4.48	6.92	4.48	5.96	0.22	4.48	1.87	1.56	b	b	b	a	a	c	c	a	c	a	4.67	4.74	4.74	4.76	4.74	8.21	0.22	4.74	7.05	3.45	a	c	c	c	c	c	a	a	a	b	2.88	6.41	5.56	0.38	7.14	9.89	4.07	3.1	1.19	5.09	a	c	c	a	b	b	b	c	a	b
x6	8.01	2.6	1.02	5.76	2.54	4.38	2.48	0.26	9.31	2.35	b	b	b	c	a	c	c	b	c	a	1.45	0.93	9.21	2.34	8.33	1.71	0.05	7.98	1.18	3.56	a	b	c	c	c	c	a	b	c	c	4.48	6.84	7.65	1.16	8.38	0.23	3.95	0.58	1.93	5.23	a	b	b	c	b	c	a	c	b	c	2.25	8.04	1.45	8.45	8.18	6.93	5.9	6.84	4.3	5.79	c	b	c	a	a	b	b	a	a	c
x7	2.7	1.26	6.34	0.05	2.67	6.3	5.6	2.85	0.16	1.89	c	a	b	a	a	a	b	a	c	b	1.65	6.92	7.7	0.56	6.69	0.56	0.56	6.93	0.56	2.39	b	a	c	a	c	c	c	c	b	b	1.13	3.3	4.94	0.96	6.72	0.96	0.96	8.27	0.96	2.01	b	b	b	b	c	a	c	b	b	a	4.17	0.58	9.75	2.13	2.46	1.8	8.08	6.72	3.73	2.62	c	c	c	a	b	a	b	c	c	c
x8	3.28	8.1	6.69	0.53	6.9	5.76	9.12	6.86	1.64	4.28	a	a	b	b	a	b	c	c	a	a	7.37	6.93	4.39	0.15	5.33	5.26	1.12	5.75	0.95	2.48	a	a	a	b	a	a	a	c	a	c	5.17	2.61	9.19	9.91	6.16	0.69	6.29	0.8	5.3	3.54	a	c	a	b	b	c	b	c	c	b	2.54	8.08	4.33	4.74	6.53	2.76	9.47	4.12	1.97	4.58	b	b	c	b	b	a	c	a	c	b
x9	2.98	8.83	7.37	2.38	5.29	9.01	8.47	6.3	8.04	3.89	b	b	c	a	b	a	c	a	c	a	7.32	9.79	4.78	0.56	6.4	0.56	0.56	6.99	0.56	4.01	a	c	c	a	a	a	a	c	c	c	1.34	2.67	7.21	0.96	6.62	0.96	0.96	5.43	0.96	0.76	b	b	b	a	a	b	b	a	b	a	0.56	2.17	8.9	3.19	1.49	2.54	7.22	8.28	3.25	2.64	b	a	b	a	a	b	b	b	a	c
