X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	6.14	4.79	8.57	5.55	9.23	c	c	b	c	b	6.25	1.05	6.2	0.16	6.96	c	c	b	c	c	8.67	6.37	8.06	4.34	2.08	c	c	c	c	a	0.5	0.5	2.93	8.94	5.87	c	c	b	c	b	0.05	0.05	0.17	4.21	7.4	a	c	c	c	b	9.45	4.39	3.69	5.23	7.58	a	c	a	b	c
x1	8.28	4.27	2.24	6.23	9.05	b	c	b	b	c	9.47	1.96	4.35	7.88	2.18	a	c	b	c	a	9.24	2.8	0.46	6.46	0.1	b	b	a	a	b	6.34	5.51	3.34	4.5	2.6	c	c	c	b	b	5.31	2.04	6.15	0.77	1.65	b	a	c	a	b	2.53	1.78	1.63	2.88	6.14	c	b	a	a	b
x2	5.85	3.95	0.94	1.97	8.13	b	c	a	c	b	1.22	7.81	2.59	4.37	1.97	b	b	c	b	b	1.79	6.11	7.4	0.32	4.87	c	a	c	a	b	0.79	1.89	7.69	4.8	1.57	c	b	b	c	c	8.13	6.39	2.31	3.15	5.78	b	a	c	a	b	8.89	1.01	5.92	7.24	7.09	a	a	b	c	c
x3	2.19	5.99	6.5	7.65	2.66	b	b	c	c	c	0.74	2.72	9.69	8.99	7.84	b	b	a	a	c	8.74	4.75	0.24	5.7	0.78	c	a	a	a	a	4.65	5.05	5.38	2.53	9.47	b	b	b	a	b	6.17	1.65	5.2	4	6.18	c	b	a	c	c	0.94	8.72	7.54	4.26	3.03	c	c	a	b	a
x4	8.24	3.53	5.77	3.07	0.32	c	b	c	a	a	7.93	6.56	0.25	4.82	1.98	c	c	a	b	c	8.54	4.88	1.38	5.95	1.9	b	a	a	b	c	7.79	9.38	1.14	6.26	1.42	a	a	c	b	a	7.55	1.31	4.02	1.47	9.02	b	c	a	c	c	8.56	2.39	6.6	9.84	9.81	a	b	a	b	b
x5	3.39	6.19	9.82	5.9	2.93	c	a	b	b	c	7.12	7.69	4	9.31	3.27	a	b	b	c	c	1.85	8.29	8.63	1.85	2.35	c	a	b	a	a	3.46	5.61	7.17	3.46	4.78	a	b	b	b	b	8.36	6.99	1.21	8.36	3.56	b	a	a	c	c	6.94	1.45	2.95	0.14	7.37	c	b	b	c	a
x6	6.04	8.52	5.38	4.49	1.61	c	a	c	c	a	4.17	3.52	9.4	5.75	7.8	c	c	a	a	a	1.85	8.47	9.58	1.85	5.08	c	b	c	c	a	3.46	0.44	0.65	3.46	5.39	c	c	b	b	c	8.36	7.98	8.88	8.36	0.56	a	a	b	c	c	6.29	2.01	5.31	0.85	3.84	c	a	c	a	a
x7	5.66	4.12	0.89	2.03	2.89	c	c	a	c	a	3.47	5.02	1.57	9.3	1.14	a	b	b	b	a	5.27	0.16	0.51	1.13	3.58	c	a	b	b	b	2.39	1.32	6.97	4.5	6.61	c	c	c	a	a	2.55	3.6	5.09	6.16	6	c	b	b	c	a	4.12	1.91	3.08	4.19	7.75	b	c	a	a	c
x8	5.17	2.8	1.55	4.27	4.17	a	c	c	a	b	6.97	5.55	0.24	2.83	3.88	c	c	b	a	c	4.68	3.86	9.49	6.23	6.13	b	b	a	a	a	3.44	4.66	3.24	1.5	8.68	b	c	a	a	b	2.52	8.69	2.65	8.12	8.59	b	b	b	a	b	8.85	9.95	0.53	4.35	9.35	b	c	c	c	a
x9	3.79	2.66	7.05	4.7	8.28	a	a	a	b	a	4.18	5.44	6.27	5.44	6.4	b	b	a	a	b	8.89	2.48	0.59	2.48	1.56	b	a	c	a	b	6.52	3.75	8.09	3.75	0.29	b	b	a	a	b	5.85	4.32	9.96	2.13	9.2	b	a	c	b	b	0.6	3.21	6.63	0.96	1.91	c	a	c	c	b
x10	6.14	0.73	8.91	7.25	2.02	a	b	c	c	b	8.8	2.95	4.27	8.83	0.23	c	a	b	b	b	1.85	4.68	7	1.85	9.48	a	a	c	c	b	3.46	8.63	3.23	3.46	3.89	b	b	b	a	b	8.36	1.94	0.41	8.36	7.36	c	b	b	b	b	0.11	4.83	8.76	9.49	0.1	c	a	b	c	a
x11	5.6	9.84	5.88	6.68	3.52	c	a	c	a	c	9.74	5.44	0.4	5.44	5.28	b	c	c	a	b	5.46	2.48	5.41	2.48	8.26	b	a	c	a	b	0.46	3.75	7.79	3.75	8.93	b	b	c	a	b	3.68	9.41	6.41	6.55	5.49	a	b	a	b	b	9.05	8.13	2.77	4.47	6.94	b	a	a	b	c
x12	9.14	1.72	1.72	9.48	1.72	a	c	b	c	c	4.45	7.48	7.48	5.7	7.48	c	c	c	a	c	9.53	9.08	9.08	2.67	9.08	c	c	c	b	c	9.94	5.54	5.54	2.17	5.54	a	c	b	a	c	0.48	9.11	0.12	6.59	9.01	b	c	b	b	b	7.26	1	7.87	3.21	7.61	b	c	b	c	b
x13	0.95	3.54	5.22	8.05	0.38	a	c	a	b	b	2.99	3.69	8.24	1.9	7.97	a	a	c	a	c	0.77	6.16	8.33	3.46	4.06	b	a	c	c	b	0.94	1.15	5.53	9.25	1.28	b	c	c	c	b	7.13	0.68	8.15	7.11	5.79	c	b	a	b	c	9.28	8.55	4.75	1.79	4.97	b	b	c	b	b
