X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	9.16	7.33	4.73	7.67	7.33	b	a	c	b	a	6.94	4.89	7.52	7.33	4.89	a	b	b	a	a	0.18	5.7	0.3	0.08	6.83	a	a	b	b	b	4.91	3.27	7.63	4.45	3.28	a	b	b	c	b
x1	8.43	7.38	7.06	5.81	2.41	c	b	a	c	c	5.55	8.2	9.59	4.76	1.62	a	c	a	c	b	4.78	9.08	1.17	4.78	8.23	a	b	a	b	b	3.95	6.01	9.74	8.41	2.83	b	a	b	b	a
x2	8.67	7.79	2.24	2.74	1.59	c	a	a	b	c	8.33	3.01	9.03	8.01	2.61	a	b	a	b	b	7.33	2.81	0.66	2.08	6.65	a	a	a	b	b	1.73	1.47	0.71	6.75	7.11	c	a	b	b	b
x3	1.29	8.61	3.2	7.37	4.41	b	a	c	a	b	4.25	3.48	7.33	4.59	3.06	a	b	a	c	a	4.65	2.17	3.48	8.81	0.9	b	a	c	a	a	6.31	5.15	7.29	2.67	2.15	a	c	a	c	c
x4	1.35	8.01	4.54	8.47	1.04	c	b	a	a	a	0.53	5.34	0.86	5.25	4.38	a	a	b	c	c	6.09	8.64	0.41	4.42	0.99	c	b	b	c	b	3.41	9.53	4.71	0.97	2.96	c	b	c	c	c
x5	2.74	7.83	4.03	2.62	3.15	a	c	a	a	a	5.73	0.78	9.68	2.49	4.83	b	a	b	a	b	8.01	3.17	2.87	2.55	0.89	c	b	c	b	a	4.45	0.98	8.63	6.13	0.54	a	c	a	c	b
x6	0.33	2.45	5.24	9.31	3.39	a	b	a	b	a	0.52	9.99	9.78	2.01	8.07	c	a	b	a	b	7.51	0	8.75	8.66	7.26	b	b	a	c	a	8.77	6.78	6	3.73	6.21	c	a	b	b	a
x7	4.22	7.94	7.83	6.25	6.9	c	b	a	b	a	9.23	0.71	1.58	0.67	1.89	c	b	b	b	c	4.61	8.27	5.86	6.67	7.5	a	a	a	b	b	6.93	7.57	9.88	9.24	6.52	b	a	c	a	a
x8	6.64	9.44	3.19	0.99	4.57	c	c	b	c	c	9.88	9.21	9.46	9.92	7.35	c	a	c	c	b	3.17	2.45	6.44	7.46	4.06	c	b	a	c	c	6.76	9.6	7.77	1.88	9.71	c	c	b	a	a
x9	1.66	7.33	1.85	4.22	7.33	c	b	b	c	a	0.6	4.89	0.73	6.6	4.89	b	a	a	a	a	5.01	1.01	5.54	0.1	5.01	c	a	a	b	c	4.43	9.93	6.28	8.56	2.13	a	b	b	b	c
