X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	6.2	8.79	8.84	1.56	7.37	5.24	3.54	5.41	4.25	4.09	a	a	a	c	c	a	b	a	c	c	1.8	7.07	1.92	6.44	3.42	6.98	0.83	5.08	5.45	1.37	a	a	b	c	a	c	c	c	a	b	2.59	3.77	3.05	7.01	5.98	8.75	2	8.38	2.29	9.31	c	c	c	c	c	c	c	c	c	b	2.52	2.84	1.29	8.82	8.96	0.7	0.44	9.47	4.5	7.48	a	b	b	b	a	c	b	b	b	b
x1	3.14	9.77	6.48	7.04	0.2	8.48	2.2	8.28	8.06	1.63	c	b	c	a	b	a	b	c	a	b	2.19	2.19	3.77	1.54	2.19	0.85	0.73	2.19	2.19	7.06	a	c	c	b	a	c	a	c	a	b	0.65	0.65	6.11	8.44	0.65	7.71	7.33	0.65	0.65	8.89	c	c	c	b	b	c	c	c	b	a	9.96	7.76	7.83	4.42	9.32	8.89	7.19	1.85	0.59	8.33	a	c	a	b	b	a	b	b	b	a
x2	2.74	9.09	0.41	2.22	2.88	0.17	2.73	7.68	2.29	0.41	c	c	b	c	a	a	a	a	c	a	3.34	4.41	9.55	5.63	3.76	7.09	0.59	4.48	1.63	9.55	c	b	c	c	a	b	b	b	b	a	5.53	4.49	1.52	7.92	8.35	4.08	5.84	7.52	1.54	4.62	c	c	c	c	c	b	b	a	b	a	8	2.85	7.48	0.21	4.76	1.29	3.31	7.1	5.55	2.63	b	a	c	a	b	a	b	b	a	b
x3	4.45	3.08	7.38	8.99	6.31	9.33	2.95	4.93	5.5	8.14	a	c	c	a	a	b	c	a	b	c	2.19	2.19	8.58	9.25	2.19	2.83	8.19	2.19	2.19	4.7	a	c	c	b	a	a	a	c	c	b	0.65	0.65	0.67	7.02	0.65	6.74	7.07	0.65	0.65	7.59	a	c	c	b	a	a	b	c	c	b	1.88	7.75	9	4.55	1.94	3.3	1.85	1.38	7.44	3.76	c	a	a	b	a	b	a	a	c	a
x4	7.07	0.29	1.8	2.34	5.95	1.82	5.44	2.87	8.6	3.34	c	b	c	a	a	b	c	a	c	b	1.59	7.75	5.32	8.21	8.83	9.52	2.13	8.98	8.75	8.2	c	b	a	b	c	a	a	a	c	c	9.13	2.26	7.97	8.59	3.51	2.85	6.45	9.7	9.59	4.74	a	b	a	b	c	a	c	a	b	c	1.37	2.26	8.52	0.71	6.54	4.39	1.78	1.66	3.16	7.74	a	b	b	a	c	a	a	c	b	a
x5	4.17	7.54	4.99	6.29	7.78	6.15	6.43	3.7	9.59	0.34	a	a	c	b	a	b	c	c	b	c	2.16	1.74	2.83	0.1	0.78	0.1	0.1	8.31	0.1	6.76	b	c	a	b	a	b	a	b	a	a	9	6.5	7.74	5.31	8.3	5.31	5.31	3.53	5.31	5.98	a	c	c	b	b	c	a	c	b	a	2.02	8.87	8.36	3.16	4.8	2.07	7.26	9.81	7.06	3.25	c	a	b	b	c	b	a	a	c	c
x6	6.59	3.25	8.58	2.58	5.14	8.6	7.8	7.16	6.38	3.78	b	c	b	c	c	a	a	a	a	c	0.83	3.6	1.49	7.92	1.63	6.64	2.35	6.44	4.53	2.52	c	a	b	c	a	b	b	c	c	a	6.4	8.6	6.18	0.95	1.88	7.09	9.45	5.97	5.53	4.01	a	b	a	c	a	b	a	b	a	c	1.61	4.98	4.73	1.79	2.51	9.97	6.24	0.32	8.94	8.57	a	a	b	c	b	b	c	c	b	c
x7	5.66	8.09	8.08	5.96	1.69	1.47	8.89	0.16	7.44	7.19	a	b	c	a	a	a	b	a	b	a	3.61	1.77	10	3.63	0.98	5.79	6.08	1.36	5.66	1.08	c	a	a	c	b	c	b	c	b	b	4.63	1.47	7.95	3.38	0.85	3.77	0.55	0.41	1.92	6.05	c	b	c	c	c	c	c	a	b	a	2.55	2.49	3.98	1.73	4.29	8.01	0.83	1.99	5.24	4.15	c	b	b	c	a	c	c	a	c	b
x8	1.18	7.72	0.41	2.18	0.56	8.43	3.01	2.34	2.76	0.41	b	c	b	c	a	a	b	b	b	b	7.85	0.36	9.55	3.52	5.27	4.57	4.31	5.93	6.69	9.55	a	a	c	a	a	b	a	b	a	b	7.61	9.52	2.02	9.42	2.7	4.04	6.74	1.15	1.58	7.19	a	a	b	c	a	c	b	a	a	a	3.88	9.77	9.24	2.5	6.22	0.45	1.33	5.13	0.97	0.75	c	c	b	b	c	c	b	c	c	a
x9	4.81	1.14	1.43	8.37	3.88	9.63	3.09	4.9	8.51	2.32	a	b	c	b	b	b	b	b	c	c	1.64	5.82	6.96	0.1	7.11	0.1	0.1	7.94	0.1	2.24	c	c	a	c	a	b	c	c	b	a	6.07	0.68	6.6	5.31	2.81	5.31	5.31	6.41	5.31	2.84	a	c	b	c	a	c	b	c	b	a	4.54	1.75	9.96	9.32	3.79	7.8	6.22	2.86	9.5	5.99	c	b	a	b	a	c	a	b	b	a
