X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	5.82	0.36	9.91	5.82	5.82	b	c	a	c	c	4.24	8.93	8.32	4.24	4.24	c	a	b	c	c	8.96	4.84	6.46	8.03	2.06	c	c	b	b	b	5.71	4.27	9.16	7.99	4.79	a	b	c	c	b
x1	9.24	2.16	9.7	0.53	2.16	b	a	a	c	b	0.95	7	3.9	5.21	7	a	c	c	a	a	2.47	0.88	8.74	0.46	6.19	b	b	c	a	c	7.83	1.3	3.53	2.35	5.94	a	b	a	b	c
x2	0.01	7.95	5.58	4.66	4.38	b	b	b	c	a	3.26	0.94	8.44	3.81	0.34	a	a	a	c	c	8.79	4.52	2.86	9.24	0.95	b	a	b	b	c	6.59	7.83	9.16	7.2	5.35	c	b	a	c	b
x3	5.67	5.67	6.32	5.36	1.31	c	b	b	c	b	8.48	8.48	6.18	4.27	6.24	c	a	a	a	c	1.56	6.76	8.72	0.72	8.56	b	c	b	c	b	0.13	0.44	2.98	9.83	8.5	c	b	b	c	c
x4	5.67	5.67	8.26	7.66	0.64	a	a	a	b	a	8.48	8.48	7.26	2.42	5.63	c	b	a	a	b	4.28	7.93	1.45	7.18	8.04	a	c	c	a	b	5.63	8.89	4.88	3.27	9.5	a	b	a	b	a
x5	7.83	2.16	5.52	8.63	2.16	b	c	b	a	c	2.76	7	8.66	1.12	7	b	a	b	c	c	6	2.42	6.66	3.32	0.54	a	a	c	c	c	9.82	7.8	6.94	5.58	6.15	a	b	b	a	a
x6	6.84	0.16	4.52	0.42	7.28	b	a	c	c	c	9.39	9.98	4.36	0.01	0.73	a	c	b	a	a	0.93	9.98	6.28	0.01	6.05	a	b	b	b	a	6.34	3.03	3.6	9.2	9.21	c	c	c	b	a
x7	0.24	4.28	7.53	0.92	7.26	c	a	a	a	a	4.77	1.24	4.83	6.82	5.27	c	b	b	b	b	2.06	7.56	8.86	4.38	7.78	b	a	a	a	c	2.43	6.19	4.24	8.68	1.9	a	b	c	b	a
x8	5.67	5.67	6.04	0.99	2	b	a	c	a	b	8.48	8.48	8.86	2.7	6.8	c	a	a	a	b	0.67	6.43	1.62	4.78	5.77	c	c	c	b	a	8.03	7.79	9.03	4.45	5.25	a	c	a	c	a
x9	4.57	2.16	4.32	3.68	2.16	b	b	c	c	a	1.8	7	3.94	4.48	7	a	a	a	c	a	0.72	4.91	6.81	4.38	3.58	a	a	b	c	a	0.08	1.32	0.23	1.38	4.11	c	c	b	b	b
x10	3.07	2.06	7.71	1.55	4.84	a	c	b	a	b	1.75	6.77	2	2.32	3.45	c	c	b	c	b	7.18	8.54	8.31	8.73	8.95	b	c	c	b	b	1.93	7.11	5.51	0.75	2.59	a	a	c	b	a
x11	5.82	8.86	5	5.82	5.82	b	b	c	c	a	4.24	0.18	3.06	4.24	4.24	a	a	c	b	a	4.44	8.13	9.04	9.02	9.07	c	a	c	c	c	8.41	4.47	0.26	4.09	3.91	a	b	a	a	c
x12	9.39	2.16	5.39	8.46	2.16	a	b	c	a	a	0.94	7	3.72	0.6	7	b	a	a	b	a	1.92	2	1.34	8.58	1.17	a	b	b	b	a	2.75	9.58	3.89	6.85	1.41	a	c	b	b	a
x13	5.67	5.67	8.24	0.37	8.72	a	a	a	c	c	8.48	8.48	1.63	3.09	9.16	a	a	b	b	a	3.54	2.1	4.57	9.45	7.97	b	b	c	b	c	8.97	5.83	4.2	2.18	4.44	c	a	b	c	a
x14	2.05	8.2	2.42	1.49	4.55	c	c	a	c	b	3.11	1.85	5.55	0.24	7.13	c	b	c	b	b	9.55	2.64	0.91	2.11	7.72	a	a	c	c	b	8.49	2.59	3.3	8.34	6.65	b	c	b	a	a
x15	3.97	3.97	3.97	3.25	9.79	a	b	c	a	b	2.77	2.77	2.77	0.38	8.17	b	a	b	c	a	3.37	3	6.01	0.34	6.77	b	c	c	c	b	7.71	2.35	6.86	5.46	4.93	a	a	c	c	a
x16	7.04	2.76	4.54	5.85	3.11	b	a	c	a	b	4	7.92	1.04	5.11	9.44	c	b	a	c	c	8.33	8.09	0.59	0.38	5.04	c	a	b	a	b	5.55	1.03	0.96	5.82	1.37	c	a	a	a	c
x17	5.67	5.67	1.75	1.78	4.38	a	a	a	c	c	8.48	8.48	7.53	3.47	9.72	a	a	b	b	b	1.95	6.86	2.65	8.06	1.69	a	a	a	a	b	4.29	9	1.03	1.71	0.08	c	a	a	a	b
x18	8.01	3.93	7.57	3.94	2.18	a	b	b	c	b	9.37	5.66	9.67	8.29	2.07	a	b	a	b	b	4.23	6.28	5.13	3.2	1.07	c	a	a	b	c	6.6	3.65	3.95	4.87	3.74	a	b	c	a	c
x19	9.84	5.09	4.5	1.42	0.81	c	b	a	c	c	0.57	3.16	7.39	0.87	0.89	a	c	b	c	c	2.08	7.42	1.87	6.31	0.49	b	a	b	a	b	5.08	5.9	9.41	0.98	8.17	c	c	c	a	a
x20	3.97	3.97	3.97	1.87	9.12	b	a	b	a	c	2.77	2.77	2.77	4.88	9.2	c	a	c	a	b	0.35	2.9	2.56	2.99	9.3	b	b	b	a	b	3.33	6.26	9.3	5.83	1.1	a	c	c	b	c
x21	3.97	3.97	3.97	4.2	0.34	c	b	c	c	b	2.77	2.77	2.77	1.13	9.12	b	a	c	c	a	9.86	4.3	6.27	5.14	4.79	b	a	a	a	b	1.48	0.96	9.95	9.62	1.4	c	a	b	a	a
x22	5.67	5.67	4.75	7.27	4.2	b	a	a	a	c	8.48	8.48	3.65	9.41	9.78	b	b	a	a	a	0.09	6.33	1.17	6.51	8.71	c	a	b	a	b	7.08	7.54	1.96	8.48	6.98	b	b	a	c	b
x23	5.67	5.67	2.12	4.79	1.59	b	a	b	b	b	8.48	8.48	9.56	2.52	9.93	a	c	a	b	a	3.17	2.53	3.85	6.85	4.97	c	c	a	b	a	3.78	3.3	6.38	0.63	8.8	b	b	a	c	a
x24	5.68	6.09	2.55	7.7	9.78	c	c	b	b	b	2.1	0.24	7.52	0.76	2.49	c	c	a	a	b	1.55	8.43	6.13	1.74	3.29	c	c	b	c	c	1.29	1.99	6.42	5.64	9.77	a	c	a	a	c
x25	6.96	2.64	7.2	3.34	7.1	b	b	c	c	b	4.17	9.98	4.74	0.01	5.98	a	b	b	a	a	5.77	9.98	9.49	0.01	4.1	a	c	b	c	b	0.52	6.74	4.3	8.82	7.46	a	a	a	b	a
x26	5.67	5.67	7.02	9.55	8.34	a	c	b	c	a	8.48	8.48	6.61	3.82	2.36	c	b	a	b	a	3.04	1.25	4.3	1.35	9.91	a	c	b	c	c	8.76	1.15	0.19	8.33	2.06	b	a	c	c	c
x27	6.86	2.16	0.68	0.63	2.16	c	c	b	b	a	4.79	7	4.76	5.12	7	b	a	c	b	c	2.24	1	1.24	1.93	3.84	c	c	c	a	c	8.86	7.23	4.93	2.35	1.41	c	c	c	b	a
x28	5.67	5.67	1.75	8.99	2.04	c	a	b	a	b	8.48	8.48	4.13	6.15	9.01	c	b	a	c	b	7.7	5.7	1.64	8.33	5.24	b	b	b	b	a	5.91	4.98	7.2	8.81	6.66	a	b	b	b	c
x29	5.82	3.57	3.66	5.82	5.82	c	c	c	a	c	4.24	0.07	2.59	4.24	4.24	b	b	b	c	b	8.75	3.37	0.38	8.73	3.02	b	c	b	a	b	0.31	6.85	5.7	0.09	4.32	b	c	a	b	b
x30	5.67	5.67	5.39	0.94	5.04	b	c	a	a	a	8.48	8.48	1.79	0.19	9.35	a	b	b	a	b	1.12	4.92	9.25	4.06	0.22	b	b	b	a	b	2.79	4.19	5	1.82	7.83	a	a	a	a	c
x31	5.67	5.67	2.28	2.56	5.54	c	a	b	c	b	8.48	8.48	9.94	7.02	6.04	c	b	c	c	b	7.57	2.85	3.99	4.58	0.05	b	a	a	c	c	5.51	0.86	3.45	0.57	1.31	c	c	a	b	c
