X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	2.8	3.57	7.2	2.38	4.26	8.54	9.37	0.36	4.92	1.17	b	a	b	c	b	b	c	a	c	c	2.8	3.57	5.19	2.38	4.26	1.54	9.37	6.53	7.88	3.88	b	a	b	b	b	b	c	a	a	b	4.25	4.12	0.63	7.63	5.97	5.33	9.34	0.22	1.94	0.26	a	c	c	a	c	c	a	a	b	a	5.62	8.71	0.94	0.36	9.5	7.52	7.26	8.08	0.22	4.62	c	b	c	a	b	b	c	c	a	b
x1	2.84	7.37	7.29	2.56	4.2	3.53	5.44	5.6	9.64	5.46	c	b	b	b	a	c	b	c	b	c	2.84	7.37	8.18	6.65	4.2	6.99	8.91	4.56	4.22	2.3	c	b	a	a	b	a	c	c	c	b	8.59	9.58	4.71	0.18	1.04	8.88	4.29	1.39	2.44	9.51	a	b	a	c	b	b	b	b	a	b	0.26	6.34	2.47	2.55	4.43	6.09	1.16	7.73	8.08	4.69	b	b	a	c	c	b	c	a	b	b
x2	2.84	7.37	0.9	4.1	4.2	4.56	0.66	2.05	9.58	1.39	c	a	b	c	a	a	c	a	c	a	2.84	7.37	4.74	9.35	4.2	7.18	3.72	5.91	3.15	7.45	c	b	c	c	a	b	c	c	c	c	0.59	3.61	4.93	9.22	7.11	6.14	8	2.34	2.39	7.44	a	b	c	b	a	c	c	c	c	b	6.38	2.75	8.62	2.86	0.11	1.46	6.78	5.02	5.15	7.59	a	c	c	a	b	a	b	b	b	b
x3	2.8	3.57	1.92	2.38	4.26	1.81	9.37	9.44	3.52	0.98	b	a	b	b	c	c	b	c	b	b	2.8	3.57	2.97	2.38	4.26	2.1	9.37	0.83	7.04	1.81	b	a	b	b	a	a	c	c	b	a	7.99	4.04	1.91	6.65	9.6	1.62	1.17	0.99	5.06	1.54	b	c	a	c	b	b	b	c	c	c	9.88	1.69	8.85	0.41	0.7	4.69	6.21	7.91	6.57	8.9	c	c	a	c	b	b	b	c	a	a
x4	2.28	8.43	5.81	4.04	1.27	8.41	3.8	8.98	0.12	4.35	b	b	b	b	c	a	a	a	b	b	8.64	2.74	5.81	3.47	0.18	8.41	2.68	8.98	0.12	1.56	c	b	a	b	c	a	c	a	c	b	1.05	3.8	6.19	5.83	3.89	2.65	9.47	5.79	9.99	4.81	a	b	a	b	c	b	a	c	c	a	6.23	7.51	2.8	8.6	3.79	5.26	0.67	1.61	7.75	5.13	a	b	b	c	c	b	b	a	c	a
x5	4.99	4.45	5.81	9.24	0.74	8.41	8.09	8.98	0.12	2.42	c	b	c	b	b	a	a	b	c	b	9.95	9.4	5.81	1.33	1.39	8.41	2.97	8.98	0.12	4.58	a	b	b	b	a	a	a	b	c	b	8.54	7.15	3.25	3.36	5.5	5.1	5.08	0.97	2.4	1.34	c	a	c	b	c	a	a	c	c	c	4.32	8.14	3.23	1.16	9.4	3.14	7.81	0.84	8.08	4.48	b	c	a	a	b	b	b	a	c	b
x6	2.8	3.57	2.63	2.38	4.26	1	9.37	8.29	5.03	0.79	b	a	b	c	b	b	c	c	a	c	2.8	3.57	5.56	2.38	4.26	3.35	9.37	9.74	7.21	0.68	b	a	b	a	a	a	a	b	b	c	1.17	2.3	0.29	7.89	7.78	3.83	8.94	2.09	2.21	1	c	c	b	c	b	b	a	a	b	b	9.76	7.93	5.35	3.94	6.24	8.88	7.88	1.78	3.03	8.86	c	a	b	b	c	c	a	a	a	a
x7	0.83	8.34	8.82	1.58	7.2	0.41	2.21	9.43	5.1	1.4	b	a	c	c	c	b	b	b	b	a	8.18	1.04	2.71	5.6	6.79	4.6	5.28	4.98	2.65	5.6	c	c	a	a	b	b	c	a	c	c	4.31	9.36	5.53	9.02	2.07	6.12	4.88	0.22	0.38	9.02	b	b	a	a	b	b	c	b	a	c	8.82	5.13	5.09	9.7	8.93	5.17	7.81	0.46	2.1	1.76	b	c	a	c	c	c	a	c	c	b
x8	8.61	3.87	3.74	0.41	3.37	5.06	9.43	6.99	8.05	0.86	b	c	c	b	c	b	b	b	a	a	6.78	4.58	5.48	9.89	3.2	0.2	4.95	4.23	6.67	1.21	a	b	b	c	a	a	b	a	b	b	5.12	0.67	1.47	0.07	3.89	6.26	8.72	8.52	3.59	6.46	a	c	a	a	b	b	a	b	c	a	9.78	0.93	4.79	3.1	1.25	3.63	6.82	4.02	1.95	0.13	b	b	b	c	c	a	c	a	c	a
x9	2.44	6.42	0.53	2.11	5.21	4.38	7.47	9.55	1.64	8.28	b	c	c	b	c	c	b	a	c	c	5.03	3.95	4.69	4.27	1.64	9.09	4.77	8.55	1.31	5.95	b	b	a	a	b	c	a	a	a	a	9.12	0.46	1.93	9.36	4.9	3.42	8.66	4.45	5.52	2.68	a	a	a	c	a	a	a	c	a	c	9.71	0.19	2.69	1.72	5.26	3.37	8.99	5.75	2.63	4.76	b	b	b	b	b	b	a	a	c	c
