X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	7.13	4.72	0.43	4.94	2.3	c	b	a	b	a	3.1	4.44	7.8	3.95	3.13	a	b	a	a	c	1.14	7.75	3.17	4.86	4.92	c	c	a	a	c	3.7	8.45	4.13	6.08	0.37	b	a	c	c	b	3.97	8.36	0.44	5.39	6.3	b	c	b	c	b	0.81	6.27	5.98	7.84	5.07	b	b	b	b	b
x1	5.76	8.49	5.76	5.76	8.73	c	a	c	c	c	5.59	5.06	5.59	5.59	8.2	c	a	a	c	a	1.71	8.44	1.71	1.71	5.1	c	b	b	c	b	2.13	4.59	2.13	2.13	3.75	c	a	b	c	c	2.92	5.48	6.27	8.08	8.81	a	b	c	c	c	7.58	5.44	3.06	7.33	5.81	a	a	a	b	c
x2	6.23	5.21	9.53	6.76	3.24	c	b	a	a	b	1.04	0.75	4.2	8.09	0.47	c	a	a	c	c	4.29	2.87	8.96	2.94	0.03	c	b	b	b	a	4.05	2.87	8.96	3.86	0.03	a	a	b	b	a	6.99	2.87	8.96	2.23	0.03	a	b	a	b	a	8.09	6.75	4.08	1.32	4.65	a	c	b	c	a
x3	6.29	7.99	1.82	5.69	8.57	b	c	b	c	a	5.51	7.27	1.9	9.39	5.63	b	c	a	c	b	8.06	8.13	1.72	3.48	3.63	b	a	a	b	c	0.01	9.73	3.69	6.58	1.63	c	a	b	b	b	8.61	0.41	9.59	3.42	3.79	b	b	b	b	a	2.84	0.62	0.05	9.2	9.28	b	c	c	a	a
x4	6.63	7.87	9.82	1.13	8.07	b	a	a	b	b	7.04	9.49	8.67	4.49	3.65	b	a	a	c	b	0.75	0.67	1.11	6.74	1.72	a	c	a	b	b	5.3	8.13	6.87	5.53	4.22	c	a	b	a	c	0.05	4.99	9.85	5.84	6.5	c	c	a	c	c	7.72	0.81	4.3	9.96	5.54	b	c	b	b	b
x5	6.83	7.49	5.46	7.43	0.25	c	c	a	b	b	4.17	6.6	5.26	7	8.7	a	a	a	c	c	8.64	0.08	3.36	7.72	3.29	c	c	a	b	a	4.02	6.6	1.19	1.25	7.04	b	a	b	c	c	3.66	1.28	3.34	9.08	8.01	b	b	b	c	a	4.35	3.83	4.05	9.24	7.62	a	b	b	c	b
x6	1.61	5.14	7.73	7	5.22	a	a	b	c	c	2.9	1.86	8.59	1.94	8.56	c	b	b	c	c	8.65	4.85	1.34	7.33	0.82	c	a	c	c	b	8.04	3.67	4.68	6.41	3.62	c	b	c	c	c	1.7	4.08	8.19	0.59	6.41	a	c	a	c	c	2.68	3.63	3.48	3.86	1.32	a	a	a	b	b
x7	3.3	7.22	7.68	7.73	5.58	b	b	c	a	c	9.02	6.84	2.5	7.1	8.51	b	c	b	c	b	4.22	5.03	7.66	8.17	4.26	b	b	b	b	c	7.2	7.01	4.16	2.57	3.2	c	b	a	a	a	5.89	7.35	1.78	1.13	1.08	a	b	c	a	a	8.46	8.46	8.68	5.89	0.89	a	a	b	a	c
x8	5.6	1.47	4.53	9.75	0.52	a	c	b	a	a	7.75	2.25	4.24	8.58	7.37	b	c	c	c	c	0.02	4.81	9.98	5.97	4.58	a	a	b	b	a	1.55	2.95	6.34	2.47	6.95	c	a	c	a	b	6.8	8.14	6.96	9.11	9.88	c	a	b	a	a	1.24	3.87	3.33	6.83	8.05	a	c	c	a	c
x9	4.52	5.43	2.48	2.35	7.99	c	b	c	a	b	2.1	0.44	6.13	2.22	1.83	b	a	c	c	a	5.37	8.03	8.87	4.81	3.52	c	b	b	a	b	0.86	3.34	8.75	0.45	1.7	b	a	a	a	c	8.97	4.55	8.75	0.48	3.15	a	a	a	b	a	7.91	9.11	3.18	4.11	6.98	b	c	a	b	c
x10	4.52	7.95	3.1	5.39	9.78	a	b	c	a	c	0.56	9.45	8.46	1.06	0.12	c	a	c	c	a	5.83	8.21	0.92	0.16	1.89	a	a	b	a	a	1.83	4.59	9.58	2.4	7.15	c	c	b	b	a	3.64	8.8	8.88	2.79	1.05	a	b	b	b	a	9.38	1.14	6.23	5.41	4.43	a	a	c	a	b
x11	5.73	8.85	7.57	9.24	6.46	a	a	c	b	b	3.5	7.35	1.19	8.73	8.88	c	a	c	b	b	0.12	6.69	6.89	0.56	4.38	a	b	a	b	b	4.84	9.67	5.15	2.12	1.87	b	c	c	a	c	4.45	0.2	4.11	2.16	0.37	b	c	c	c	b	5.43	9.51	3.67	3.52	0.18	c	b	c	b	a
x12	3.48	1.53	3.95	6.12	4.22	c	a	c	c	a	7.36	9.93	3.48	7.8	4.11	c	c	c	a	b	4.76	2.32	4.47	4.93	9.76	a	a	b	b	c	9.39	0.76	7.89	0.11	0.27	b	c	a	b	a	6.37	9.86	5.37	9.91	7.36	a	c	c	b	b	8.25	8.81	3.99	3.17	4.71	b	b	c	b	b
x13	5.22	5.15	7.45	7.49	3.12	a	b	a	c	c	4.18	2.4	8.87	2.63	7.23	b	a	c	c	c	0.34	8.64	6.12	2.91	3.63	c	c	a	c	b	8.92	0.97	3.35	4.57	1.46	c	c	b	b	a	8.73	8.69	7.45	8.6	0.38	b	b	b	a	b	5.1	0.57	4.75	7.12	4.79	c	b	a	c	c
x14	5.01	4.98	7.89	2.02	9.26	a	b	a	b	b	9.54	9.14	3.73	5.97	0.46	a	c	b	b	a	5.33	2.47	5.38	1.18	3.79	a	c	a	c	a	9.41	3.01	5.06	2.39	9.98	c	a	a	c	b	1.33	3.62	7.54	6.31	3.08	c	a	b	a	b	0.52	6.67	7.81	6.25	8.37	c	a	c	c	c
x15	1.15	8.73	3.5	3.01	0.87	b	b	a	c	a	0.88	7.7	7.66	2.87	3.14	c	b	a	a	a	3.67	6.17	2.83	2.01	0.86	b	a	c	a	b	5.19	8.09	7.43	3.71	1.7	a	c	c	c	b	7.63	2.23	5.81	4.9	5.41	c	b	c	b	a	0.56	2.71	4.92	9.33	2.7	b	c	b	c	b
x16	7.05	3.98	5.33	9.37	9.24	b	b	b	b	b	5.51	3.29	1.45	6.09	0.77	c	a	b	c	a	1.31	5.78	8.23	5.2	3.94	c	b	a	b	b	2.89	9.01	3.89	3.35	5.66	b	c	a	a	a	3.06	8.9	9.61	4.61	6.94	b	a	a	c	a	3.49	3.32	3.41	9.48	0.63	b	b	a	b	c
x17	6.11	9.34	5.75	4.09	1.57	c	a	b	b	b	6.44	0.44	3.87	1.31	1.88	b	b	c	c	c	4.87	9.32	6.09	3.47	2.97	b	a	a	c	a	3.62	5.07	4.62	5.35	9.24	b	c	b	c	c	3.76	5.09	1.14	0.23	4.06	c	c	a	b	b	1.94	5.66	8.83	9.81	6.95	a	b	b	a	b
x18	7.72	9.27	3.62	6.94	0.25	a	a	c	a	a	6.94	7.44	6.51	3.2	6.99	a	c	b	b	b	4.18	2.87	8.96	5.67	0.03	a	b	b	c	b	1.79	2.87	8.96	5.8	0.03	b	a	a	a	a	3.36	2.87	8.96	6.09	0.03	c	b	a	a	b	1.35	1.37	4.93	4.48	8	c	b	a	a	a
x19	5.76	8.09	5.76	5.76	6.55	c	a	c	c	c	5.59	3.6	5.59	5.59	4.02	c	a	a	c	c	1.71	4.56	1.71	1.71	0.11	c	c	b	c	c	2.13	9.96	2.13	2.13	7.85	c	a	b	c	b	0.39	6.78	3.62	5.18	4.62	a	b	c	c	b	9.93	3.87	3.4	3.64	5.22	a	a	c	a	a
x20	5.76	1.04	5.76	5.76	4.07	c	c	a	c	a	5.59	3.67	5.59	5.59	3.13	c	b	a	c	b	1.71	7.74	1.71	1.71	6.68	c	b	c	c	b	2.13	5.49	2.13	2.13	6.08	c	a	b	c	c	7.41	3.4	0.97	2.44	8.51	b	c	c	b	c	6.38	2.95	5.42	1.11	2.7	b	b	b	b	b
x21	5.76	3.21	5.76	5.76	9.12	c	c	c	c	b	5.59	0.45	5.59	5.59	8.1	c	c	a	c	c	1.71	2.59	1.71	1.71	3.86	c	b	a	c	a	2.13	5.2	2.13	2.13	0.98	c	c	b	c	c	6.83	6.86	7.2	3.23	8.28	a	a	b	c	c	0.08	3.03	4.47	4.18	7.98	b	a	b	c	c
x22	0.94	1.83	8.57	4.9	3.97	c	c	b	c	a	6.14	0.2	6.6	8.48	7.45	c	b	c	a	b	4.31	0.56	3.34	2.71	0.11	a	b	b	c	b	4.4	4.19	3.35	9.3	1.89	a	b	b	a	a	9.17	7.83	0.27	7.11	5.6	b	c	c	b	a	7.45	6.74	7.93	5.28	4.56	b	c	c	c	c
x23	5.76	8.67	5.76	5.76	4.16	c	c	b	c	c	5.59	1.91	5.59	5.59	2.1	c	a	c	c	b	1.71	5.45	1.71	1.71	5.89	c	b	a	c	c	2.13	9.96	2.13	2.13	4.16	c	a	a	c	a	4.22	8.71	0.35	5.43	4.13	b	c	c	a	b	6.91	4.1	2.57	3.38	7.66	a	c	b	a	c
x24	5.76	7.01	5.76	5.76	9.91	c	a	a	c	b	5.59	9.19	5.59	5.59	1.65	c	c	c	c	a	1.71	9.26	1.71	1.71	8.32	c	b	b	c	a	2.13	0.07	2.13	2.13	3.33	c	b	b	c	b	9.58	4.02	8.3	0.41	0.58	b	c	b	a	a	6.84	9.94	9.08	0.34	1.58	c	c	c	b	c
x25	8.49	1.33	1.98	8.7	2.54	c	b	a	a	a	5.12	9.13	1.1	4.65	3.37	a	c	b	c	b	1.73	7.2	8.3	7.44	7.76	b	c	b	c	a	5.78	9.92	8.73	3.79	4.69	c	c	c	a	b	7.53	9.75	9.6	0.18	1.4	c	b	a	a	c	9.16	4.2	0.78	5.82	1.94	a	c	a	a	b
x26	5.76	6.44	5.76	5.76	9.92	c	c	a	c	a	5.59	3.51	5.59	5.59	2.07	c	a	c	c	b	1.71	7.78	1.71	1.71	6.74	c	b	a	c	b	2.13	7.49	2.13	2.13	3.61	c	c	c	c	c	6.48	2.33	0.71	2.9	8.91	c	b	c	c	c	1.64	6.86	6.52	0.09	9.78	c	c	a	a	a
x27	7.53	8.76	4.52	9.74	4.5	a	c	b	b	a	9.24	8.95	5.53	8.25	4.79	c	a	a	c	c	4.95	3.13	3.89	2.44	6.17	a	c	b	b	c	8.79	7.95	8.79	3.75	1.97	b	b	b	a	c	6.48	5.59	4.89	6.17	0.1	b	c	a	b	c	5.49	1.96	9.38	0.15	2.04	a	b	c	b	c
