X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	4.71	7.73	4.65	4.65	4.65	7.64	5.34	4.65	7.78	1.37	c	a	c	c	c	a	b	c	b	a	9.8	5.34	6.45	6.45	6.45	9.02	2.31	6.45	4.94	1.11	c	a	c	c	b	a	a	b	b	b	7.33	9.62	0.76	1.32	5.74	1.85	6.37	4.38	0.5	9.7	c	c	b	a	c	c	b	c	c	b	6.09	7.59	4.13	8.62	2.84	8.32	8.16	8.25	6.12	8.25	b	a	c	a	a	c	b	b	c	b
x1	1.89	6.92	7.55	5.35	7.83	3.47	3.09	5.07	4.2	2.53	c	a	c	a	b	c	c	b	b	c	6.71	2.27	2.27	2.27	3.94	2.27	0.51	4.93	3.37	2.27	c	a	a	b	c	c	c	a	c	a	6.68	5.06	5.06	5.06	2.28	5.06	1.57	1.22	7.16	5.06	b	b	a	b	a	c	a	b	c	a	3.31	8.01	8.06	8.12	1.79	5.05	8.61	3.27	5.46	6.63	c	b	b	a	c	a	c	c	c	c
x2	5.98	3.14	0.1	7.98	7.81	8.2	5.41	7.19	7.13	1.83	a	b	b	a	b	b	b	a	b	a	0.43	2.07	1.27	1.07	3.39	6.55	9.63	0.34	7.49	0.33	c	c	b	b	a	b	a	c	a	c	2.06	2.01	8.5	1.77	6.73	3.52	6.6	5.99	4.96	7.35	a	b	a	a	c	a	a	b	a	a	3.54	6.25	7.01	5.57	3.79	1.08	3.76	9.88	5.85	9.63	a	a	c	b	a	b	b	b	c	c
x3	5.3	3.31	5.82	1.29	8.26	9.68	2.4	2.51	6.76	9.21	b	b	a	b	b	a	c	c	c	c	8.08	3.87	5.82	7.47	8.26	0	5.45	1.59	4.84	6.57	b	a	a	a	a	c	c	b	c	b	1.07	7.49	1.11	7.62	5.37	4.01	2.08	3.64	8.69	2.15	b	c	b	a	c	a	a	c	a	c	5.32	0.81	9.92	7.97	9.13	3.35	3.99	8.31	3.76	9.51	c	c	a	a	a	c	b	b	b	a
x4	5.6	4.02	7.32	0.82	3.32	4.21	7.8	7.55	6.59	1.74	b	b	a	a	b	c	a	c	c	a	9.25	4.79	3.14	1.81	3.45	6.35	1.95	1.94	5.47	1.25	a	a	a	c	a	c	a	a	a	a	3.63	3.45	9.22	8.24	5.58	7.85	1.2	7.96	5.48	0.91	a	a	a	b	b	a	b	b	b	b	4.96	0.93	1.93	6.6	5.87	5.69	8.27	7.69	8.04	0.57	a	b	c	c	c	a	b	a	c	b
x5	5.08	1	2.76	9.47	0.19	0.62	3.42	0.06	0.47	1.89	c	a	a	a	c	b	a	b	a	a	6.81	4.15	1.81	0.2	7.47	8.79	0.2	0.2	0.2	7.64	c	b	b	a	b	a	c	a	b	b	4.87	9.68	1	0.47	0.31	1.36	0.47	0.47	0.47	9.69	c	c	c	b	a	a	a	c	b	a	3.3	8.85	1.89	2.38	1.9	0.69	7.18	2.69	9.17	5.94	a	c	b	a	c	c	b	c	a	a
x6	5.26	6.42	6.55	1.86	6.54	1.02	6.7	5.64	1.95	1.51	a	a	a	a	c	a	a	c	a	a	7.73	3.35	2.54	8.79	2.71	4.82	7.58	3.78	0.91	3.93	a	a	a	a	a	a	a	c	c	a	1.13	0.46	6.39	4.38	8.77	5.09	7.99	0.77	7.98	1.61	b	a	a	a	a	c	c	b	c	a	6.68	1.15	3.18	5.2	0.03	8.38	6.76	0	1.28	5.98	c	c	c	c	b	a	b	a	a	c
x7	7.12	5.77	9.91	3.24	4.58	1.61	9.5	1.19	1.55	9.02	c	b	b	a	b	c	c	c	c	a	6.25	7.24	0.96	4.5	4.19	7.91	2.4	0.5	7.1	2.55	a	c	a	c	c	a	c	b	b	c	7.3	3.37	8.42	2.94	5.1	8.8	0.14	3.29	9.29	0.93	c	c	c	a	c	a	c	a	a	a	8.15	7.9	8.86	7.87	4.29	5.26	3.2	5.16	4.22	2.92	b	b	a	b	a	a	a	a	a	c
x8	0.28	5.94	4.65	4.65	4.65	3.03	4.9	4.65	7.35	2.1	a	a	c	c	b	a	a	b	c	c	4.32	1.15	6.45	6.45	6.45	5.07	6.91	6.45	3.82	5.72	b	c	c	c	b	a	b	b	a	c	7.23	8.83	7.47	2.08	6.38	4.98	5.07	2	5.11	6.49	b	c	b	b	a	c	a	a	c	b	5.39	3.86	5.51	6.98	8.51	1.02	4.63	9.47	2.94	4.3	a	c	a	a	a	a	b	a	c	a
x9	1.31	5.29	4.65	4.65	4.65	0.12	3.18	4.65	0.96	4.05	a	a	c	c	c	a	b	a	a	c	6.43	5.1	6.45	6.45	6.45	3.01	0.34	6.45	7.88	4.02	b	b	c	c	a	a	b	c	a	b	6.91	3.82	5	2.86	9.4	6.02	0.68	8.33	7.59	4.79	b	a	c	c	a	a	a	b	c	c	3.39	8.12	1.18	1.14	0.2	6.03	0.65	8.47	8.68	5.43	c	a	b	b	a	b	a	b	b	b
