X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	1.77	8.28	8.47	6.62	7.86	0.87	1.9	2.36	1.76	8.82	c	a	a	c	c	b	c	a	a	a	8.02	4.35	6.26	4.83	0.75	4.4	3.01	6.94	1.85	8.44	b	c	c	c	b	a	c	c	a	a	4.36	2.88	3.74	1.21	9.39	3.19	6.34	0.9	2.93	5.82	c	a	b	a	a	b	c	c	c	a	4.24	9.03	7.05	7.2	5.17	1.01	1.41	0.27	4.51	3.34	b	b	c	c	b	a	c	c	c	b
x1	5.19	0.88	8.77	8.19	3.46	0.19	6.59	0.6	8.97	4.84	a	c	b	c	b	c	c	b	b	c	4.61	2.21	5.61	9.89	7.73	4.65	5.27	7.65	6.08	3.3	a	a	a	c	b	c	a	c	b	c	7.14	0.34	5.67	3.95	8.14	6.11	7.39	5.42	4.46	0.93	b	b	c	a	c	b	a	a	c	c	8.69	0.84	1.55	5.26	6.84	7.16	1.92	8.25	7.72	2.46	c	b	b	a	a	a	b	c	b	b
x2	6.43	3.31	2.01	9.81	2.16	7.21	8.11	0.04	8.35	9.57	c	a	a	b	a	b	a	a	a	c	6.11	6.15	4.23	6.15	2.96	2.64	2.77	9.59	7.37	6.15	b	c	a	c	a	c	a	a	c	a	3.86	7.82	4.92	7.82	4.16	3.14	3.44	6.01	8.75	7.82	c	b	a	c	b	c	c	a	b	a	1.83	6.23	2.2	4	5.35	6.48	6.34	7.41	9.81	4.82	b	c	a	a	c	b	c	c	b	a
x3	0.76	7.53	7.87	3.18	1.56	1.95	1.22	0	6.73	6.74	b	b	c	b	c	c	b	b	b	c	6.05	2.55	7.6	1.81	8.27	3.51	8.48	2.76	1.52	4.17	c	c	a	c	c	a	b	a	b	c	4.73	6.51	5.37	2.73	9.52	2.52	2.91	6.01	9.05	4.81	a	b	c	a	c	a	c	b	a	a	1.69	5.97	8.13	0.42	5.03	2.11	4.62	1.95	8.41	4.99	c	a	a	a	c	b	c	b	a	b
x4	7.85	9.85	7	1.43	1.76	4.16	3.92	4.17	9.52	3.11	a	c	c	c	c	a	b	b	c	a	5.15	6.15	8.28	6.15	0.85	7.19	6.75	2.39	6.19	6.15	a	c	a	a	c	c	b	a	a	a	0.75	7.82	6.24	7.82	4.66	3.35	5	5.65	5.49	7.82	a	c	a	a	b	c	c	a	b	a	9.33	0.21	0.17	6.02	8.19	7.68	8.81	2.6	7.93	0.17	b	b	c	b	a	c	c	c	a	a
x5	5.94	4.12	8.86	7.3	5.21	3.73	3.53	4.21	5.91	9.25	b	a	b	b	a	b	b	a	b	a	1.64	5.85	2.15	4.03	4.86	2.42	2.78	2.04	8.16	4.04	a	b	b	b	a	b	b	b	a	a	5.93	9.8	1.37	2.09	3.6	7.45	1.51	0.86	3.61	1.04	a	b	b	c	c	a	b	c	b	a	3.13	5.15	7.86	2.03	6.01	6.37	5.47	8.03	8.69	2.96	b	c	c	c	b	a	a	a	b	a
x6	9.02	8.45	4.09	4.31	5.23	9.82	4.98	8.73	4.07	6.84	c	b	a	c	b	a	c	a	b	a	8.57	8.37	1.84	2.81	3.77	3.94	2.09	5.43	3.28	2.71	b	c	c	a	b	a	a	c	a	a	8.57	5.84	4.4	3.77	3.77	3.94	6.25	1.61	0.15	2.64	b	b	b	a	b	a	b	c	c	a	9.82	5.6	2.17	6.34	7.2	4.97	5.33	3.47	0.58	3.73	c	c	a	b	b	c	a	a	b	b
x7	0.78	0.31	4.84	5.52	8.7	6.14	9.07	0.81	6.08	9.81	b	b	c	b	a	b	b	b	c	a	1.28	9.33	8.32	3.24	1.93	3.38	1.85	7.81	7.22	2.85	a	a	a	c	b	b	c	c	a	b	9.62	1.36	1.47	5.58	4.12	9.94	3.65	6.04	8.64	4.2	c	a	b	b	c	a	c	b	c	c	9.48	3.29	5.74	2.18	8.21	3.63	5.5	8.32	8.22	3.6	a	a	c	a	b	c	b	c	b	c
x8	1.87	6.3	1.77	7.71	5.03	8.2	7.61	5.46	7.05	7.91	c	b	c	c	b	c	b	b	b	a	0.66	6.15	1.74	6.15	2.69	8.32	6.58	8.86	7.29	6.15	a	b	a	a	a	c	b	a	b	a	5.52	7.82	9.1	7.82	6.6	8.12	8.17	8.88	8.73	7.82	b	a	a	c	b	c	c	a	b	a	0.95	6.49	8.2	8.94	0.52	9.03	6.83	2.01	0.99	9.14	c	c	b	c	b	c	b	b	c	c
x9	2.28	6.35	0.5	8.29	1.59	2.96	9.43	6.15	7.76	3.81	a	a	c	b	a	c	a	a	a	a	0.98	6.15	0.35	6.15	2.05	1.12	0.52	9.5	0.11	6.15	b	b	a	b	b	c	a	a	b	a	2.86	7.82	5.48	7.82	4.71	7.23	2.07	2.01	9.81	7.82	a	b	a	a	b	c	a	a	a	a	6.89	2.7	9.34	5.24	7.81	3.14	7.07	5.9	3.85	0.18	b	a	a	c	b	c	a	a	c	c
