X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	9.36	9.53	3.34	5.91	0.51	c	b	c	b	c	9.14	9.58	0.26	4.71	0.06	a	b	c	b	b	5.43	4.01	0.44	9.72	8.13	a	b	a	a	b	7.83	4.52	7.58	5.81	9.61	a	b	a	a	b	1.71	2.98	6.88	8.21	9.95	a	b	a	c	b	9.6	3.58	7.45	0.87	5.33	b	a	b	c	c
x1	5.44	4.95	8.43	8.86	1.41	b	c	a	b	c	1.72	6.78	4.98	0.37	2.52	b	c	c	b	c	4.74	7.55	5.63	6.11	4.43	b	c	c	c	a	6.4	7.02	1.58	9.63	3.49	b	b	a	b	a	10	1.62	7.78	6.39	2.12	a	b	c	a	a	0.73	9.09	1.73	6.55	6.55	c	a	c	b	a
x2	5.62	1.84	3.04	0.12	5.3	b	b	b	a	a	1.19	2.63	0.61	6.26	9.79	c	b	a	b	a	2.49	7.98	2.82	6.23	1.39	b	a	b	b	c	1.83	4.95	0.52	8.95	1.13	c	a	c	b	b	5.91	6.03	6.42	4.63	3.58	c	a	a	b	c	0.19	6.57	7.43	8.46	8.31	c	a	c	a	b
x3	5.02	7.44	4.63	0.48	2.64	c	b	b	b	b	3.29	8.35	1.8	0.33	6.23	a	c	c	a	a	4.69	2.7	1.09	3.92	4.5	b	c	c	b	c	7.78	7.07	8.97	2.82	0.5	c	a	a	b	a	7.47	6.73	6.05	5.73	9.55	c	a	a	b	a	8.28	3.66	7.02	5.7	1.79	b	c	b	b	c
x4	4.01	0.16	8.21	4.72	7.93	c	c	b	c	a	5.47	3.37	9.06	4.59	0.77	c	a	b	b	a	4.59	1.47	5.14	5.02	7.76	c	c	b	b	a	4.61	9.38	9.99	0.72	7.27	a	c	b	c	b	2.18	5.98	9.73	5.51	9.8	c	b	a	a	c	6.29	4.57	4.02	8.87	9.21	a	a	c	c	b
x5	4.09	3.81	1.91	1.22	0.28	b	b	a	a	a	2.66	9.21	2.92	9.95	5.39	a	b	b	b	c	8.6	7.83	0.3	4.68	9.3	b	a	a	b	a	4.91	0.93	8.5	3.79	9.31	c	a	b	b	b	7.94	6.64	5.76	7.1	2.57	c	a	c	b	b	3.7	4.9	2.86	5.2	3.07	c	a	a	b	b
x6	3.19	4.35	4.37	5.74	3.75	a	b	c	b	c	0.94	3.67	7.13	0.94	0.94	a	b	c	b	b	7.21	7.94	1.65	7.21	7.21	a	b	c	a	b	4.5	5.05	1.11	4.5	4.5	a	b	c	c	b	2.15	8.18	8.39	2.15	2.15	a	b	b	a	b	9.74	0.08	0.09	6.53	0.89	c	a	b	c	b
x7	1.17	7.26	9.53	4.74	1.07	a	c	b	b	c	2.81	9.54	1	7.38	1.11	b	a	c	b	b	5.13	4.27	2.18	8.26	1.25	c	a	c	b	a	3.91	6.28	2.1	6.87	0.11	b	c	b	a	c	8.48	2.65	8	5.11	3.45	a	c	a	a	b	7.95	0.3	5.23	2.28	7.05	b	c	a	a	a
x8	8.51	2.46	4	1.67	7.77	b	b	c	c	b	5.66	4.16	8.98	4.62	4.38	a	c	b	c	a	5.55	7	1.7	0.17	6.58	b	c	c	a	b	2.23	8.94	2.54	3.29	1.03	c	a	c	b	a	7.75	6.08	9	1.95	4.82	c	a	c	b	b	5.29	6.81	1.54	8.35	7.08	a	c	a	a	b
x9	5.97	4.55	3.13	6.48	4.79	b	b	b	b	c	4.34	8.52	8.52	9.02	3.7	a	a	a	b	b	4.59	3.02	3.02	6.4	2.41	c	a	a	b	b	0.34	3.73	3.73	4.11	0.91	b	a	a	b	a	1.6	1.07	1.07	5.95	2.14	b	a	a	b	c	6.74	7.66	7.02	4.16	0.37	c	a	c	c	c
x10	3.9	7.32	4.12	9.44	6.38	a	c	c	c	c	9.46	4.14	1.21	3.14	5.15	c	b	a	c	c	6.63	8.64	9.4	9.75	9.4	c	a	c	b	b	1.06	8.75	1.52	1.83	0.22	c	c	a	c	a	1.7	2.14	6.74	1.47	2.96	c	b	c	a	a	5.11	3.44	4.8	3.4	7.05	c	b	a	c	c
x11	6.22	7.71	2.72	2.46	2.7	b	b	b	b	a	1.16	8.52	8.52	8.99	7.58	a	a	a	b	c	9.33	3.02	3.02	7.83	2.93	c	a	a	b	b	6.43	3.73	3.73	4.19	7.06	a	a	a	b	c	5.9	1.07	1.07	1.53	1.75	b	a	a	b	c	3.97	4.87	0.73	7.89	1.1	c	b	b	b	b
x12	9.5	3.62	3.52	3.51	0.97	c	a	c	a	a	7.25	1.76	0.09	6.2	7.19	b	c	a	b	a	5.74	8.48	9.8	2.4	5.53	b	b	a	b	a	1.45	2.1	6.64	6.32	3.81	c	b	c	b	a	4.18	1.37	7.54	0.42	1.63	a	c	a	b	b	1	7.27	6.08	5.25	8.77	b	c	a	b	b
x13	7.95	0.78	2.89	7.49	5.83	a	a	c	c	c	5.32	9.6	7.01	7.03	5.54	a	b	c	b	b	5.28	5.1	1.19	7.39	4.05	a	b	c	b	b	1.32	5.78	2.87	6.65	1	a	b	a	a	b	3.21	6.56	7.45	1.25	6.46	a	b	c	c	b	7.05	3.12	3.49	7.39	0.33	b	a	b	a	a
x14	0.14	8.05	8.59	4.36	8.56	a	b	b	b	a	4.66	3.93	1.11	4.56	2.12	a	a	b	c	c	0	6.81	4.77	4.6	7.9	c	b	b	c	c	6.83	6.23	5.19	9.57	6.69	c	c	c	c	a	0.14	6.32	0.62	4.57	8.97	c	c	a	b	a	6.92	7.71	9.14	0.39	1.11	c	a	b	a	a
x15	3.97	7.76	5.75	8.46	1.52	a	c	b	b	c	1.94	6.43	0.69	4.92	9.1	b	b	c	a	b	3.63	9.41	8.77	8.73	8.29	c	b	c	c	a	2.24	0.79	2.15	1.25	3.88	b	b	b	c	c	3	3.7	3.14	7.94	6.77	a	c	b	b	c	1.56	0.67	4.47	2.11	3.5	a	c	a	b	a
x16	0.99	9.6	2.91	5.66	7.65	a	b	c	a	c	4.5	9.34	6.27	2.38	9.32	b	b	b	c	c	0.65	9.82	2.74	6.34	9.14	a	b	a	c	b	0.42	6.1	6.04	5.45	7.31	c	c	c	b	b	2.38	5.08	0.11	6.06	1.01	a	c	a	c	a	1.25	8.5	3.11	2.98	7.96	c	b	a	a	b
