X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	3.64	4.29	5.64	5.12	9.29	1.91	8.19	8.52	8.92	3.82	c	c	b	b	a	c	a	a	a	c	0.87	0.03	5.68	7.91	0.14	7.98	4.72	5.24	5.73	3.15	a	c	b	b	a	a	a	a	a	c	9.67	4.2	7.44	1.25	2.64	8.44	6.2	9.64	9.84	0.51	c	b	a	b	c	b	c	a	a	a	4.38	9.56	2.27	5.24	3.43	5.41	5.14	7.65	2.71	4.45	b	b	a	b	b	c	b	a	c	b
x1	7.96	6.44	2.54	5.76	5.45	8.2	1.78	2.35	4.41	7.98	a	a	c	a	b	c	b	c	b	b	2.33	7.89	4.9	1.13	9.39	4.47	7.48	8.75	9.6	2.3	a	a	b	a	b	c	b	c	b	b	6.41	7.53	7.55	1.34	0.13	8.85	4.53	0.6	0.18	9.97	b	c	c	a	a	c	a	c	c	a	1.17	8.37	7.25	8.55	3.73	2.37	7.62	6.98	9.22	3.73	a	b	a	c	c	c	b	c	c	c
x2	4.8	3.5	1.52	7.59	6.2	9.18	7.01	2.75	6.87	8.35	a	c	a	c	c	b	a	b	b	a	9.7	0.31	2.34	3.7	2.03	8.43	9.23	0.93	9.72	4.39	c	b	c	c	c	c	a	b	b	b	9.79	0.57	0.93	4.45	4.64	1.72	0.72	9.18	3.67	8.98	b	a	b	a	b	a	b	a	b	b	0.2	1.17	1.44	0.03	1.06	2.76	5.17	1.55	3.09	7.81	b	c	c	a	a	a	b	c	a	c
x3	2.32	3.54	1.72	0.28	2.87	2.28	8.06	5.48	9.47	7.02	b	a	b	c	c	b	b	b	a	a	2.3	8.36	5.74	4.64	5.21	5.75	3.44	5.94	0.05	6.78	b	a	a	b	b	c	c	a	c	b	3.15	0.01	3.34	7.29	8.49	5.67	5.37	8.42	6.98	7.92	c	b	a	b	a	a	b	a	b	c	2.65	8.35	7.81	4.43	7.17	9.74	4.89	3.57	4.73	7.73	b	b	a	b	c	b	b	b	b	b
x4	6.82	4.2	3.89	0.56	8.43	9.01	0.05	8.64	2.47	5.68	a	b	a	c	b	b	a	a	b	c	1.28	2.14	2.28	0.52	1.26	7.9	7.86	3.3	5.33	4.92	c	c	b	a	b	b	b	a	a	a	0.16	9.17	5.69	8.65	2.78	9.15	6.45	2.73	7.34	2.33	a	a	a	a	a	c	c	c	c	b	5.89	4.81	8.95	3.15	7.89	7.51	7.71	8.04	9.67	5.44	c	c	c	b	b	c	c	a	a	a
x5	3.83	8.27	3.74	8.47	5.8	3.05	5.9	7.9	5.5	0.61	b	c	a	c	b	a	b	c	c	b	4.81	6.97	7.87	7.18	4.45	9.09	0.76	4.04	1.25	3.04	b	c	b	a	b	c	c	c	b	a	2.07	9.1	1.92	4.41	4.88	0.28	9.03	0.7	6.9	8.09	a	a	c	c	b	a	c	c	c	b	3.23	9.92	0.23	4.2	0.58	0.91	2.48	1.51	4.52	0.79	b	a	a	b	c	a	c	a	a	b
x6	2.88	8.02	0.23	8.93	2.88	5.04	0.83	1.05	9.37	9.17	a	c	a	a	b	c	b	c	c	a	6.66	9.21	7.33	9.6	4.52	4.38	5.1	6.88	3.55	6.03	a	a	b	a	b	c	b	b	b	a	7.98	8.76	5.33	1.41	0.78	3.78	9.88	7.99	1.14	8.07	c	a	b	c	c	b	a	b	c	c	6.01	1.68	8.83	1.52	1.38	7.41	8.99	1.77	0.67	8.3	a	b	c	a	b	a	b	a	b	c
x7	7.48	0.25	1.51	6.38	2.61	1.77	5.93	9.25	2.97	9.89	a	a	a	a	b	c	b	c	c	c	1.1	7.74	6.12	3.49	6.95	4.41	9.23	8.79	7.94	4.53	a	b	c	a	b	c	b	a	c	b	0.62	8.2	5.66	4.05	0.71	7.08	2.39	3.86	1.53	2.59	b	a	a	c	c	b	a	c	c	b	5.31	3.48	0.06	6.57	9.07	0.85	2.04	8.04	6.64	0.09	c	b	a	c	b	a	a	c	a	b
x8	3.61	5.52	2.72	1.93	6.99	6.35	2.87	2.18	7.64	8.74	c	c	b	b	b	a	b	c	c	c	3.61	5.52	0.94	3.11	3.58	6.35	2.87	9.64	7.64	8.74	a	a	b	b	b	a	b	a	c	a	5.18	5.67	5.72	7.25	5.41	9.94	9.69	1.32	8.14	1.85	a	c	b	c	b	b	a	c	b	b	3.66	9.05	8.67	7.8	0.03	8.07	4.24	0.41	4.6	6.1	b	c	a	b	c	b	b	c	a	b
x9	7.43	0.73	8.13	7.3	8.31	7.91	4.75	3.65	8.91	2.45	c	a	c	a	a	a	b	c	b	a	4.08	0.36	9.31	8.55	3.65	8.61	8.93	6.06	0.36	8.31	a	c	a	c	a	a	c	b	a	c	0.58	7.36	7.92	9.1	0.52	9.05	6.63	2.41	7.34	5.34	c	b	c	a	b	b	c	c	b	c	1.82	0.83	8.82	0.64	8.42	0.53	4.37	3.16	7.15	4.17	a	a	c	c	a	b	b	c	c	c
x10	0.87	2.39	4.77	0.19	4.21	0.04	8.8	2.36	9.13	2.07	a	a	a	a	b	a	b	c	a	b	7.85	7.57	7.44	5.3	1.5	1.33	6.03	5.69	3.3	7.14	a	a	c	a	b	c	b	a	c	a	2.21	0.01	8.7	9.11	8.94	1.24	2.3	3.36	8.28	0.19	c	c	c	b	c	b	c	b	a	a	0.65	7.75	4.17	6.71	8.03	0.96	7.14	8.9	0.46	2.72	c	c	a	b	b	b	a	a	a	c
x11	4.62	4.59	9.72	8.35	5.38	7.67	7.37	2.71	7.55	7.51	c	c	a	b	b	a	b	b	c	a	0.42	8.93	8.39	3.55	3.67	6.69	8.04	9.64	5.4	9.64	b	b	a	b	a	b	b	a	b	b	1.22	9.77	1.67	0.87	1.62	5.38	2.29	8.45	3.29	9.79	a	c	a	a	a	c	c	c	b	b	0.29	5.52	6.81	1.7	8.46	9.9	9.18	5.19	3.61	2.01	a	c	c	a	b	a	a	c	c	a
x12	9.69	0.72	7.37	2.21	6.16	3.64	6.37	5.65	8.62	8.45	b	a	c	b	c	c	c	c	b	b	6.02	4.48	1.7	8.76	5.71	5.57	5.98	5.84	7.83	7.12	a	a	b	b	b	a	c	a	c	b	4.88	8.7	7.25	6.42	8.66	0.64	4.86	0.64	6.56	7.06	b	b	a	b	a	c	b	b	a	a	9.77	0.04	3.3	4.99	1.82	9	0.35	5.41	9.49	3.29	a	b	c	c	b	b	b	b	a	c
x13	3.61	5.52	6.07	4.94	6.87	6.35	2.87	0.45	7.64	8.74	b	b	a	c	b	a	b	a	c	b	3.61	5.52	3.06	9.72	2.07	6.35	2.87	5	7.64	8.74	a	a	a	c	b	c	b	a	b	a	0.6	5.63	5.03	0.78	2.22	2.44	7.19	9.59	7.07	4.98	c	a	a	b	c	b	a	c	c	a	3.66	2.8	6.02	8.97	8.6	4.07	1.74	2.81	0.56	5.1	b	c	a	b	b	a	a	b	c	a
x14	6.87	7.03	2.11	4.2	8.55	6.3	1.34	6.39	3.88	5.47	a	a	c	a	b	b	b	b	c	a	5.15	9.78	9.67	9.61	4.15	3.44	6.57	8.72	4.43	6.53	a	b	c	a	b	c	b	a	a	c	7.27	0.12	1.35	1.78	0.65	2.82	5.41	2.15	8.91	2.23	a	b	a	c	b	c	c	b	a	c	3.36	6.94	4.39	7.39	5.46	6.86	2.76	0.46	5.72	3.17	a	b	c	c	a	b	c	c	c	c
x15	2.78	6.26	3.38	7.45	4.52	1.16	6.62	4.05	2.97	7.18	a	b	a	c	a	a	a	b	a	b	5.82	4.84	4.5	9.72	8.36	4.45	6.44	2.88	5.29	1.59	b	c	b	c	c	b	a	a	c	b	4.75	3.57	4.02	1.71	2.68	1.87	5.61	3.92	8.98	9.45	b	c	c	b	b	a	b	a	b	b	6.02	8.01	8.14	4.77	1.09	9.44	9.89	7.3	6.79	6.42	a	c	a	c	a	b	b	a	b	c
