X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	7.64	3.78	0.47	7.28	1	7.32	8.56	2.31	2.65	0.69	c	b	b	c	b	b	b	a	a	a	4.1	6.76	1.07	0.19	3.31	6.16	7.12	7.84	8.86	1.64	a	c	a	c	c	b	b	b	c	a	1.64	2.74	2.82	0.91	0.17	9.53	6.91	1.84	1.31	6.04	a	b	a	b	b	b	c	a	b	b	8.01	6.22	6.53	2.23	6.81	7.5	3.16	9.83	8.83	3.37	b	b	c	a	c	a	c	b	c	b
x1	1.33	2.01	1.66	0.71	5.24	0.71	9.31	0.71	3.41	2.87	c	a	c	b	a	c	b	b	b	c	3.14	7.46	8.71	5.98	1.17	5.98	3.41	5.98	6.61	6.89	b	b	b	c	a	c	b	c	a	c	5.19	7.46	8.71	8.92	0.37	2.73	3.41	1.25	6.61	6.89	a	a	b	b	a	c	b	c	b	b	7.73	0.32	3.65	5.32	2.03	0.48	2.87	0.36	0.81	7.23	b	c	c	b	a	a	c	c	a	c
x2	7.05	0.89	9.61	7.73	8.96	9.78	3.67	6.65	7.62	0.63	a	b	b	c	a	a	c	c	c	c	9.5	8.9	1	3.01	7.91	5.49	5.13	5.23	5.97	2.17	a	a	c	c	c	a	b	b	a	c	8.06	7.6	6.02	8.41	0.71	5.52	6.13	9.06	2.86	2.19	a	b	b	c	c	c	a	c	a	b	6.56	6.64	4.25	9.44	6.73	0.11	5.81	3.11	0.08	4.57	b	a	b	b	b	b	b	a	a	a
x3	4	8.38	1.25	7.47	9.76	9.18	3.18	4.11	5.16	8.5	b	c	b	b	c	a	b	a	c	c	1.13	5.88	3.9	4.37	5.07	7.3	0.93	4.87	0.88	2.27	a	a	b	c	c	b	c	c	a	b	5.28	9.03	6.79	3.47	1.15	4.06	0.15	2.17	7.77	0.73	c	b	a	b	a	a	a	c	c	c	3.48	2.46	2.44	2.94	6.27	7.48	2.81	5.27	7.01	7.81	a	c	a	c	a	b	b	b	c	c
x4	4.39	8.89	5	3.31	1.98	6.25	7.97	0.88	7.6	3.23	a	b	b	a	c	c	a	b	b	c	2.2	7.42	8.15	8.59	7.83	1.95	7.67	8.85	1.48	2.16	b	c	b	c	a	a	a	b	b	b	6.56	8.36	1.39	0.17	3.06	6.15	2.06	5.14	0.66	1.76	b	b	a	b	a	b	c	c	b	b	6.33	9.41	3.09	9.77	4.45	9.02	8.53	0.26	3.25	5.98	b	a	a	c	b	a	b	c	a	c
x5	6.09	1.19	4.43	2.22	4.86	5.64	8.01	2.88	2.49	0.82	a	a	c	a	a	b	b	b	b	b	9.35	3.6	2.39	8.04	2.48	2.32	1.27	1.37	8.83	8.73	a	c	c	b	c	b	b	a	b	b	6.77	3.73	4.02	2.32	6.89	5.54	1.19	7.92	2.67	3.2	b	a	c	b	c	a	c	a	c	a	6.67	9.28	0.91	4.21	7.14	4.47	2.24	4.38	0.62	8.87	a	b	a	b	a	b	c	c	c	b
x6	0.77	9.84	7.75	0.71	4.36	0.71	8.78	0.71	8.89	5.09	b	b	b	b	c	c	a	a	b	b	8.44	9.27	9.96	5.98	7.48	5.98	2.08	5.98	6.64	7.88	c	b	a	c	c	b	a	b	b	b	3.03	3.38	8.15	8.24	1.4	4.15	4.28	1.85	4.48	7.2	b	a	a	c	c	b	a	b	b	c	8.28	2.87	7.27	7.87	2.35	3.92	3.04	3.55	1.23	1.09	a	c	b	b	a	c	c	a	c	b
x7	2.9	8.7	4.84	9.87	6.36	0.89	5.24	7.78	6.38	5.33	c	c	a	a	b	c	a	c	b	a	0.07	7.21	9.33	8.6	3.66	3.01	5.92	3.05	4.05	0.15	a	a	a	a	c	b	b	b	b	b	6.91	3.33	5.93	4.88	9.79	3.98	3.05	4.28	2.74	3.83	a	b	a	c	c	b	b	b	b	c	4.81	5.09	8.28	4.06	5.79	8.85	9.68	6.82	4.83	8.07	a	b	b	a	c	b	a	b	a	b
x8	6.5	7.81	0.7	0.48	9.64	6.43	1.54	9.16	2.2	2.27	b	c	b	b	a	a	c	a	b	a	4.95	4.47	0.09	8.24	0.19	3.95	6.27	6.44	9.2	0.14	c	c	c	c	a	a	c	a	b	c	8.82	7.33	2.26	0.41	3.71	0.36	8.34	1.86	8.19	3.44	a	a	b	c	a	c	b	b	a	a	3.65	3.19	3.01	7.6	2.99	2.32	6.75	7.87	9.65	2.96	a	c	b	b	c	b	b	b	b	c
x9	8.76	2.49	3.28	2.79	1.46	3.47	4.46	0.81	0.2	9.15	c	c	a	b	c	b	a	c	b	b	1.38	5.67	2.75	1.65	2.52	4.67	8.17	0.47	8.86	1.29	b	a	b	b	a	a	c	a	a	c	9.62	1.64	0.38	8.26	5.32	4.77	0.03	1.74	8.9	2.9	c	b	a	c	b	b	a	a	c	b	5.89	2.1	5.95	1.88	9.22	0.68	0.87	4.99	8.04	3.51	c	c	b	c	b	c	c	c	a	b
