X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	2.53	2.24	3.27	6.75	4.29	a	b	c	a	b	5.24	5.31	7.43	7.26	1.86	b	a	c	b	c	2.86	5.07	6.32	0.68	2.67	c	b	b	a	a	4.22	6.26	2.82	1.47	7.88	c	b	a	c	c	8.64	7.71	6.26	0.14	7.31	a	a	a	a	c	6.25	0.36	9.14	2.22	6.84	c	c	b	b	c
x1	1.26	3.14	5.62	7.88	9.68	b	a	b	c	a	3.52	0.77	8.4	0.51	7.02	a	b	b	b	c	8.78	5.36	5.37	1.13	7.16	a	c	a	c	a	3.64	4.44	0.27	8.6	9.55	b	b	a	b	c	3.5	9.43	3.38	8.56	6	a	c	a	b	a	2.82	8.5	3.19	4.59	3.43	b	a	a	b	c
x2	2.29	4.74	1.81	2.29	2.23	b	a	a	c	a	6.48	2.79	6.68	6.48	0.77	b	a	c	c	b	7.77	7.56	8.28	7.77	0.28	b	a	a	c	c	4.15	3.87	3.84	4.63	9.01	c	c	c	a	a	7.9	6.87	1.6	4.37	4.7	a	b	a	a	c	6.32	1.28	4	5.34	2.43	a	a	b	a	a
x3	2.52	5.47	4.23	9.83	7.06	a	c	c	b	c	5.07	5.52	4.7	3.03	5.19	c	a	c	a	a	5.35	4.17	8.7	7.02	4.62	c	b	b	a	a	1.51	7.27	0.64	4.76	7.84	b	a	b	c	a	4.1	9.36	0.51	0.88	5.32	c	c	c	a	a	7.92	0.95	7.06	1	5.71	a	c	b	c	c
x4	2.29	7.23	7.61	2.29	3.19	b	a	c	c	c	6.48	0.59	9.71	6.48	2.39	b	a	c	c	a	7.77	8	3.89	7.77	7.56	b	a	a	c	b	0.82	7.4	1.56	2.3	6.94	b	c	a	a	c	6.48	0.47	5.33	2.27	6.16	c	b	b	a	c	8.13	4	5.41	9.89	1.76	c	c	c	a	b
x5	2.29	0.03	0.84	2.29	3.43	b	a	b	c	a	6.48	5.18	3.13	6.48	0.52	b	a	c	c	c	7.77	0.22	7.77	7.77	4.17	b	a	c	c	b	5.13	8.47	5.28	2.11	0.39	b	a	c	b	b	0.82	0.68	5.26	5.42	8.76	b	a	c	a	a	0.29	3.17	8.02	4.39	7.32	b	c	c	a	c
x6	5.25	3.18	6.24	4.93	9.19	b	c	a	a	c	0.67	8.84	7.56	9.79	6.59	a	b	c	b	c	7.2	6.18	3.3	6.08	6.94	b	b	b	c	c	6.04	9.21	7.75	0.45	4.86	c	c	c	b	c	4.97	3.9	0.16	3.35	7.58	a	a	c	c	b	1.84	8.04	0.14	3.13	9.4	a	b	b	b	b
x7	5.19	0.45	3.61	5.35	3.71	a	b	b	a	a	0.24	4.98	3.81	5.36	4.79	b	a	b	a	b	1.2	9.35	2.39	8.96	3.15	b	c	a	a	c	5.74	0.18	1.02	8.9	7.07	c	b	c	c	a	4.89	4.81	4.49	9.21	1.16	c	b	a	a	a	7.51	3.41	3.04	7.02	0.95	b	c	b	a	b
x8	8.15	3.11	1.76	4.71	4.79	a	b	a	c	a	4.72	3.53	3.67	1.94	0.25	a	b	b	a	b	5.05	2.7	7.58	1.12	4.07	c	c	b	a	b	3.63	9.91	5.65	8.22	4.6	b	b	b	a	c	7.31	5.71	5.23	9.36	4.14	c	b	a	b	c	2.28	6.2	0.97	6.14	5.07	b	c	b	c	a
x9	5.77	2	9.36	5.44	5.2	a	c	c	a	a	5.32	3.17	3.09	7.76	0.39	a	a	a	c	a	2.06	4.96	6.2	6.18	5.77	b	c	c	b	b	6.49	6.17	8.11	6.6	3.2	c	c	b	a	b	8.12	1.58	2.06	9.24	6.59	b	a	b	c	b	7.16	7.99	8.85	7.1	0.55	c	a	c	b	c
x10	3.16	1.65	8.37	8.55	1.79	c	c	c	c	a	6.28	1.91	2.82	6.12	5.91	c	c	a	b	a	4.58	9.54	0.53	5.9	3.1	b	c	b	b	b	8.07	8.83	9.29	4.55	4.08	a	a	c	b	b	8.95	1.13	3.6	5.22	2.73	a	c	c	a	b	3.75	1.91	5.64	9.13	4.71	b	c	a	c	a
x11	3.92	7.04	3.76	4.79	2.63	b	b	b	c	a	6.92	3.75	7.54	9.17	0.33	b	a	c	c	c	4.25	9.13	8.02	7.66	3.68	c	a	c	c	c	9.13	7.76	9.59	3.87	0.91	b	c	c	a	a	2.56	4.21	0.4	6.11	9.84	b	a	a	a	b	8.94	2.69	6.18	2.09	3.53	c	c	b	b	a
x12	6.64	8.43	5.68	1.51	9.88	c	a	b	a	c	1.66	5.54	7.67	1.09	3.53	a	a	a	b	c	7.04	7.13	4.95	1.57	4.95	b	c	c	c	c	9.12	5.74	8.73	8.98	8.73	a	c	b	c	b	4.75	8.23	7.41	8.8	1.95	c	a	c	b	c	1.68	9.86	2.76	5.55	4.92	a	a	b	b	a
x13	0.8	6.07	4.12	4.46	0.93	a	a	c	c	c	4.94	8.07	7.72	6.45	8.37	a	a	b	b	c	4.14	0.36	1.63	1.3	7.67	b	a	c	c	a	2.62	4.75	0.89	1.62	8.09	b	a	b	a	c	1.45	2.59	1.81	8.6	4.64	b	b	c	c	b	3.18	5.07	5.71	0.24	8.13	b	b	a	a	c
x14	2.29	9.46	8.26	2.29	3.25	b	a	b	c	c	6.48	5.21	1.35	6.48	0.6	b	a	c	c	c	7.77	3.76	6.87	7.77	9.89	b	a	c	c	a	9.7	7.94	2.55	3.24	3.85	b	c	a	a	c	0.96	8.88	9.59	9.06	6.99	a	c	b	a	c	6.1	5.58	4.46	9.43	2.08	b	b	b	a	c
x15	5.54	3.42	0.81	5.18	9.6	c	a	b	a	a	9.76	8.99	3.14	0.94	4.79	c	a	c	c	b	9.94	4.83	2.07	0.46	9.06	a	a	b	b	c	5.9	8.29	2.6	6.45	3.65	a	b	c	a	c	7.04	8.05	5.72	0.46	9.06	b	b	c	b	b	2.2	7	0.16	8.29	9.09	b	a	c	b	b
x16	0.5	2.65	4.63	0.31	7.42	a	c	c	b	b	9.95	2.6	3.44	4.36	4.83	a	c	a	b	c	6.67	6.26	6.69	3.13	3.91	b	a	c	c	c	6.39	0.22	9.49	6.31	3.5	b	a	b	a	a	1.21	9.41	8.01	0.87	9.86	b	a	b	a	c	9.27	6.95	9.67	1.78	0.38	c	b	a	c	a
x17	2.29	6.7	7.78	2.29	8.93	b	a	b	c	a	6.48	3.68	9.92	6.48	8.85	b	a	c	c	c	7.77	9.91	3.02	7.77	4.62	b	a	b	c	a	3.2	1.47	8.79	7.7	9.16	b	a	b	c	c	6.28	4.47	5.2	2.64	2.15	c	a	b	b	c	8.41	1.39	2.11	0	8.91	b	b	c	b	a
x18	4.81	0.74	5.33	4.87	9.77	b	b	c	a	b	3.11	9.31	8.27	0.25	3.12	c	b	c	a	b	9.88	2.72	5.98	9.07	3.49	c	c	a	b	a	8.78	1.81	9.74	6.1	6.9	a	c	c	b	a	3.85	1.46	7.93	7.25	4.16	a	b	b	a	c	7.41	3.42	5.58	7.63	1.82	c	a	b	b	b
x19	3.78	5.02	1.68	4.52	9.83	c	b	a	c	a	4.79	9.51	6.57	0.94	1.47	c	c	b	c	b	2.91	2.83	4.95	0.49	4.95	a	c	b	b	a	4.77	9.45	8.73	9.32	8.73	c	a	c	b	a	9.36	2.49	0.18	6.35	1.38	c	a	a	b	b	3.84	1.93	4.26	6.22	0.89	a	a	b	c	b
x20	9.65	7.96	7.72	2.62	4.01	c	a	b	b	a	9.89	5.22	1.04	7.16	3.12	a	c	a	c	b	5.97	5.28	1.05	2.88	9.66	c	a	c	a	c	9.24	2.7	0.35	9.27	5.07	b	c	c	a	a	7.66	3.31	9.32	3.64	1.56	a	c	b	b	c	5.1	4.79	8.98	3.88	8.89	b	b	b	a	c
x21	4.33	3.87	1.34	4.05	3.97	b	b	c	c	b	0.27	3.09	9.64	5.8	0.44	a	c	b	a	a	5.09	0.79	4.95	4.67	4.95	c	c	b	a	a	7.91	1.04	8.73	6.39	8.73	b	c	c	c	a	8.31	5.89	0.88	8.07	7.71	c	a	a	a	a	0.28	3.49	6.24	2.22	8.89	c	c	c	b	b
x22	8.85	3.07	6.55	4.69	3.49	a	a	a	b	c	4.8	8.45	9.79	5.09	4.86	c	c	b	a	b	0.74	7.95	4.53	0.46	0.9	c	a	c	b	c	1.69	4.63	9.68	7.21	4.29	a	b	b	b	c	9.35	4.65	6.34	4	0.28	a	c	b	a	c	3.34	8.53	7.29	9.76	5.72	c	b	a	a	b
x23	2.29	9.69	1.12	2.29	2	b	a	c	c	c	6.48	9.81	3.3	6.48	5.16	b	a	c	c	b	7.77	8.76	5.42	7.77	7.27	b	a	c	c	c	6.22	3.82	5.7	0.67	0.84	c	c	a	c	a	2.46	5.83	8.49	1.34	6.94	b	a	a	c	b	7.57	2.72	9.88	6.26	0.01	b	c	c	c	c
x24	5.65	4.99	5.16	2.96	8.21	a	b	c	b	c	4.91	0.44	9.73	7.84	6.38	c	b	c	c	a	0.87	6.75	4.95	4.06	4.95	c	c	b	a	c	2.91	8.66	8.73	4.82	8.73	b	a	a	c	a	4.06	0.27	2.32	9.86	2.12	b	a	c	a	b	5.2	7.26	7.01	3	3.57	a	b	b	b	c
x25	8.86	3.83	0.91	5.68	9.62	b	a	a	b	a	7.45	1.7	0.91	9.59	7.83	b	a	a	a	c	5.38	2.24	5.11	8.62	3.84	a	c	a	c	a	5.48	7.9	3.88	7.03	8.88	c	c	b	c	c	4.5	7.7	0.85	0.55	8.32	b	c	a	c	a	3.85	4.15	8.36	2.88	7.54	a	c	b	c	c
x26	4.08	7.9	8.83	0.01	7.43	c	a	c	a	a	3.44	9.75	2.37	5.74	5.17	b	c	a	b	c	5.8	5.9	7.29	4.74	5.19	b	a	a	b	a	2.38	1.02	5.97	1.15	5.94	b	b	a	c	a	3.46	2.18	2.8	3.23	1.07	b	a	c	c	b	6.78	9.88	7.27	5.82	1.69	c	c	a	a	c
x27	2.29	0.01	3.63	2.29	2.17	b	a	c	c	c	6.48	7.98	2.34	6.48	9.41	b	a	a	c	b	7.77	5.84	3.85	7.77	6.52	b	a	b	c	a	2.53	2.28	5.53	1.76	4.9	c	a	c	b	c	7.98	7.44	1.77	1.83	6.57	c	a	c	a	b	3.66	4.1	5.17	1.11	1.37	c	a	a	c	b
