X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	9.5	5.44	5.63	1.67	7.48	b	b	a	b	b	4.71	4.35	2.93	8.31	2.61	c	c	a	c	c	4.33	4.35	9.46	8.31	2.61	c	c	a	a	c	1.44	4.35	0.67	8.31	2.61	a	c	a	b	b	7.62	4.35	4.93	8.31	2.61	c	c	a	a	c	5.65	7.74	3.62	7.54	3.65	b	b	b	b	c
x1	6.7	2.75	7.57	0.06	7.81	b	b	a	c	b	4.98	1.79	8.12	2.47	1.31	b	c	b	c	b	7	7.07	2.91	7	6.76	b	a	b	c	c	4.51	5.16	3.52	4.51	5	b	c	b	c	c	6.75	1.86	6.24	4.17	2.72	b	a	c	b	a	6.58	3.02	6.35	9.28	7.47	a	b	c	b	a
x2	7.64	1.45	9.55	8.42	4.61	b	a	c	c	b	3.43	8.04	8.27	6.34	4.82	b	c	b	a	a	9.72	9.55	3.5	3.59	8.84	c	a	a	c	c	3.93	9.84	0.86	9.49	2.9	c	b	a	c	b	4.11	6.41	3.78	3.55	8.19	b	b	b	b	c	3.73	7.55	4.72	0.12	4.07	b	a	c	b	b
x3	7.21	7.21	6.65	4.42	7.95	a	c	a	c	c	2.12	2.12	3.39	2.52	4.29	a	c	c	c	a	1.35	1.35	5.01	6.76	5.11	c	c	a	b	a	6.84	6.84	3.33	5.1	5.82	c	c	a	b	a	0.79	7.23	7.44	9.81	4.34	a	a	b	c	a	9.48	1.1	7.98	7.43	1.99	c	b	b	a	a
x4	7.21	7.21	7.3	4.79	2.52	b	b	b	c	b	2.12	2.12	4.09	6.65	2.35	b	a	b	c	a	1.35	1.35	7.29	3.5	4.04	c	c	a	b	c	6.84	6.84	8.87	9.1	2.25	c	c	a	c	b	6.21	2.16	7.07	5.71	6.21	a	b	a	a	a	5.01	1.69	1.45	4.53	8.71	a	c	b	b	b
x5	9.99	4.06	6.36	3.09	0.29	c	b	b	c	b	3.79	7.18	8.5	6.06	2.73	c	a	c	b	a	3.42	0.72	3.08	7.16	0.79	c	c	a	c	a	3.71	1	6.72	3.4	7.23	c	c	a	c	b	2.57	2.7	7.17	2.44	6.64	a	b	b	a	a	5.7	9.08	2.07	9.01	9.86	b	c	c	b	b
x6	7.21	7.21	3.03	0.28	4.93	a	a	b	b	a	2.12	2.12	5.89	2.77	9.42	b	a	c	c	c	1.35	1.35	2.86	9.07	8.92	b	c	c	b	a	6.84	6.84	5.56	6.73	3.77	b	a	b	b	b	4.62	4.75	3.96	6.94	3.78	b	a	b	a	a	1.42	3.1	6.27	7.66	9.24	a	c	b	c	c
x7	1.5	8.53	4.72	0.11	3.46	c	b	c	a	c	7.21	1.19	6.36	7.12	2.58	a	a	b	b	b	9.62	0.12	8.54	5.63	7.83	c	c	a	b	a	8.2	9.46	8.29	7.6	9.93	c	c	a	b	a	1.41	1.86	5.24	7.24	7.44	b	c	b	a	a	0.65	6.43	4.84	2.97	3.92	c	c	b	a	b
x8	8.75	7.44	0.16	1.39	3.61	c	a	a	c	b	1.39	4.35	4.64	8.31	2.61	c	c	a	a	b	2.63	4.35	7.39	8.31	2.61	a	c	a	b	b	9.9	4.35	1.98	8.31	2.61	a	c	a	b	b	2.91	4.35	9.91	8.31	2.61	b	c	a	c	a	2.23	9.42	5.23	0.7	8.14	b	a	a	c	b
x9	7.21	7.21	4.71	0.3	2.48	a	b	b	c	a	2.12	2.12	6.42	3.02	8.27	c	b	b	c	c	1.35	1.35	3.62	2.18	9.28	a	b	a	b	b	6.84	6.84	1.4	2.32	4.93	b	a	a	a	b	4.02	0.95	5.9	8.2	5.82	a	c	a	a	b	3.18	2.73	7.67	2.77	3.02	a	a	c	c	a
x10	6.82	8.11	0.96	0.66	1.84	a	c	a	b	c	6.18	4.35	1.99	8.31	2.61	b	c	a	c	c	6.75	4.35	1	8.31	2.61	c	c	a	c	c	1.39	4.35	8.22	8.31	2.61	b	c	a	b	b	8.13	4.35	7.05	8.31	2.61	b	c	a	a	c	3.6	9.54	3.4	0.59	3.21	b	c	b	b	b
x11	7.21	7.21	0.82	3.09	9.88	a	a	b	c	b	2.12	2.12	1.64	7.15	1.11	c	a	b	c	b	1.35	1.35	5.91	9.39	2.78	a	b	a	b	a	6.84	6.84	7.31	3.57	8.25	c	b	b	a	b	0.61	9.16	5.3	5.63	4.97	b	a	c	a	c	6.06	5.62	2.81	4.17	7.76	a	b	a	a	a
x12	4.01	3.27	6.84	1.33	8.48	c	c	b	c	c	8.06	1.13	0.72	3.32	7.91	a	c	c	a	c	0.74	2.85	0.72	3.32	7.91	b	a	c	c	a	7.79	7.32	0.72	3.32	7.91	c	c	b	c	b	3.54	9.84	0.72	3.32	7.91	a	a	a	a	c	8.65	1.14	1.07	2.33	2.73	b	a	a	c	a
x13	4.25	5.21	0.3	7.04	6.67	c	c	c	a	a	2.87	6.19	2.42	6.4	5.76	c	b	b	b	a	7	7.89	4.32	7	9.09	b	a	c	c	c	4.51	1.07	6.46	4.51	7.16	b	a	b	c	c	3.37	7.92	9.54	6.79	9.34	c	a	a	a	b	5.27	1.86	3.79	1.44	5.09	c	b	a	b	b
x14	7.21	7.21	1.11	6.03	3.09	a	c	b	a	a	2.12	2.12	7.89	0.61	2.13	a	b	b	b	a	1.35	1.35	0.97	7.84	0.38	a	a	a	b	a	6.84	6.84	6.85	5.79	9.94	b	a	a	b	a	0.5	5.83	3.99	2.89	5.29	a	c	b	c	c	2.81	3.46	5.46	2.74	6.87	c	c	a	b	c
x15	6.25	7.82	0.6	1.31	3.05	c	b	a	b	c	9.21	7.22	0.72	3.32	7.91	b	b	b	c	a	2.38	5.2	0.72	3.32	7.91	b	c	c	a	b	3.98	8.42	0.72	3.32	7.91	c	c	b	c	b	5.9	2.9	0.72	3.32	7.91	b	a	c	c	b	4.09	5.42	9.63	7.43	5.16	c	b	b	c	c
x16	1.55	3.13	8.99	5.65	1.78	a	a	c	a	c	6.97	4.25	0.02	9.54	8.83	c	b	c	b	b	7	1.97	5.95	7	3.8	b	b	b	c	c	4.51	5.84	0.12	4.51	3.95	b	a	c	c	c	6.98	3.33	6.01	4.57	8.03	c	c	c	a	c	4.58	0.91	4.13	1.18	2.28	a	c	a	a	b
x17	9.63	8.29	8.58	9.56	6.01	a	b	c	b	a	5.83	4.35	4.82	8.31	2.61	c	c	a	a	a	9.37	4.35	5.62	8.31	2.61	c	c	a	b	a	4.02	4.35	3.89	8.31	2.61	b	c	a	a	b	6.81	4.35	1.54	8.31	2.61	c	c	a	a	b	9.21	6.36	2.85	2.69	8.47	a	a	a	c	b
x18	1.63	2.61	9.78	0.13	5.34	a	b	a	a	b	3.82	0.97	2.21	9.86	5.84	a	c	c	b	c	7	1.86	6.69	7	1.12	b	a	c	c	c	4.51	3.15	7.56	4.51	2.1	b	a	a	c	c	7.92	8.56	0.12	8.37	0.97	c	a	a	a	c	4.73	9.16	9.83	9.88	4.11	a	a	b	a	a
