X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	0.75	6.83	0.41	8.56	4.9	1.4	7.68	8	9.87	4.74	c	c	b	b	b	b	c	a	c	c	8.81	3.83	9.37	8.96	8.65	8.57	6.37	4.1	9.62	8.79	b	c	a	a	c	c	a	c	b	c	2.3	9.3	8.07	8.38	4.42	0.68	4.65	3.31	3.96	6.66	a	a	a	b	c	b	c	b	b	a	1.78	0.87	5.35	1.63	1.16	2.94	6.28	3.46	6.28	3.8	c	c	b	c	a	b	a	a	c	a
x1	5.77	8.51	5.77	0.12	8.21	6.59	1.59	8.07	9.98	6.36	b	c	b	a	b	b	b	b	c	c	5.77	8.51	5.77	7.48	1.51	2.25	1.59	1.36	2.39	7.41	a	a	a	a	a	a	b	a	c	c	6.11	8.7	7.9	7.43	2.62	3.98	4.54	9.99	4.22	8.1	c	c	b	b	b	c	a	b	b	c	3.93	7.94	0.45	4.22	3.93	5.71	6.12	1.08	6.57	0.54	a	c	c	a	c	b	c	c	c	b
x2	3.21	6.81	8.58	5.41	5.17	4.54	9.86	6.65	0.16	1.34	b	c	c	a	c	b	c	a	a	c	0.58	6.59	0.58	6.04	0.58	7.39	3.28	0.58	6.15	2.63	c	c	a	b	c	a	b	b	b	b	8.31	5.38	8.31	1.29	8.31	1	7.86	8.31	3.31	9.96	c	a	a	b	c	a	a	b	c	a	8.78	9.04	7.59	0.6	7.23	8.36	0.37	2.87	7.15	7.53	c	c	c	c	a	a	c	a	a	a
x3	5.77	8.51	5.77	4.2	3.62	6.01	1.59	8.44	0.78	3.24	a	a	a	b	c	a	b	c	b	b	5.77	8.51	5.77	7.49	6.71	2.05	1.59	0.18	0.77	2.48	b	a	b	c	c	a	c	b	b	b	2.57	7.87	8.67	6.97	3.1	5.1	7.28	4.62	4.5	7.8	b	a	a	c	b	a	c	a	c	c	0.38	7.65	8.99	6.33	7.49	0.53	4.83	5.88	4.73	2.02	a	b	c	b	c	c	b	b	a	b
x4	5.77	8.51	5.77	4.73	9.34	8.19	1.59	9.04	9.68	7.75	a	a	b	b	c	b	a	a	c	c	5.77	8.51	5.77	9.25	5.88	0.84	1.59	3.73	8.62	8.4	b	c	a	c	c	c	a	c	c	b	1.9	4.48	6.11	3.27	1.62	6.5	2.68	4.51	0.36	0.37	c	c	a	a	c	b	c	a	a	c	9.68	9.77	1.07	0.3	0.97	6.56	8.08	6.27	5.13	5.62	c	b	a	a	a	b	c	b	a	c
x5	7.93	6.47	5.85	6.58	5.72	6.73	4.43	8.71	6.13	2.94	a	b	b	b	c	c	c	a	b	b	0.12	4.02	4.46	9.7	4.02	4.02	9.51	4.02	3.42	0.3	b	b	a	c	a	a	c	c	b	a	8.01	0.59	3.29	4.92	0.59	0.59	9.44	0.59	7.81	5.01	b	b	b	c	c	a	c	b	a	a	5.54	0.84	0.88	2.91	3	8.93	0.85	6.35	3.57	1.41	a	c	a	b	a	c	a	b	b	c
x6	1.09	6.09	3.8	9.93	9.93	8.84	7.2	0.96	9.93	9.93	a	b	a	c	a	b	b	b	a	a	3.51	3.17	8.38	0.23	0.23	4.62	1.94	7.76	0.23	0.23	c	b	b	c	c	c	c	c	c	c	7.61	3.7	6.62	0.53	9.35	4.61	7.8	6.8	3.01	6.77	c	c	a	c	c	b	b	b	c	a	8.36	3.16	0.17	9.43	5.25	2.37	1.49	9.79	7.73	4.29	b	c	c	c	c	c	c	b	c	b
x7	7.06	9.68	7.52	2.37	3.62	5.27	4.76	8.81	5.6	1.12	a	a	b	a	a	c	b	c	b	b	3.37	0.67	5.37	4.92	9.75	5	9.06	0.44	0.51	5.28	b	b	b	b	a	b	c	c	b	a	1.87	9.11	3.27	3.45	1.91	2.77	3.03	1.39	1.14	8.1	b	b	b	b	a	a	c	a	b	a	2.15	1.31	8.84	4.5	4.56	7.61	0.94	3.59	0.13	5.24	a	b	b	c	c	b	a	b	a	a
x8	0.48	1.91	9.75	6.79	4.08	0.78	3.07	5.31	0.72	3.56	a	b	c	c	b	a	b	a	c	b	0.55	3.4	6.43	0.64	9.22	6.09	2.69	0.07	2.34	6.07	c	a	c	b	a	c	a	b	b	b	5.69	8.12	1.92	7.03	5.79	6.68	2.11	1.93	0.85	8.62	b	c	c	a	a	a	c	a	c	a	2.86	3.46	7.43	2.45	2.38	2.07	1.92	0.01	5.92	2	b	a	a	c	c	a	c	c	a	b
x9	2.02	7.76	6.91	7.4	6.36	5.98	9.33	5.62	2.32	7.87	a	b	b	c	a	a	a	b	b	a	4.69	4.02	0.61	8.44	4.02	4.02	4.92	4.02	6.59	4.63	a	b	b	c	a	a	b	a	c	c	3.06	0.59	8.1	8.22	0.59	0.59	2.54	0.59	2.97	8.47	a	b	a	b	a	a	b	a	a	a	7.59	2.92	3.74	5.42	8.08	8.66	2.13	5.76	0.97	3	a	b	a	a	b	a	a	a	a	b
x10	5.97	7.69	3.7	8.28	2.75	3.19	7.81	4.47	6.81	3.31	a	a	b	b	a	b	a	a	a	a	8.32	4.94	2.09	4.45	1.78	5.52	0.66	5.04	8.23	7.18	c	c	c	c	c	c	a	c	b	c	8.75	7.47	1.58	5.09	0	4.61	1.53	6.37	4.65	7.4	b	c	c	b	c	b	c	b	a	c	7.99	1.3	8.24	5.33	1.52	8.38	6	7.08	4.25	3.06	b	c	b	a	c	b	b	c	a	b
