X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	3.69	0.99	0.01	4.12	7.08	a	b	a	c	c	6	6.68	7.56	9.96	1.8	c	c	b	c	c	1.56	4.74	6.79	5.1	9.57	c	a	a	a	c	2.72	0.47	7.56	5.62	0.65	c	a	a	a	b	1.25	7.61	9.8	4.35	3.48	c	b	b	a	c	5.46	4.87	6.33	4.27	1.64	c	b	c	a	c
x1	8.03	6.71	6.71	6.71	5.47	c	c	c	a	a	9.49	9.71	9.71	9.71	0.91	a	a	c	a	a	6.53	0.79	0.79	0.79	9.26	a	c	c	c	c	3.09	8.14	8.14	8.14	9.68	b	a	c	b	b	3.45	7.45	2.75	7.93	6.51	c	c	c	b	b	6.22	9.81	8.63	3.42	3.31	b	c	c	c	b
x2	8.13	8.37	1.97	2.31	4.65	b	c	b	c	a	5.29	2.17	2.25	1.43	1.12	b	a	a	b	b	1.63	8.66	7.87	4.14	7.62	a	c	b	b	c	0.91	3.1	2.25	5.23	4.14	b	c	b	c	c	2.27	3.15	3.89	6.79	2.59	a	a	a	a	c	4.91	8.21	4.89	9.4	0.54	a	a	a	a	b
x3	3.61	2.06	5	8.07	0.51	c	b	c	b	b	3.88	9	6.72	9.86	6.55	a	b	c	b	a	4.57	2.01	0.51	0.46	0.4	a	c	b	b	a	9.6	6.82	0.75	2.86	2.64	a	c	c	a	b	4.8	9.32	7.69	2.99	3.94	a	b	a	b	a	3.34	1.45	7.37	3.86	3.37	b	c	b	a	b
x4	3.51	6.46	0.3	5.92	9.52	c	a	a	b	a	3.54	1.95	4.74	5.54	3.26	b	c	b	a	b	1.94	5.28	8.84	0.79	6.9	b	c	b	a	c	6.92	0.25	1.03	3.58	2.73	b	c	b	a	c	2.57	3.53	8.22	4.34	3.29	c	b	b	a	c	4.48	1.03	3.43	3.61	7.7	c	c	a	b	c
x5	0.13	2.78	6.69	1.01	6.31	b	a	b	a	c	1.51	9.86	5.25	4.98	4.77	a	c	a	c	c	4.74	0.37	7.14	0.27	1.9	a	c	a	a	b	0.27	1.17	8.16	3.64	4.87	b	a	a	a	c	3.13	2.91	8.59	5.43	8.98	a	a	c	c	c	3	4.74	5.48	0.3	4.29	b	b	a	b	a
x6	7.16	8.99	5.95	1.98	7.48	a	b	b	b	b	7.16	5.02	6.3	5.69	7.48	a	b	c	b	b	7.16	1.62	0.6	5.25	7.48	a	c	c	b	b	7.16	4.73	7.93	4.33	7.48	a	b	c	b	b	1.98	8.77	0.38	4.11	5.82	c	b	b	c	c	5.48	4.27	1.86	8.41	1.02	a	c	a	c	b
x7	7.16	0.29	3.21	0.83	7.48	a	b	b	b	b	7.16	4.8	6.11	0.12	7.48	a	b	b	b	b	7.16	7.78	2.66	3.48	7.48	a	c	b	b	b	7.16	4.58	8.17	3.79	7.48	a	b	b	b	b	4.76	0.03	3.76	0.28	1.38	c	a	c	a	b	2.39	8.77	0.66	0.8	2.79	b	b	c	a	a
x8	7.16	2.31	4.69	7.33	7.48	a	a	a	b	b	7.16	2.22	6.1	1.99	7.48	a	b	a	b	b	7.16	5.15	5.62	8.9	7.48	a	a	b	b	b	7.16	7.8	9.63	3.83	7.48	a	b	b	b	b	7.69	2.44	1.91	1.56	3.29	c	c	b	b	b	2.27	6.59	3.71	5.52	3.42	a	a	c	c	a
x9	4.09	4.73	6.23	6.48	4.9	c	c	b	a	c	5.79	6.9	9.57	2.72	5.31	c	c	c	a	b	8.06	3.48	1.57	8.4	8.49	c	b	a	a	a	7.18	6.88	5.5	9.4	5.38	c	c	a	a	a	3.19	4.23	5.2	0.28	7.02	c	a	b	a	c	1.39	9.35	8.58	2.93	6.68	a	c	c	a	c
x10	0.99	5.13	9.3	7.75	1.34	c	b	c	b	c	2.39	9.96	6.81	2.15	5.51	c	b	a	c	b	6.79	5.33	6.68	0.02	5.52	c	c	a	b	a	0.95	2.14	8.56	4.72	3.33	c	b	c	b	b	3.87	3.32	0.49	7.45	7.93	c	c	a	b	a	6.63	8.23	3.22	3.23	0.3	a	b	c	b	c
x11	3.97	1.21	6.85	8.63	5.24	c	c	b	a	c	7.82	6.2	6.44	2.83	6.34	b	a	b	a	c	5.87	0.81	5.85	4.95	7.4	c	a	c	a	c	1.73	0.75	3.93	1.52	7.89	c	c	a	a	c	0.84	1.25	7.29	9.75	3.84	c	b	c	a	a	7.82	5.45	5.06	6.05	9.68	c	b	c	b	c
x12	2.16	7.65	9.7	9.25	1.66	b	c	b	b	b	5.65	9.28	3.51	1.99	2.31	c	b	a	b	a	8.2	9.41	9.92	3.78	0.84	a	a	c	b	a	8.2	2.49	6.14	1.11	1.05	b	a	b	a	c	5.58	0.04	1.07	1.8	5.52	b	b	a	a	a	1.62	3.81	4.45	4.34	5.2	a	a	b	c	b
x13	6.89	2.06	2.54	8.47	2.89	a	c	c	b	a	4.22	4.52	5.42	3.97	7.41	b	b	c	c	c	0.35	1.96	9.84	0.85	2.05	c	a	b	a	c	0.37	8.98	1.13	7.77	5.7	c	a	b	a	a	1.64	7.38	9.09	5.13	8.19	c	b	b	a	c	1.71	7.51	9.06	6.56	2.05	c	b	b	a	a
x14	9.81	6.32	0.94	1.93	5.58	b	c	a	b	b	6.41	4.05	9.57	9.7	6.94	b	c	a	a	b	9.19	8.67	7.44	7	1.57	c	c	a	a	c	4.18	3.91	6.3	1.69	3.45	c	b	b	c	a	0.97	0.48	5.49	4.61	1.24	a	b	b	a	b	8.21	1.46	2.33	8.91	4.85	b	a	b	c	c
x15	2.43	6.71	6.71	6.71	5.35	b	b	a	b	c	6.69	9.71	9.71	9.71	7.17	a	a	c	c	a	4.37	0.79	0.79	0.79	8.02	a	c	c	b	b	1.22	8.14	8.14	8.14	5.75	c	a	a	a	b	5.05	6.95	3.27	6.04	1.92	b	a	b	c	b	4.51	5.25	7.46	5.15	6.69	b	c	c	a	b
