X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	5.34	7.7	8.9	0.67	0.59	6.77	8.95	4.25	8.13	6.04	c	b	a	a	a	c	c	a	a	b	5.45	1.35	9.76	6.2	7.7	0.43	4.24	6.64	9.33	2.74	a	b	b	c	c	b	c	a	a	b	9.28	3.33	3.2	0.63	7.6	4.36	2.35	6.82	1.03	3	c	c	b	a	c	a	a	a	a	c	9.73	8.69	8.32	8.11	7.8	1.62	0.46	6.62	7.2	3.35	a	b	a	c	b	c	a	a	b	a
x1	1.16	8.63	5.38	0.88	2.18	1.87	2.91	0.19	8.83	1.77	c	c	b	a	b	c	b	b	c	b	6.99	2.4	9.98	7.37	0.89	9.14	6.41	0.58	4.6	8.83	c	a	c	b	c	b	b	a	c	c	7.59	3.79	3.69	0.49	6.57	3.83	5.89	4.34	8.8	8.21	a	c	b	a	b	a	a	c	a	a	7.88	1.85	0.6	5.79	6.95	0.06	0.4	2.45	7	2.33	c	c	a	c	b	a	c	a	a	a
x2	0.89	8.09	4.44	2.76	7.89	7.6	7.48	5.2	0.89	0.89	b	b	a	b	c	c	b	a	a	c	6.57	5.16	2.54	5.53	8.71	2.94	6.88	3.38	6.57	6.57	c	b	b	a	b	b	b	c	a	c	6.02	8.07	0.63	1.85	6.24	7.34	0.12	0.26	0.02	2.64	a	b	b	a	c	a	c	b	b	c	0.19	9.69	2.07	8.06	5.78	5.13	4.11	6.76	7.56	0.02	b	a	b	a	b	a	a	a	c	b
x3	0.49	0.83	2.26	9.55	7.4	9.92	1.47	7.52	4.76	9.1	a	b	b	a	b	c	a	c	c	c	7.5	0.68	4.84	7.61	7.46	0.43	5.8	5.8	4.87	4.35	a	b	c	a	a	a	b	a	b	c	4.49	0.3	5.68	2.2	3.88	9.06	6.92	6.92	8.35	9.04	a	a	c	a	c	a	a	c	b	c	0.64	3.92	3.8	5.32	1.55	2.57	2.11	5.62	5.63	6.34	c	b	b	c	a	b	a	a	b	c
x4	7.76	8.89	0.54	7.4	3.96	4.36	3.02	1.54	2.81	1.87	a	b	c	a	b	a	c	a	b	b	8.95	9.68	1.99	1.28	4.02	6	1.91	0.96	2.47	9.11	c	b	b	c	b	a	c	a	c	b	3.5	4.44	0.73	0.22	4.4	9.89	8.81	7.55	4.08	3.94	a	a	c	c	c	c	c	a	b	b	6.18	0.65	1.69	4.36	6.64	7.68	4.36	1.44	8.57	3.76	c	a	b	a	a	a	c	a	a	b
x5	2.36	7.15	5.33	4.15	6.81	4.84	4.68	6.82	8.26	0.38	b	c	a	c	c	b	c	a	c	b	9.06	7.09	1.18	5.13	5.68	7.98	7.91	9.53	8.51	4.24	a	a	a	b	c	c	b	a	a	c	3.65	5.7	7.36	0.25	7.69	6.88	3.04	2.77	9.7	1.51	b	c	b	c	a	a	a	c	a	a	6.46	4.18	6.06	3.61	7.15	5.94	4.39	7.05	6.85	8.76	a	b	a	b	a	a	c	c	b	c
x6	6.23	2.02	6.79	3.45	4.54	3.89	5.23	4.67	2.59	6.29	c	b	c	b	b	b	a	c	b	a	1.59	2.02	2.14	3.45	4.54	3.89	5.4	7.31	1.81	7.26	a	b	c	a	b	b	c	c	a	a	4.33	8.96	2.69	9.44	2.67	8.88	1.29	4.48	4.45	0.11	c	a	c	c	a	b	b	c	a	a	2.1	9.12	3.51	4.11	4.92	4.02	7.32	1.44	2.58	8.4	c	a	b	b	c	a	c	c	c	b
x7	0.93	1.3	5	2.94	1.39	7.56	3.04	5.01	9.74	7.39	b	a	a	b	c	b	b	c	c	a	0.41	7.62	2.42	2.9	6.26	1.86	7.63	4.25	4.89	6.57	a	c	b	c	b	a	c	a	a	b	4.79	6.94	8.58	6.06	9.41	2.85	1.02	3.62	8.78	7.09	b	c	a	c	b	b	b	c	c	b	0.99	9.84	3.63	0.34	4	9.91	7.01	7.31	8.08	5.26	a	c	b	a	b	b	b	c	b	b
x8	0.89	7.81	9.92	7.35	6.94	2.62	4.91	9.36	0.89	0.89	a	c	c	b	b	c	c	b	b	a	6.57	5.41	0.06	2.96	8.53	2.29	5.8	5.8	6.57	6.57	a	b	b	b	a	b	c	c	b	c	3.89	1.81	3.26	5.38	7.9	2.02	6.92	6.92	5.68	7.46	a	a	c	b	b	c	b	b	b	c	2.5	9.12	6.93	6.57	2.25	1.06	9.85	3.82	7.11	1.89	b	c	b	b	c	b	a	a	b	c
x9	1.76	5.17	1.2	3.01	6.59	7.15	3.43	0.7	1.27	0.59	c	b	c	b	b	a	b	b	c	b	2.32	8.5	8.54	6.3	2.82	3.79	9.49	6.37	4.34	5.45	a	c	a	b	b	a	c	c	b	c	4.75	9.73	0.54	3.96	6.86	4.64	4.83	2.51	8.27	8.32	a	c	a	c	a	c	a	c	a	a	5.03	1.48	2.16	4.58	3.08	4.01	1.23	4.39	8.04	4.37	b	c	b	a	c	a	b	a	c	a
