X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	4.46	4.83	0.23	1.02	9.62	2.66	8.97	9.86	9.95	9.05	c	b	a	b	a	a	b	a	b	b	8.26	6.96	1.64	2.54	3.3	8.04	9.62	5.38	4.11	2.45	c	c	a	a	b	b	a	a	b	a	6.29	3.12	1.23	9.31	8.92	2.82	7.76	0.39	3.23	3.97	b	c	c	a	c	c	c	a	b	a	9.37	7.42	2.1	3.99	8.48	2.71	3.48	0.29	1.6	9.2	b	b	a	a	b	a	b	a	b	b
x1	4.43	6.27	3.19	6.1	5.57	9.84	0.4	8.09	2.68	1.96	c	c	b	b	b	a	a	c	c	b	1.85	7.48	6.41	3.7	9.74	5.8	0.25	6.93	0.2	2.41	c	a	c	b	a	b	a	b	c	c	5.73	3.58	4.9	0.77	7.67	2.73	7.76	3.39	4.59	0.88	a	c	c	c	a	a	b	a	c	b	9.67	3.22	6.81	4.69	7.17	7.09	9.96	4.45	9.72	0.3	c	b	b	c	c	a	a	b	b	c
x2	4.35	9.76	4.23	9.03	8.4	5.85	9.45	4.26	3.94	5.42	b	a	a	c	b	a	a	c	c	b	2.11	9.76	7.46	2.57	8.2	6.3	2.78	0.04	3.94	7.48	b	a	c	b	b	a	b	c	c	b	4.86	2.87	3.63	0.13	1.73	9.59	5.02	0.3	1.69	4.94	b	c	c	a	a	b	b	b	c	b	9.65	2.32	9.36	7.91	5.91	8.04	4.26	1.88	3.74	2.03	c	a	b	c	a	c	b	b	c	b
x3	9	7.58	5.39	3.27	4.68	7.04	1.92	2.07	6.88	3.63	a	a	a	a	a	a	a	c	b	a	5.82	8.08	2.2	4.22	5.92	7.87	0.17	4.63	5.48	1.06	a	c	a	c	a	c	a	b	a	b	9.16	6.29	1.62	9.46	9.44	8.09	5.95	8.53	3.68	4.27	b	b	c	b	b	c	c	b	b	a	1.23	0.23	7.83	7.5	4.06	3.75	6.54	7.77	8.57	9.94	a	c	c	b	c	a	a	a	a	a
x4	4.64	7.08	2.07	7.59	1.83	2.07	2.38	3.46	7.91	5.12	a	a	b	b	b	c	b	b	c	a	0.8	0.2	3.41	5.7	7.6	3.35	5.62	7.28	3.75	6.4	b	a	b	b	c	c	a	c	c	a	0.23	0	9.05	8.06	5.66	6.19	6.03	4.96	0.14	5.15	b	c	b	b	a	b	a	b	b	b	6.05	3.17	3.52	5.56	2.44	9.11	6.08	4.77	2.62	9.17	b	c	b	c	b	a	a	a	b	b
x5	1.91	8.4	2.53	3.99	4.69	5.75	2.54	3.98	9.35	4.94	b	b	b	a	c	c	a	b	b	a	0.85	0.25	8.48	4.98	2.46	6.64	0.08	0.96	6.88	1.41	b	a	b	a	b	a	a	a	b	b	0.69	6.12	2.65	2.13	4.6	5.33	3.83	7.91	8.27	1.59	b	c	c	a	a	a	b	a	c	b	6.89	2.26	1.84	9.26	3.91	8.72	0.27	1.02	7.32	8.49	a	c	b	a	c	a	b	b	a	a
x6	8.78	2.22	8.82	1.8	1.78	7.25	6.89	9.95	4.31	8.26	c	b	b	a	b	b	c	c	c	b	8.04	0.46	8.3	2.15	1.87	8.9	6.18	6.26	9.7	4.74	a	b	b	c	b	b	c	b	a	b	3.24	8.96	3.67	4.16	2.37	1.4	2.11	6.19	1.27	9.1	a	b	c	a	c	a	b	c	b	c	4.99	9.22	6.95	6.77	4.93	9.15	2.21	3.45	0.74	8.89	a	b	c	c	b	a	b	a	a	c
x7	7.21	9.76	1.53	5.29	3.03	7.01	5.02	2.38	3.94	2.36	b	b	c	b	b	c	b	b	b	b	9.59	9.76	1.7	5.88	9.68	7.59	0.43	7.06	3.94	5.41	b	c	b	a	b	b	a	a	b	b	7.51	7.44	3.98	1.19	5.93	8.41	7.82	2.48	6.36	3.6	c	b	b	b	c	c	c	b	c	b	2.66	6.95	4.8	2.2	4.6	4.61	1.44	3.17	0.36	0.55	c	b	b	a	a	a	c	c	a	c
x8	9.26	4.11	0.57	6.05	5.57	9.07	2.09	7.64	3.53	8.46	c	a	c	c	c	c	b	c	a	b	7.03	6.91	6.42	9.67	8.5	7.03	1.96	7.03	4.45	7.03	b	a	c	a	b	c	b	a	b	c	1.57	0.94	4.54	3.22	5.47	1.57	5.99	1.57	9.13	1.57	b	a	c	b	a	c	a	a	c	a	8.24	8	7.63	7.14	1.32	7.74	9.36	9.29	7.78	5.5	c	c	a	a	b	a	a	a	a	b
x9	8.01	4.33	9.82	7.35	6.22	3.53	3.71	7.97	6.47	3.8	c	b	c	a	a	a	b	c	b	a	7.57	3.35	5.59	0.36	2.54	5.34	3.92	5.62	7.93	9.71	b	a	a	a	c	c	b	a	c	b	8.58	3.05	0.43	9.83	8.08	8.73	4.55	8.46	7.87	6.55	b	a	b	c	b	c	a	c	a	b	1.26	4.38	0.85	3.71	6.45	0.92	9.9	6.19	9.22	4.64	b	c	c	c	b	c	a	a	b	c
x10	7.95	5.64	5.9	3.44	9.24	3.36	1.71	5.5	4.92	5.76	a	a	b	c	c	a	b	c	c	c	5.68	6.59	6.46	3.02	5.05	0.35	8.33	5.11	2.6	4.8	c	c	c	c	b	b	a	c	c	b	0.54	9.52	3.38	7.99	4.79	9.36	8.44	1.45	0.58	5.02	c	a	a	b	a	a	b	c	c	c	6.57	1.28	7.21	6.53	2.74	8.83	6.19	3.53	1.55	2.98	a	a	b	c	a	a	c	a	b	b
