X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	5.57	1.61	1.92	1.69	3.01	b	c	a	b	c	6	0.54	3.77	7.18	1.21	c	c	a	a	b	2.11	1.72	9.19	2.02	8.47	a	b	b	a	c	2.33	7.24	0.52	5.24	4.22	b	a	c	c	c
x1	1.47	8.73	2.99	1.47	1.47	c	c	a	a	b	4.93	8.44	6.23	4.93	4.93	c	c	a	b	c	3.49	0.29	7.8	3.55	4.76	a	b	a	b	a	4.22	3.24	2.4	1.43	7.22	a	c	b	a	c
x2	6.66	5.95	8.05	0.99	6.04	c	a	a	b	c	5.51	9.99	7.42	7.18	3.57	c	a	b	a	c	5.49	2.06	6.74	1.4	2	b	b	a	c	c	4.03	1.77	6.91	2.62	2.28	a	c	a	b	c
x3	1.55	8.58	1.01	8.32	3.58	c	c	c	b	b	3.41	1.37	3.69	3.63	2.96	a	a	c	a	a	3.68	4.74	9.42	2.06	5.56	c	a	c	c	c	1.66	7.27	2.91	5.86	1.53	b	c	a	c	c
x4	7.58	9.54	9.97	8.44	1.46	c	b	a	a	c	4.59	3.83	1.13	8.07	0.64	b	b	a	c	a	3.17	9.9	4.82	6.92	2.83	b	b	b	b	c	1.58	0.7	6.2	5.94	4.41	c	c	c	c	b
x5	6.4	1.37	8.4	1.85	8.88	c	c	a	b	a	0.15	2.47	5.45	8.48	7.77	c	b	c	a	a	6.85	7.44	8.88	4.02	4.12	c	a	c	c	b	2.85	8.52	5.09	0.2	4.94	b	a	c	a	a
x6	2.57	5.67	1.62	3.84	0.7	a	c	c	a	b	0.46	5.67	0.6	3.84	7.51	b	c	b	a	b	4.41	4.02	3.9	5	0.75	a	b	b	a	a	5.68	3.37	7.96	6.2	1.38	a	a	b	c	c
x7	1.65	4.24	3.11	9.8	4.51	a	c	a	b	b	6.96	9.11	1.86	8.73	5.72	b	a	b	b	c	2.68	7.79	6.4	9.18	1.12	b	a	c	c	c	1.98	7.41	2.74	2.01	4.49	a	c	c	a	b
x8	1.09	0.35	9.22	7.1	2.51	b	c	a	a	b	6.36	7.81	0.97	8.03	3.72	c	a	c	c	c	5.74	1.62	3.01	6.36	9.76	b	b	a	a	a	9.96	7.88	7.93	2.97	1	c	b	b	c	a
x9	0.18	9.88	8.29	1.89	8.6	a	c	a	b	b	2.07	7.52	7.91	9.59	1.62	a	a	a	a	c	9.01	1.1	1.52	0.74	5.68	b	a	a	c	c	3.51	2.03	6.66	6.28	7.48	c	c	b	a	c
x10	5.14	9.41	5.14	0.87	5.14	a	a	b	c	a	1.05	0.62	1.05	2.99	1.05	c	a	c	b	a	0.12	3.81	9.56	7.18	5.01	a	b	c	a	c	0.21	8.85	3.2	7.36	2.4	c	c	b	c	c
x11	2.79	0.94	1.31	4	3.94	c	a	a	b	a	0.64	5.38	6.75	2.34	7.88	b	c	c	c	a	6.44	1.36	3.82	3.17	3.61	c	a	b	b	b	2.76	1.11	9.56	6.22	4.42	c	b	a	a	b
x12	3.83	2.78	7.98	7.82	7.81	b	c	c	b	c	1.18	4.9	4.5	6.09	7.8	b	b	c	c	a	9.81	3.69	4.77	5.43	6.14	b	b	a	b	b	4.78	7.04	1.27	2.63	3.11	a	b	c	b	a
x13	1.47	2.47	8.6	1.47	1.47	c	c	a	c	b	4.93	0.55	2.64	4.93	4.93	c	c	a	a	c	2.13	5.29	9.67	0.06	6.82	b	a	c	b	a	2.77	3.16	9.17	1.59	7.67	a	a	b	c	b
x14	6.03	0.45	9.33	6.51	7.38	b	b	b	b	a	1.21	3.98	0.04	2.26	1.28	c	c	a	c	c	5.9	5.83	2.97	2.49	3.36	c	a	a	c	b	3.1	2.85	7.49	5.12	0.12	c	c	a	a	a
x15	2.11	1.16	5.15	5.13	6.74	a	a	c	b	a	6.14	3.81	1.29	7.22	2.73	a	a	c	c	a	9.94	1.29	4.89	8.91	1.24	b	c	a	b	c	2.95	4.1	1.76	5.1	1.91	b	b	c	a	b
x16	4.65	9.38	7.2	7.58	2.88	c	c	b	b	b	4.63	0.38	6.53	9.35	6.53	a	a	c	c	c	5.06	5.29	9.95	2.83	7.71	b	a	a	c	a	1.27	7.55	8.44	4.24	0.66	c	b	c	b	b
x17	1.47	1.93	8.06	1.47	1.47	c	c	a	a	c	4.93	1.22	2.33	4.93	4.93	c	c	a	a	a	9.95	0.34	9.51	0.74	2.76	c	b	c	b	a	1.79	2.56	9.96	9.78	1.9	c	a	b	a	b
x18	1.47	2.19	6.83	1.47	1.47	c	c	a	c	c	4.93	1.94	6.5	4.93	4.93	c	c	a	a	c	7.24	6.21	9.53	7.12	9.65	b	c	a	c	a	3.37	6.66	7.76	6.25	3.27	c	a	c	c	b
x19	5.14	4.55	5.14	2.82	5.14	c	a	c	c	b	1.05	8.29	1.05	8.7	1.05	a	a	b	c	b	4.16	1.78	5.99	1.21	3.83	b	b	a	b	b	5.43	7.95	7.57	3.36	3.1	c	c	b	c	c
x20	5.14	1.25	5.14	5.72	5.14	b	a	c	c	b	1.05	5.82	1.05	0.34	1.05	a	a	a	a	a	5.89	6.46	1.04	1.23	3.79	b	b	a	b	b	6.3	7.58	9.14	6.97	9.55	a	b	c	a	b
x21	3.63	0.45	1.67	6.24	8.03	b	c	c	a	c	0.06	5.57	4.24	5.57	9.02	a	c	b	a	b	0.02	7.97	2.75	3.44	2.31	a	b	b	a	c	3.76	8.45	1.58	6.43	9.98	a	b	c	b	a
x22	1.47	7.11	1.14	1.47	1.47	c	c	a	c	b	4.93	6.86	7.95	4.93	4.93	c	c	a	a	c	6.37	1.08	0.66	9.27	1.82	a	c	c	c	c	4.68	9.32	7.26	0.12	6.56	a	b	a	a	b
x23	5.14	7.5	5.14	1.66	5.14	b	a	a	a	a	1.05	3.52	1.05	8.35	1.05	a	b	a	a	a	3.15	2.61	5.55	3.34	1.46	c	a	b	c	a	2.26	6.13	2.88	5.96	1.05	c	b	a	c	c
x24	4.06	8.33	8.85	8.43	9.2	a	b	b	a	b	4.1	0.22	1.31	9.63	5.77	b	a	a	a	b	6.33	7.41	9.75	4.44	4.27	b	c	c	c	b	1.08	3.37	2.51	4.31	1.66	c	b	c	b	b
x25	1.47	9.61	2.38	1.47	1.47	c	c	a	a	a	4.93	7.09	9.4	4.93	4.93	c	c	a	c	c	6.89	2.47	7.72	3.91	2.18	c	b	b	a	c	4.04	3.07	8.97	6.57	2.27	b	b	b	b	c
x26	1.47	5.54	8.56	1.47	1.47	c	c	a	a	c	4.93	7.8	8.45	4.93	4.93	c	c	a	a	c	1.18	7.45	7.04	8.19	3.11	c	b	a	b	a	0.52	8.86	8.13	5.75	3.98	c	b	c	c	c
x27	5.14	3.62	5.14	9.64	5.14	c	c	b	b	a	1.05	8.99	1.05	5.44	1.05	a	a	c	a	b	0.5	8.48	2.23	7.51	2.73	c	b	c	b	a	5.76	7.42	6.56	0.47	7.2	a	b	c	c	a
x28	1.47	5.1	8.76	1.47	1.47	c	c	a	a	c	4.93	0.12	5.44	4.93	4.93	c	c	a	a	b	0.16	9.08	7.62	3.75	0.64	a	a	c	a	a	8.78	3.63	4.34	9.79	2.86	c	a	a	a	a
x29	5.14	8.15	5.14	9.86	5.14	c	a	a	a	b	1.05	4.45	1.05	6.01	1.05	a	b	a	a	c	1.59	8.84	1.19	1.68	5.69	a	a	a	c	b	3.42	9.03	1.07	3.56	3.13	a	c	b	a	c
x30	1.47	6.35	8.56	1.47	1.47	c	c	a	b	c	4.93	1.77	7.39	4.93	4.93	c	c	a	b	b	1.37	6.77	8.52	0.96	4.56	a	c	c	a	b	3.93	8.66	3.87	6.64	5.04	c	a	b	b	c
x31	9.94	8.54	7.85	5.03	3	b	c	b	a	b	7.84	0.92	4.75	8.42	0.41	b	b	a	a	a	5.47	9.21	8.8	4.2	8.82	a	c	a	b	a	8.09	6.8	7.24	0.89	4.99	c	c	c	b	a
x32	5.71	2.82	7.13	7.12	4.17	b	b	b	a	b	4.42	4.63	1.86	1.18	0.16	b	c	b	b	b	9.06	7.8	7.6	9.42	4.88	a	b	c	c	a	8.18	4.42	5.84	9.54	7.86	c	a	a	b	a
x33	4.61	6.84	5.45	7.97	5.85	c	c	a	a	c	8.74	0.5	8.75	4.34	8.88	b	a	b	a	c	8.96	3.27	1.41	9.31	5.35	b	b	b	c	a	0.43	0.58	0.55	8.53	2.21	a	b	b	c	b
x34	4.26	0.57	8.05	4.56	3.94	a	b	a	a	c	6.76	4.92	9.15	9.2	7.71	c	b	a	c	b	6.95	4.21	8.3	1.31	0.81	c	b	a	c	b	8.37	9.43	4.71	0.81	4.94	b	a	c	a	b
x35	1.47	7.58	8.92	1.47	1.47	c	c	a	b	c	4.93	0.06	6.09	4.93	4.93	c	c	a	a	c	1.68	9.02	4.36	1.92	8.87	a	a	c	c	b	6.67	6.56	9.52	9.65	1.11	b	a	b	b	c
x36	8.06	5.44	7.04	9.89	2.83	c	c	a	b	c	8.34	4.27	0.56	4.95	9.49	a	a	c	a	b	1.54	8.75	1.41	5.47	1.09	a	a	a	a	c	1.96	9.16	5.77	6.5	7.39	b	c	c	a	a
x37	1.47	3.41	7.05	1.47	1.47	c	c	a	c	c	4.93	9.15	5.08	4.93	4.93	c	c	a	a	a	0.29	4.55	6.63	8.43	9.49	b	b	b	b	c	6.54	9.87	3.7	6.87	3.35	b	c	b	b	b
x38	4.23	4.07	2.29	0.63	8.61	b	c	a	a	a	9.79	8.32	9.8	7.93	3.23	c	c	c	a	a	1.24	1.38	1.2	5.37	6.13	c	c	b	b	a	5.59	8.85	4.75	0.37	2	a	c	b	b	b
x39	4.87	9.66	9.22	6.03	0.58	b	a	c	b	c	4.61	1.2	0.47	6.06	4.37	b	c	a	a	c	3.31	8.03	2.16	3.65	6.11	a	b	b	c	c	1.69	1.61	1.62	8.07	5.76	a	a	c	c	a
x40	6.33	9.91	8.54	7.33	1.27	b	b	b	b	c	9.53	7.79	0.48	6.69	8.17	c	c	a	c	c	8.03	8.82	2.37	2.91	0.78	c	c	a	c	a	0.75	2.7	2.08	5.18	9.1	a	b	c	b	c
x41	1.47	4.11	7.39	1.47	1.47	c	c	a	b	a	4.93	8.77	8.06	4.93	4.93	c	c	a	c	b	1.77	2.85	3.29	1.54	9.26	a	c	c	b	c	7.44	1.66	1.06	6.97	9.78	a	b	a	a	c
x42	1.47	5.39	4.33	1.47	1.47	c	c	a	a	c	4.93	9.66	9.14	4.93	4.93	c	c	a	b	c	7.25	0.2	6.86	3.56	4	a	c	a	b	c	7.2	3.57	8.12	1.39	5.19	c	b	a	b	a
x43	3.66	1.42	2.78	2.41	4.55	b	c	c	b	a	3.92	1.04	2.87	3.84	0.68	c	a	b	b	c	3.35	1.44	5.93	5.22	7.26	c	b	c	b	c	6.11	0.73	8.83	8.63	2.73	a	c	c	a	a
