X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	1.24	8.09	7.21	8.09	8.09	b	b	b	c	c	2.6	5.39	1.81	5.39	5.39	c	b	a	a	b	7.51	6.13	3.45	9.02	5.22	a	a	b	b	a	8.18	0.53	6.36	5.85	3.73	b	a	a	b	b
x1	8.7	3.04	4.67	6.5	0.83	a	b	b	b	c	3.95	6.26	4.37	3.46	6.89	c	a	c	c	c	9.74	7.2	4.37	0.89	6.89	c	a	b	c	c	4.3	0.96	7.79	0.98	1.22	b	b	a	a	a
x2	6.56	7.34	0.21	7.98	3.8	c	b	a	c	c	4.35	2.47	3.66	7.98	3.8	b	c	c	b	c	3.98	4.9	9.52	5.74	8.48	b	a	a	b	b	9.69	5.07	9.72	6.99	7.58	c	b	b	a	c
x3	9.08	5.37	9.08	9.08	5.54	a	b	a	b	b	2.96	8.4	2.96	2.96	4.68	c	a	a	a	a	2.55	9.52	8.48	6.16	4.29	a	a	b	b	c	8.56	9.77	2.76	5.47	0.87	a	a	b	a	c
x4	6.86	8.09	5.38	8.09	8.09	b	b	a	b	b	7.31	5.39	1.83	5.39	5.39	b	b	a	a	a	6.36	3.14	3.48	9.38	1.73	b	b	c	c	a	9.26	6.43	4.7	4.12	9.42	b	b	a	a	b
x5	4.84	5.21	4.83	7.98	3.8	c	a	c	a	b	4.76	1.73	1.47	7.98	3.8	a	b	b	b	a	4.65	3.99	5.35	1.85	5.58	c	a	b	a	a	2.5	2.96	7.51	2.35	2.34	a	a	a	a	c
x6	4.07	5.36	0.81	3.08	7.41	a	c	b	c	a	5.82	7.67	4.37	1.84	6.89	a	a	b	c	c	9.55	2.52	4.37	2.52	6.89	b	a	b	c	c	4.34	5.48	8.89	5.8	9.63	b	c	a	b	a
x7	9.06	7.95	7.91	7.98	3.8	b	c	c	b	c	0.01	7.41	0.04	7.98	3.8	b	b	c	a	c	7.69	3.03	9.79	6.51	9.13	b	c	c	b	b	0.49	4.1	9.02	2.63	6.79	a	b	a	a	a
x8	9.08	1.59	9.08	9.08	5.31	c	b	b	a	b	2.96	0.24	2.96	2.96	4.14	c	c	c	c	b	1.1	4.29	9.93	4.12	0.17	b	b	c	b	c	0.4	3.94	6.86	2.28	7.75	a	b	b	c	a
x9	4.77	8.09	8.68	8.09	8.09	b	a	b	c	a	9.48	5.39	4.4	5.39	5.39	a	c	a	c	c	6.96	6.92	0.14	2.57	9.87	a	a	a	b	c	0.95	9.89	0.52	1.03	5.31	c	b	b	b	a
x10	4.08	4.48	2.37	7.98	3.8	b	a	a	b	a	9.88	8.46	3.08	7.98	3.8	b	b	a	c	b	6.16	7.13	8.69	1.22	6.43	c	c	c	a	a	9.96	9.11	2.96	7.44	3.05	b	a	a	a	c
x11	0.39	7.24	3.66	2.14	9.32	a	a	a	b	c	3.74	1.01	4.37	9.72	6.89	a	a	a	c	c	5.78	9.34	4.37	3.17	6.89	c	a	c	c	c	7.66	9.71	2.07	1.58	1.14	c	b	c	a	c
x12	4.71	7.92	5.36	7.98	3.8	b	a	c	a	b	8.58	1.6	7.21	7.98	3.8	a	c	a	b	c	8.99	3.96	3.84	5.09	6.03	c	a	b	c	b	4.94	2.39	3.33	4.25	9.29	c	b	b	c	b
x13	9.25	1.97	5.11	4.8	7.49	a	b	c	c	a	8.38	2.68	2.09	8.37	0.26	a	a	b	b	b	5.15	2.43	1.14	2.46	3.01	a	b	b	c	c	0.56	4.56	4.9	2.79	3.97	b	a	b	b	a
x14	9.08	8.31	9.08	9.08	0.63	a	a	b	a	a	2.96	8.26	2.96	2.96	2.79	b	b	b	a	b	4.21	8.99	2.37	7.87	8.65	c	a	b	a	c	9.87	2.22	0.01	3.97	8.18	c	a	a	b	c
x15	7.76	5.19	7.43	9.62	8.59	a	a	a	a	a	9.75	1.27	4.37	1.74	6.89	a	a	a	c	c	9.52	6.41	4.37	2.99	6.89	b	a	a	c	c	2.93	8.09	6.53	0.64	5.92	c	c	b	c	a
x16	2.79	3.6	1.26	8.07	6.3	c	b	c	a	b	6.86	6.3	6.42	4.11	4.41	b	a	c	c	b	0.5	9.97	8.55	3.98	5.55	c	b	a	a	c	9.47	1.84	3.04	4.07	0.58	b	b	a	b	c
x17	4.49	8.9	8.11	7.98	3.8	c	c	b	b	c	6.43	2.5	3.28	7.98	3.8	b	a	c	b	c	3.83	9.33	7.8	4.88	1.21	b	c	b	a	c	6.6	9.22	0.74	3.66	4.27	b	a	c	c	a
