X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	8.83	9.55	4.86	9.23	7.72	b	a	b	a	a	8.75	3.19	4.86	9.23	7.72	b	a	a	b	a	2.19	3.83	5.58	7.25	9.11	a	c	a	c	b	6.44	3.53	0.99	7.61	9.33	b	a	c	a	a
x1	0.23	1.1	4.86	9.23	7.72	b	a	a	b	a	3.25	4.44	4.86	9.23	7.72	b	a	c	a	a	1.49	6.28	7.44	2.89	1.8	a	c	c	b	c	8.23	3.5	8.78	9.96	3.29	a	a	b	b	a
x2	8.88	8.33	3.47	4.86	5.7	b	a	b	c	c	1.65	7.59	0.51	0.24	6.28	a	b	a	c	b	8.07	7.59	5.06	0.24	3.79	c	a	a	b	b	7.78	6.77	2.36	3.35	1.16	a	b	a	c	a
x3	3.33	7.65	6.07	4.72	7.85	c	c	c	a	c	2.2	1.59	6.85	8.4	0.52	c	c	b	b	b	2.2	1.59	6.85	8.4	0.52	c	c	a	b	b	8.45	1.64	4.43	5.89	9.39	b	a	c	b	c
x4	4.6	2.21	9.38	3.46	8.06	b	a	a	a	c	9.05	5.9	3.98	0.5	8.56	b	b	a	b	b	0.61	0.61	3.36	5.86	2.78	a	a	b	c	a	1.74	1.09	9.25	1.04	4.53	b	b	c	c	c
x5	9.68	7.8	7.36	6.17	2.09	a	a	c	b	c	2.2	8.02	6.85	1.25	1.23	b	a	c	b	a	2.2	8.15	6.85	2.71	7.29	a	b	c	b	a	5.06	0.62	8.1	0.77	2.69	c	a	c	a	a
x6	0.47	8.51	9.9	7.43	8.09	c	b	b	a	c	2.13	1.59	0.65	8.4	0.52	c	b	a	b	b	5.56	1.59	3.89	8.4	0.52	c	b	a	b	b	9.17	3.06	8.34	1.3	8.22	c	a	b	a	a
x7	7.03	4.07	8.04	1.59	0.14	b	c	a	a	b	1.7	2.61	2.61	5.6	0.09	c	c	b	a	b	5.84	2.61	2.61	5.43	8	c	b	c	c	b	9.17	0.3	2.94	7.43	3.61	c	a	c	a	b
x8	1.99	5.13	1.56	0	7.65	c	a	a	a	a	2.2	9.88	6.85	1.46	9.98	b	a	a	c	b	2.2	8.19	6.85	1.32	3.85	b	c	c	c	b	8.38	1.98	9.75	4.59	7.83	c	b	c	a	c
x9	4.39	9.27	4.88	8.1	2.74	c	b	b	c	a	8.25	6.66	7.35	1.53	4.76	b	c	c	c	c	6.14	9.76	6.57	2.36	0.63	b	b	b	c	c	5.81	7.51	5.57	1.67	0.11	b	c	b	c	b
x10	8.71	8.97	4.31	0.32	7.41	c	b	b	b	a	2.2	7.75	6.85	5.99	5.88	a	c	c	b	b	2.2	4.54	6.85	7.48	4.71	b	b	b	a	c	3.22	9.56	4.75	7.63	8.48	a	a	a	a	b
x11	9.58	0.76	6.57	4.62	0.25	b	b	c	c	a	7.15	7.59	9.03	0.24	2.84	c	c	b	a	a	6.24	7.59	7.55	0.24	2.2	b	b	c	b	b	9.11	5.81	1.88	9.01	4.06	c	b	a	b	c
x12	9.52	6.43	4.86	9.23	7.72	b	a	a	c	a	1.11	8.16	4.86	9.23	7.72	b	a	c	b	a	1.55	0.18	4.15	7.67	9.14	c	c	a	b	c	7.96	3.72	5.33	8.36	0.64	c	b	a	b	c
x13	9.64	9.45	9.68	8.6	9.91	c	c	a	b	b	2.2	6.51	6.85	9.66	6.64	c	b	a	b	b	2.2	3	6.85	0.89	9.63	b	a	a	c	c	3.54	0.12	8.35	6.96	7.11	b	c	b	b	a
x14	1.49	8.99	4.41	9.05	1.79	c	c	b	b	c	2.2	6.4	6.85	3.61	4.97	a	c	b	c	a	2.2	0.32	6.85	3.32	5.56	b	a	c	b	a	7.7	3.29	2.83	7.66	1.54	c	a	c	b	b
x15	4.11	8.8	4.86	9.23	7.72	b	a	b	b	a	1.28	5.08	4.86	9.23	7.72	b	a	b	b	a	2.47	5.58	7.52	1.01	2.84	b	c	a	a	b	5.91	7.41	5.97	6.82	7.21	a	b	b	a	a
x16	3.21	0.42	1.24	2.82	3.9	c	b	c	b	b	9.62	1.59	9.32	8.4	0.52	c	c	a	b	b	0.52	1.59	6.41	8.4	0.52	c	b	b	b	b	5.29	2.86	1.07	3.93	1.3	a	b	b	c	c
x17	4.85	9.57	9.8	3.4	8.78	a	c	c	c	c	2.2	9.05	6.85	7.83	2.1	b	c	b	c	b	2.2	2.78	6.85	1.89	3.54	b	b	b	c	a	7.26	6.34	9.75	6.32	9.82	a	c	c	a	b
x18	5	4.21	4.86	9.23	7.72	b	a	a	c	a	1.17	7.39	4.86	9.23	7.72	b	a	c	c	a	1.17	6.66	4.44	0.46	3.24	b	b	c	b	a	7.38	3.17	9.56	8.15	9.96	a	b	c	b	a
x19	3.18	1.8	5.81	1.91	3.95	a	a	b	a	c	7.56	7.23	4.66	1.4	6.42	b	c	c	a	c	5.08	8.12	3.59	9.13	5.54	b	a	b	c	c	2.9	5.66	0.4	1.41	2.74	c	a	b	b	c
x20	5.82	9.66	4.56	8.17	2.88	c	c	c	c	c	2.2	7.59	6.85	0.24	4.65	a	c	a	a	c	2.2	7.59	6.85	0.24	9.4	b	b	b	c	a	3.83	2.95	2.24	8.63	5	c	b	a	b	b
x21	3.7	4.46	2.74	6.38	3.17	b	a	c	c	c	8.74	0.74	4.7	0.16	7.17	b	c	a	c	a	8.47	8.41	0.3	8.58	8.48	b	b	b	c	c	2.71	1.29	1.57	4.75	4.9	c	c	a	b	c
x22	7.92	8.88	2.38	0.61	0.33	c	a	b	c	c	2.2	1.48	6.85	9.95	9.94	b	c	a	c	b	2.2	7.68	6.85	9.51	5.08	b	a	a	c	c	6.57	1.36	7.82	4.84	4.35	a	b	a	c	c
x23	5.08	9.63	8.09	8.58	7.08	b	b	b	a	c	5.04	9.78	2.15	3.88	0.32	a	c	a	b	a	1.18	8.77	0.64	7.57	1.68	a	b	a	a	c	3.67	2.28	8.59	0.39	0.33	a	b	a	b	a
x24	7.19	0.65	2.15	6.32	2.04	c	b	c	c	c	6.35	2.61	2.61	6.03	9.77	c	c	a	b	b	0.38	2.61	2.61	9.96	2.21	c	c	b	a	b	1.4	8.27	8.53	8.61	0.24	a	a	a	b	c
x25	7.36	4.27	1.76	7.32	3.4	a	c	a	a	c	1.7	7.59	2.6	0.24	8.78	b	c	c	c	b	8.45	7.59	8.35	0.24	6.82	b	b	c	c	b	8.45	2.97	2.26	9.9	2.26	a	c	c	b	c
x26	7.27	3.09	8.83	2.14	5.91	b	b	c	c	b	2.2	4.09	6.85	8.66	3.33	c	b	c	b	a	2.2	3.74	6.85	6.76	5.24	a	a	b	b	b	4.36	6.39	5.37	9.13	7.07	a	c	b	b	a
x27	3.38	8.63	1.01	3.26	8.16	a	a	a	c	b	0.22	7.59	4.55	0.24	7.27	b	a	c	c	a	8.53	7.59	8.86	0.24	9.38	b	a	a	c	a	2.13	9.55	7.85	4.18	6.91	c	c	c	c	c
