X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	2.07	1.87	0.69	2.28	2.07	a	b	a	c	a	9.39	5.17	2.71	0.84	9.39	a	a	c	c	a	6.83	3.26	8.65	9.11	6.04	c	b	b	b	b	0.15	9.96	6.74	4.18	3.6	a	a	a	c	c
x1	2.03	3.2	7.99	0.06	0.95	a	c	c	c	a	3.3	4.41	9.45	0.27	7.42	b	b	a	c	a	8.62	1.69	4.56	1.31	7.65	b	b	c	c	a	4.62	4.48	4.61	6.79	0.24	c	b	a	c	c
x2	5.22	4.73	8.86	7.22	3.12	b	b	b	b	b	5.36	9.74	5.45	3.54	1.11	b	b	a	a	b	5.62	0.12	6.69	2.65	5.65	b	b	a	c	a	4.2	5.87	5.81	9.13	5.53	b	b	a	a	a
x3	1.18	7.67	8.56	9.57	1.78	a	c	a	a	a	2.48	6.62	6.62	6.76	8.37	a	a	b	a	a	8.69	0.11	0.11	9.48	9.05	a	a	b	c	b	0.1	2.01	4.99	4.72	9.99	a	b	b	b	b
x4	2.06	2.48	3.34	0.18	1.17	b	b	c	b	c	4.99	6.62	6.62	7.17	8.01	a	a	b	c	a	5	0.11	0.11	1.6	6.58	a	a	b	c	b	9.32	8.54	9.6	4.18	5.13	c	c	c	b	a
x5	2.07	1.74	9.53	6.6	2.07	a	c	b	c	a	9.39	0.67	3.18	6.2	9.39	a	c	c	b	a	3.03	2.66	0.95	9.7	9.41	a	a	b	c	b	6.89	6.6	9.87	7.69	6.84	c	c	b	a	c
x6	7.65	1.07	2.45	2.49	4.94	a	a	a	a	a	1.68	4.8	1.56	6.26	4.87	c	c	b	c	c	8.66	0.9	6.59	9.85	1.34	b	c	c	c	a	3.19	5.58	9.92	9.9	8.5	c	c	a	c	a
x7	2.07	5.08	8.1	2.88	2.07	a	a	c	b	a	9.39	3.29	4.94	3.97	9.39	a	c	c	c	a	6.72	6.56	3.26	6.14	6.24	b	b	c	b	c	7	7.38	0.31	5.21	5.66	a	c	a	a	c
x8	7.97	3.85	4.47	4.73	8.3	a	c	c	c	a	2.6	6.62	6.62	4.86	7.74	a	a	b	c	c	2.24	0.11	0.11	7.83	3.77	a	a	b	b	c	9.34	5.88	6.25	4.62	3.16	a	c	c	c	a
x9	1.23	9.45	0.29	5.91	1.43	a	c	a	b	c	1.62	6.62	6.62	4.28	4.34	a	a	b	a	c	5.78	0.11	0.11	4.35	1.27	a	a	b	b	a	7.54	9.92	4.08	9.77	5.48	b	a	c	c	b
x10	5.9	5.26	5.17	4.86	2.8	a	c	a	b	c	0.56	6.62	6.62	6.86	4.63	a	a	b	b	b	0.23	0.11	0.11	6.28	5.18	a	a	b	a	b	8.04	2.03	8.25	8.36	6.15	b	a	b	b	a
x11	1.84	1.17	9.25	8.48	9.44	b	c	a	c	c	2.29	6.9	0.01	0.91	3.97	a	a	c	a	a	3.87	9.85	7.83	0.87	7.71	b	c	b	c	a	7.87	1.75	1.03	2.66	8.52	b	a	a	c	b
x12	4.88	6.79	3.21	1.77	0.71	c	b	c	a	a	4.98	6.72	4.98	9.68	4.98	a	b	a	b	a	1.94	6.19	1.94	7.7	1.94	a	a	a	b	a	6.19	0.31	1.4	8.84	6.49	b	b	b	a	b
x13	6.25	9.12	9.83	2	2	b	a	c	c	c	9.64	1.83	7.55	2.09	2.09	a	b	a	b	b	5.92	9.11	1.11	8.8	5.35	a	c	c	a	b	3.97	4.49	3.04	1.56	1.27	c	b	b	c	a
x14	2.19	6.52	2.35	2	2	c	a	b	c	b	8.5	8.5	8.5	2.09	2.09	c	a	b	c	c	3.54	3.54	3.54	4.83	2.39	c	c	b	c	c	5.82	8.87	3.8	1.96	5.09	b	a	a	b	b
x15	1.28	8.37	9.71	7.17	9.75	b	a	c	b	a	8.45	6.62	6.62	3.59	1.75	a	a	b	b	a	0.41	0.11	0.11	3.91	8.6	a	a	b	a	a	6.59	4.57	8.96	1.56	5.49	a	c	c	a	c
x16	4.62	9.66	8.18	1.52	1.6	b	b	a	c	a	8.5	8.5	8.5	2.73	1.91	c	a	b	c	c	3.54	3.54	3.54	4.8	2.46	a	a	b	c	c	9.8	8.08	2.2	9.66	8.09	a	b	a	a	c
x17	4.25	6.74	4.04	8.99	0.91	a	c	b	c	a	8.24	6.62	6.62	6.27	0.2	a	a	b	c	a	3.96	0.11	0.11	9.64	7.21	a	a	b	b	a	9.6	6.88	8.27	8.62	3.93	b	c	a	b	a
x18	3.83	7.67	5.9	4.63	6.21	c	b	c	a	b	1.19	8.16	2.25	5.03	2.63	a	b	c	c	a	2.22	4.01	3.5	8.4	5.06	c	a	b	a	a	4.43	6.88	8.68	9.29	9.71	a	a	a	c	a
x19	6.55	2.73	1.82	5.96	4.33	b	c	a	a	a	8.5	8.5	8.5	7.06	3.42	a	a	b	c	c	3.54	3.54	3.54	2.03	2.48	b	c	b	c	c	7.91	8.65	1.74	6.76	6.29	b	c	c	c	c
x20	3.96	3.64	2.48	0.87	3.41	c	a	b	b	a	9.27	7.44	1.17	1.94	0.94	a	b	a	c	a	3.55	1.67	4.07	9.06	0.36	b	b	a	c	a	8.14	1.78	4.64	6.2	0.56	a	b	c	a	b
x21	2.74	3.59	3.76	2.09	0.31	b	c	a	a	c	7.02	6.62	6.62	1.15	7.57	a	a	b	c	c	0.47	0.11	0.11	6.43	7.38	a	a	b	c	a	3.72	0.69	5.55	8.17	1.07	a	a	a	a	b
x22	9.02	6.82	0.27	5.88	5.68	b	c	a	b	b	5.99	0.72	8.41	7.01	7.42	a	c	a	c	a	4.26	0.73	8.63	8.08	7.06	a	b	c	b	a	7.45	2.93	1.57	2.14	5.93	b	b	b	c	c
x23	4.45	4.52	6.71	2.45	8.14	c	a	a	c	c	7.19	7.94	3.45	9.93	1.25	b	a	b	a	a	5.17	6.29	9.83	2.91	8.85	b	c	c	a	a	7.31	7.47	7.56	8.81	2.63	b	c	c	a	b
x24	4.56	3.57	6.95	1.49	3.39	a	c	a	c	b	0.09	0.72	1.94	1.34	0.68	a	c	a	b	a	5.67	3.56	2.93	4.37	3.15	b	a	a	a	a	8.05	1.9	1.48	2.73	0.21	c	c	b	b	b
x25	0.87	4.95	1.41	1.71	2.06	b	a	a	c	c	8.22	3.86	9.92	4.48	1.69	a	b	b	b	a	3.91	1.79	4.4	0.85	0.32	a	b	c	b	b	2.16	7.24	3.13	4.22	1.66	c	c	c	a	b
x26	5.07	7.66	6.7	6.68	0.76	c	c	a	c	a	8.5	8.5	8.5	2.14	1.02	a	a	b	c	c	3.54	3.54	3.54	8.86	9.81	a	a	b	c	c	8.56	8.44	0.31	1.01	9.64	a	b	a	c	b
x27	3.07	8.47	3.09	9.54	3.25	b	c	b	b	c	8.5	8.5	8.5	4.08	6.75	a	c	b	c	c	3.54	3.54	3.54	7.06	9.44	b	c	b	c	c	6.41	7.26	1.45	7.1	8.23	b	a	b	b	a
x28	0.86	8.97	0.48	5.7	2.83	c	b	c	b	a	4.98	2.92	4.98	8.75	4.98	a	b	a	b	b	1.94	0.43	1.94	1.26	1.94	a	c	a	b	b	2.99	2.04	6.3	1.8	9.95	a	b	a	b	a
x29	0.85	4.86	9.18	5.92	1.65	b	c	c	a	b	0.19	2	0.42	1.35	4.88	b	b	b	c	a	1.71	2.17	9.89	5.61	4.79	b	b	a	c	a	6.38	2.66	1.87	8.68	2.35	a	c	c	c	b
x30	1.77	8.68	5.7	7.9	9.37	b	b	a	c	c	0.82	8.8	0.52	2.79	6.45	c	a	b	c	a	0.54	1.83	6.54	9.6	2.95	b	b	b	c	a	7.33	1.84	0.25	0.25	3.33	a	c	a	b	b
x31	2.07	8.25	7.41	5.15	2.07	a	a	a	a	a	9.39	9.85	0.06	7.03	9.39	a	a	b	c	a	4.91	3.03	5.06	8.96	1.39	c	c	a	b	c	1.72	4.21	6.41	8.39	6.72	a	c	b	a	a
x32	8.27	8.26	5.35	3.38	4.6	b	a	b	a	b	3.75	6.62	6.62	0.35	4.34	a	a	b	c	a	7.23	0.11	0.11	9.71	0.65	a	a	b	a	a	8.15	3.33	1.88	4.57	6.77	b	a	c	a	b
x33	6.2	6.87	9.17	8.5	4.93	c	a	b	c	a	2.1	6.62	6.62	5.32	9.19	a	a	b	c	b	7.45	0.11	0.11	1.53	0.01	a	a	b	a	b	6.49	5.73	3.81	8.62	6.55	a	a	b	b	a
x34	5.17	7.35	3.52	1.31	0.67	c	c	b	a	a	2.55	4.71	5.75	5.46	3.28	a	b	a	b	a	2.62	0.46	4.72	3.29	3.19	a	c	c	b	a	6.65	3.16	1.22	7.08	6.52	a	b	a	b	b
x35	1	2.88	8.71	3.27	4.71	a	c	b	b	b	8.38	6.62	6.62	5.22	9.54	a	a	b	b	a	4.76	0.11	0.11	5.06	5.28	a	a	b	c	a	9.53	7.66	4.99	2.69	2.92	b	a	a	a	a
x36	9.88	7.27	2.37	3.68	4.64	a	b	a	b	a	4.98	9.51	4.98	2.87	4.98	a	b	a	b	b	1.94	1.15	1.94	2.38	1.94	a	a	a	b	a	7.67	4.73	5.69	8.74	3.25	a	a	a	b	a
x37	4.35	6.97	7.12	7.94	6.07	b	c	c	a	c	4.98	7.33	4.98	0.74	4.98	a	a	b	b	b	1.94	7.62	1.94	4.12	1.94	a	a	a	b	c	4.58	1.33	5.69	9.24	0.56	c	c	c	c	a
x38	7.62	4.4	4.9	2	2	c	c	c	c	a	8.5	8.5	8.5	2.09	2.09	a	b	b	c	c	3.54	3.54	3.54	6.97	2.51	a	b	b	c	c	2.53	6.43	1.04	5.96	6.33	b	b	b	c	b
x39	7.53	0.52	1.68	2	2	a	b	b	b	a	5.5	8.31	0.19	2.09	2.09	a	c	b	a	b	3.15	0.46	6.63	1.5	0.6	b	c	a	a	c	9.81	4.14	1.4	5.16	4.34	c	b	c	b	b
x40	4.15	7.99	0.39	1.42	9.72	b	a	c	a	a	8.5	8.5	8.5	5.25	1.62	c	b	b	c	c	3.54	3.54	3.54	4.41	7.87	c	b	b	c	c	0.67	8.39	5.57	6.4	4.03	a	b	b	a	b
x41	5.87	3.8	7.57	2	2	b	a	a	c	c	1.39	1.63	6.29	2.09	2.09	a	b	b	c	a	2.85	2.38	6.61	3.97	0.84	b	b	b	c	a	8.7	1.41	7.02	6.36	4.74	c	a	a	a	c
x42	2.07	7.51	2.79	7.46	2.07	a	c	a	a	a	9.39	8.6	4.95	2.72	9.39	a	b	b	c	a	7.69	7.26	9.19	5.27	0.37	b	a	c	c	b	0.61	5.43	4.13	5.79	3.72	c	a	b	a	b
