X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	8.15	3.1	6.1	2.83	4.26	a	a	c	a	a	8.8	1.89	5	6.97	6.24	a	c	c	c	b	8.23	6.1	6.23	3.03	2.81	a	c	a	c	a	3.86	7.65	1.83	0.22	8.61	c	c	b	a	c
x1	1.33	3.58	9.66	7.41	2.36	a	a	c	a	a	9.22	3.98	0.34	6.76	9.59	c	a	a	a	c	3.06	7.15	6.32	1.96	1.81	c	a	a	a	a	7.42	2.8	4.12	4.73	8.72	c	a	b	c	a
x2	9.69	4.1	5.39	4.99	0.27	a	b	c	a	c	1.66	4.1	5.39	7.13	0.27	a	b	c	c	b	5.95	1.69	5.14	4.71	1.71	c	a	b	a	c	9.86	5.3	7.62	3.94	4.64	b	c	c	a	a
x3	4.68	9.75	6.95	8.86	0.91	c	b	b	b	a	5.01	0.85	6.95	8.86	0.91	b	a	a	a	b	9.13	3.58	0.24	5.02	9.9	c	b	b	a	a	2.57	5.34	9.63	4.62	9.31	c	a	b	b	c
x4	7.08	1.17	3.18	3.12	7.12	b	b	a	a	b	1.5	8.3	1.09	1.11	4.72	c	c	b	c	b	5.08	8.62	8.12	4.99	1.72	c	a	b	a	b	4.83	9.21	2.46	8.21	6.84	a	b	c	b	a
x5	2.92	4.1	5.39	9.14	0.27	a	b	c	b	b	0.42	4.1	5.39	7.62	0.27	a	b	c	c	a	5.16	6.69	5.44	2.81	0.43	c	c	b	a	b	8.52	9.23	8.27	7.08	1.08	c	c	b	a	a
x6	3.15	8.38	6.95	8.86	0.91	b	a	a	b	b	3.15	8.38	6.95	8.86	0.91	b	a	c	c	a	6.6	3.69	0.8	8.54	9.09	a	b	b	b	b	9.83	1.79	6.23	6.15	0.86	b	a	c	c	b
x7	3.15	8.38	5.95	7.25	5.09	a	c	a	b	b	3.15	8.38	8.95	1.28	5.59	a	a	b	c	c	6.77	9.75	9.04	4.64	7.72	a	a	b	a	a	5.93	2.18	6.18	0.97	6.32	b	a	c	b	c
x8	3.15	8.38	9.72	1.84	4.6	a	a	a	a	b	3.15	8.38	3.58	1.61	0.76	b	c	a	c	c	2.07	6.9	9	2.98	4.84	a	c	b	c	c	9.16	0.02	2.13	8.13	7.09	a	b	c	a	b
x9	5.77	2.95	6.95	8.86	0.91	a	a	c	b	c	0.56	1.65	6.95	8.86	0.91	a	a	c	b	c	0.08	5.89	6.25	1.46	4.56	c	a	c	c	b	4.5	8.43	4.67	7.44	5.24	a	a	c	c	b
x10	8.66	3.56	7.63	1.8	3.62	a	b	c	b	a	8.23	2.66	4.35	2.62	2.86	a	a	b	b	a	0.25	6.89	5.7	3.42	5.93	b	b	b	c	b	5.45	5.3	5.27	8.91	4.84	b	c	c	a	b
x11	6.7	6.89	6.95	8.86	0.91	a	b	c	c	a	9.02	6.5	6.95	8.86	0.91	a	b	a	b	c	2.22	7.77	4.13	8.85	3.13	a	a	c	c	c	2.14	8.63	5.53	9.08	1.02	c	c	c	c	a
x12	3.15	8.38	6.95	8.86	0.91	b	a	c	b	a	3.15	8.38	6.95	8.86	0.91	a	a	c	b	c	2.75	6.94	5.27	8.96	0.11	b	c	a	a	a	3.53	5.26	3.43	3.99	7.74	b	a	b	b	a
x13	1.72	4.1	5.39	9.55	0.27	a	b	c	b	b	5.15	4.1	5.39	7.25	0.27	a	b	c	b	a	6.18	0.11	6.39	6.06	5.96	b	a	b	a	c	3.41	8.99	6.32	9.03	7.78	c	a	a	b	c
x14	1.58	5.98	2.88	0.87	1.16	c	a	a	b	b	7.61	7.71	5.91	6.41	7.96	a	a	b	c	b	6.89	9.57	2.4	7.97	6.2	b	a	c	a	b	8	9.02	1.52	5.47	6.93	c	c	c	b	a
x15	0.98	8.3	6.55	1.44	4.64	c	a	a	a	a	9.11	1.04	0.31	5.13	6.4	b	b	b	b	a	9.7	6.43	6.54	7.42	2.55	a	a	b	c	c	2.57	0.06	2.45	5.92	0.27	a	a	b	c	b
x16	6.96	2.05	8.82	4.23	6.82	a	b	a	b	b	4	4.72	1.74	2.51	8.74	a	a	c	b	c	9.33	5.28	7.19	8.93	4.62	a	c	c	c	a	1.01	7.06	6.5	8.05	7.28	c	a	a	b	c
x17	5.2	4.92	7.53	3.42	4.56	c	b	b	b	a	0.73	4.92	7.03	7.45	1.27	c	a	c	c	c	3.5	9.91	2.44	9.34	4.71	b	b	a	c	a	9.17	9.87	8.92	0.97	3.9	a	b	b	b	a
x18	3.15	8.38	0	7.41	3.21	c	c	a	a	b	3.15	8.38	8.2	4.83	8.22	c	c	c	a	a	5.27	6.95	0.99	9.87	7.4	b	a	c	c	b	7.46	0.14	1.62	9.24	5.43	c	b	b	b	b
x19	3.15	8.38	7.62	9.58	8.48	c	a	b	c	c	3.15	8.38	7.96	3.12	3.17	b	a	a	a	a	1.13	7.45	8.2	5.53	9.73	c	a	a	a	b	9.49	9.2	1.8	1.55	5.9	a	a	b	a	b
